gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,49.333333,28.375106,38550581102379761642121768380399616.000000,77101163286187301676216743886848.000000,127.000000,3.000000,23.011867,0.000000,0.000000
1,188.633333,160.500000,27.145343,20141946596182000859435713429504.000000,40283893192364089890907881472.000000,130.333333,1.000000,15.451600,1.000000,345.933333
2,132.566667,237.600000,25.391054,2876211210.533144,8349556.124520,131.600000,1.000000,14.130267,5.700000,348.500000
3,94.833333,299.033333,23.339862,1176.047016,41.542174,130.866667,1.000000,11.953067,36.433333,315.233333
4,64.700000,353.066667,21.797443,71.781717,34.212475,123.733333,1.000000,8.720267,140.566667,206.433333
5,46.266667,392.200000,20.780922,39.293777,31.894234,88.866667,1.000000,7.385333,169.633333,183.766667
6,37.633333,415.900000,20.086647,37.368991,29.810773,67.933333,1.000000,7.626133,159.933333,189.733333
7,38.933333,425.566667,18.888389,34.546784,27.946756,58.533333,1.066667,8.121867,167.433333,176.366667
8,37.700000,429.700000,18.121350,32.577997,26.228290,51.733333,2.000000,8.506267,189.600000,164.533333
9,36.166667,429.466667,17.756428,30.206617,24.643903,43.266667,3.000000,9.234533,166.066667,185.800000
10,33.200000,429.066667,17.300085,28.374439,23.145669,40.000000,4.000000,9.857067,156.766667,190.300000
11,31.600000,430.033333,16.953486,26.723865,21.815044,34.266667,5.266667,10.474533,170.266667,177.266667
12,29.166667,434.066667,16.614736,25.295641,20.679473,35.266667,5.666667,11.282267,173.233333,181.233333
13,28.066667,435.733333,16.219357,23.341918,19.679405,36.933333,6.066667,12.164267,148.066667,204.466667
14,25.766667,437.433333,16.050481,22.450204,18.852829,34.733333,6.733333,13.064667,161.933333,186.800000
15,26.533333,437.433333,15.921868,20.832288,18.182369,35.933333,7.933333,13.872933,154.433333,196.900000
16,24.766667,437.566667,15.843538,19.807224,17.630033,34.133333,8.466667,14.650667,166.600000,181.266667
17,25.933333,438.300000,15.439631,19.084265,17.178530,34.066667,9.733333,15.517067,165.600000,187.400000
18,23.433333,439.666667,15.305938,18.254126,16.830020,33.933333,10.200000,16.371200,179.000000,172.666667
19,23.000000,439.766667,15.190418,17.652737,16.518642,33.400000,11.000000,17.363067,166.200000,182.866667
20,21.566667,440.800000,15.003171,17.372432,16.232254,33.600000,11.600000,18.324000,177.300000,174.100000
21,21.500000,443.500000,14.919262,16.954670,16.004654,34.333333,12.266667,19.205600,190.033333,164.700000
22,20.733333,446.366667,14.741983,16.594647,15.812710,34.200000,13.000000,20.017867,192.366667,158.433333
23,19.800000,446.266667,14.608147,16.250712,15.633545,34.666667,14.000000,20.802133,195.933333,149.400000
24,20.233333,446.433333,14.460799,16.056027,15.455085,34.200000,14.466667,21.369333,183.033333,163.833333
25,18.633333,448.900000,14.328856,15.923238,15.280574,34.666667,15.200000,21.799200,170.800000,180.066667
26,17.800000,450.633333,14.183713,15.734110,15.116344,36.800000,15.933333,22.305867,167.566667,176.833333
27,18.233333,450.266667,14.054620,15.579230,14.972157,34.800000,16.266667,22.736400,200.200000,149.866667
28,17.366667,450.366667,13.966691,15.355695,14.840142,36.000000,16.800000,23.114133,186.266667,159.466667
29,16.666667,451.333333,13.782319,15.186853,14.714802,36.600000,17.333333,23.440667,204.100000,148.500000
30,15.733333,453.600000,13.662529,14.990800,14.589812,37.133333,17.800000,23.844400,203.733333,146.466667
31,15.100000,455.066667,13.506045,14.878185,14.465764,37.200000,18.266667,24.279600,193.700000,156.966667
32,15.633333,454.733333,13.433355,14.800102,14.339464,37.666667,18.933333,24.512133,196.266667,148.800000
33,16.166667,454.766667,13.358547,14.659693,14.205694,36.133333,19.666667,24.933600,211.133333,139.933333
34,15.800000,454.300000,13.221929,14.526932,14.073193,36.733333,20.200000,25.546267,199.733333,152.266667
35,14.666667,455.800000,13.173309,14.397572,13.938120,37.200000,20.533333,26.206267,176.300000,171.100000
36,14.266667,456.900000,13.059026,14.254921,13.801079,39.066667,20.800000,26.835200,190.500000,158.900000
37,16.166667,455.366667,12.948222,14.146198,13.667900,38.666667,21.400000,27.411333,174.700000,181.766667
38,16.500000,454.333333,12.808525,14.000794,13.541127,38.933333,21.800000,27.960267,179.800000,171.733333
39,14.833333,454.133333,12.754125,13.874162,13.419992,39.533333,22.266667,28.450933,178.000000,173.000000
40,13.233333,456.166667,12.660821,13.714644,13.310937,39.400000,22.800000,28.662000,180.266667,166.200000
41,13.266667,459.966667,12.634474,13.580789,13.217129,39.600000,23.733333,28.885333,184.233333,166.833333
42,12.233333,461.966667,12.539110,13.442237,13.133293,39.533333,24.266667,29.330933,201.666667,149.400000
43,11.566667,463.133333,12.476774,13.352348,13.053318,39.800000,24.733333,29.909200,209.100000,144.900000
44,12.500000,462.300000,12.389597,13.229132,12.972032,39.333333,25.400000,30.443867,207.100000,145.833333
45,11.600000,462.033333,12.258405,13.185344,12.880277,40.933333,26.000000,31.111867,185.600000,160.200000
46,11.666667,462.666667,12.160104,13.112458,12.784514,41.333333,26.733333,31.734267,192.333333,163.200000
47,11.000000,464.100000,12.079171,13.024185,12.693361,41.533333,27.133333,32.055333,189.666667,157.000000
48,11.266667,465.766667,11.988291,12.948462,12.609421,42.266667,27.600000,32.311600,193.133333,155.133333
49,11.200000,465.833333,11.915326,12.812990,12.533083,42.266667,27.933333,32.784267,193.966667,149.233333
50,10.700000,465.766667,11.853289,12.704164,12.454880,42.400000,28.866667,33.518533,207.666667,144.133333
51,10.700000,466.033333,11.799808,12.652671,12.372865,42.866667,29.400000,34.208800,214.300000,133.100000
52,10.600000,466.300000,11.747105,12.571726,12.288492,44.866667,29.866667,34.761333,219.700000,129.166667
53,11.466667,465.566667,11.667484,12.519385,12.202136,45.200000,30.400000,35.228933,187.666667,161.400000
54,12.166667,463.633333,11.627557,12.413890,12.107747,45.866667,30.800000,35.715600,186.466667,165.600000
55,11.500000,464.000000,11.524597,12.362191,12.014145,47.266667,31.200000,36.189200,194.900000,152.766667
56,11.200000,464.766667,11.459235,12.262203,11.936827,47.266667,31.533333,36.728933,193.533333,156.933333
57,11.766667,464.300000,11.374656,12.116987,11.866885,47.866667,32.066667,37.228267,215.266667,136.400000
58,10.133333,465.766667,11.340182,12.040289,11.801791,47.466667,32.533333,37.665867,198.900000,152.566667
59,9.433333,466.200000,11.310958,11.962525,11.737324,46.866667,33.466667,38.072533,212.466667,135.200000
60,10.000000,467.466667,11.262284,11.897557,11.673460,47.000000,34.133333,38.498400,200.300000,149.633333
61,10.566667,467.266667,11.203834,11.832630,11.611114,47.066667,34.666667,38.983067,203.466667,145.666667
62,9.166667,467.766667,11.151563,11.767582,11.545957,47.666667,34.933333,39.430667,193.833333,158.566667
63,9.300000,468.366667,11.104487,11.706541,11.480846,47.733333,35.466667,39.804533,178.533333,170.533333
64,9.133333,469.233333,11.045141,11.646510,11.420475,48.133333,35.533333,40.292133,178.033333,170.500000
65,9.200000,469.600000,10.981820,11.586839,11.362653,49.266667,35.666667,40.867333,173.500000,175.833333
66,10.200000,469.600000,10.933833,11.506086,11.308860,49.533333,36.800000,41.487467,180.233333,170.233333
67,9.433333,468.766667,10.889781,11.453171,11.261020,50.466667,36.800000,42.113600,229.233333,122.433333
68,9.533333,468.500000,10.853854,11.372308,11.213788,51.066667,37.266667,42.689867,191.533333,153.466667
69,8.700000,467.933333,10.790060,11.336403,11.161693,50.933333,38.400000,43.212400,204.766667,141.900000
70,10.800000,466.000000,10.755443,11.286925,11.104310,51.933333,38.733333,43.629467,207.566667,141.300000
71,9.600000,466.733333,10.721173,11.255094,11.046299,53.200000,38.666667,43.981867,193.400000,156.933333
72,9.500000,468.700000,10.705490,11.189364,10.991892,52.666667,38.666667,44.330667,184.566667,166.900000
73,9.666667,468.866667,10.650723,11.122136,10.939993,52.800000,40.133333,44.736133,175.566667,168.900000
74,8.833333,469.300000,10.596290,11.071673,10.891991,52.333333,40.533333,45.006000,192.833333,161.500000
75,7.800000,470.833333,10.577224,11.022860,10.851673,52.866667,40.733333,45.287333,204.966667,151.633333
76,8.700000,471.566667,10.558999,10.945740,10.814067,52.866667,41.333333,45.710533,214.633333,137.700000
77,9.833333,469.933333,10.536155,10.900964,10.778618,53.866667,41.866667,46.280933,211.166667,138.900000
78,8.800000,468.733333,10.501668,10.866208,10.745154,53.933333,42.133333,46.790533,194.966667,156.433333
