gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,50.000000,0.833333,34.103065,20141965159559743775874268266496.000000,402839303197179365662826430464.000000,124.866667,3.000000,23.574667,0.000000,0.000000
1,18.466667,13.266667,32.492046,8301883836780946.000000,166037688493605.000000,104.733333,1.066667,14.308000,0.866667,43.933333
2,12.833333,21.500000,30.846769,29370582.068366,587997.084119,79.666667,1.000000,11.760000,2.766667,42.900000
3,8.500000,28.500000,30.416105,292.130031,46.352143,59.666667,1.133333,8.645333,10.766667,34.233333
4,6.433333,33.766667,29.477416,66.862946,35.906812,25.400000,1.266667,5.782667,16.400000,28.933333
5,4.366667,37.966667,28.712129,40.146479,33.418446,18.400000,1.266667,5.214667,18.100000,26.566667
6,3.000000,40.366667,28.536568,36.246332,31.938632,13.666667,1.533333,5.422667,19.400000,24.666667
7,3.633333,41.400000,27.718702,34.186065,30.704064,13.333333,1.866667,5.474667,17.866667,28.333333
8,2.800000,42.733333,27.326546,32.532824,29.852158,12.666667,2.533333,5.318667,17.666667,27.200000
9,2.233333,43.566667,27.168567,31.363444,29.153757,10.666667,2.933333,5.416000,21.200000,24.733333
10,1.766667,44.133333,26.747913,30.228671,28.594020,10.933333,3.333333,5.876000,22.600000,22.800000
11,1.700000,44.433333,25.881668,29.471876,28.194045,11.266667,3.933333,6.225333,28.333333,16.533333
12,1.400000,44.733333,25.774393,28.760971,27.807866,10.933333,4.800000,6.716000,27.666667,18.133333
13,1.400000,45.100000,25.700806,28.487222,27.464941,11.200000,4.933333,7.137333,26.400000,18.000000
14,2.066667,44.700000,25.496359,27.998257,27.069033,11.200000,5.400000,7.608000,26.433333,18.566667
15,1.500000,44.733333,25.374227,27.811162,26.703641,12.066667,5.800000,8.044000,24.133333,19.666667
16,1.600000,44.900000,25.183264,27.576064,26.208771,11.400000,6.400000,8.500000,24.133333,21.666667
17,1.533333,45.133333,25.131856,26.816424,25.828632,11.600000,6.933333,8.736000,23.566667,21.366667
18,1.066667,45.800000,25.055275,26.286021,25.560664,11.533333,7.333333,8.865333,20.566667,22.300000
19,1.566667,45.600000,24.925502,25.913274,25.393364,12.533333,7.466667,9.005333,20.700000,22.166667
20,0.800000,46.133333,24.902329,25.604100,25.304839,11.733333,7.866667,8.981333,28.233333,15.100000
21,0.966667,46.033333,24.770385,25.501150,25.203914,11.666667,8.000000,9.154667,29.533333,14.600000
22,1.033333,46.000000,24.709075,25.393475,25.111100,11.800000,8.200000,9.384000,29.800000,13.933333
23,0.966667,45.866667,24.578071,25.278489,25.024442,12.000000,8.466667,9.650667,29.133333,15.333333
24,1.366667,45.666667,23.952301,25.181333,24.896166,13.200000,8.466667,10.146667,26.633333,16.966667
25,1.033333,46.033333,23.788171,25.137792,24.788063,13.200000,8.466667,10.433333,26.200000,17.533333
26,0.733333,46.233333,23.788171,24.995223,24.669421,13.200000,8.733333,10.830667,25.833333,17.966667
27,0.766667,46.366667,23.766895,24.867469,24.539778,13.533333,9.533333,11.048000,25.733333,18.466667
28,0.733333,46.700000,23.549051,24.717869,24.379807,15.333333,9.800000,11.306667,26.333333,17.600000
29,0.800000,46.566667,23.524792,24.624854,24.240901,15.533333,10.066667,11.516000,23.033333,19.433333
30,0.966667,46.433333,23.483696,24.578630,23.993435,15.666667,10.266667,11.858667,22.700000,20.700000
31,0.766667,46.666667,23.490497,24.377491,23.819961,14.333333,10.466667,11.918667,22.933333,19.733333
32,1.100000,46.566667,23.458072,24.354536,23.676872,14.333333,10.533333,12.225333,22.433333,21.366667
33,0.733333,46.633333,23.417505,23.791006,23.583099,14.600000,11.400000,12.456000,24.166667,19.166667
34,0.900000,46.533333,23.394598,23.771487,23.541769,15.266667,11.666667,12.796000,25.200000,18.466667
35,0.566667,46.766667,23.382381,23.622457,23.508570,15.533333,11.933333,13.006667,24.700000,17.700000
36,1.033333,46.300000,23.244737,23.554396,23.471090,15.933333,11.800000,13.386667,23.666667,19.000000
37,1.166667,45.800000,23.215250,23.527863,23.438396,16.200000,12.066667,13.698667,23.333333,19.466667
38,0.733333,46.033333,23.200015,23.493661,23.408918,15.666667,12.733333,13.870667,25.766667,17.766667
39,0.866667,46.100000,23.156963,23.442832,23.380059,16.000000,12.933333,14.005333,23.166667,19.833333
40,0.700000,46.366667,23.159611,23.424807,23.355949,16.266667,13.000000,14.078667,26.466667,18.533333
41,1.100000,46.100000,23.148227,23.407945,23.326015,16.200000,13.066667,14.162667,26.333333,18.733333
42,0.900000,46.233333,23.097081,23.379733,23.284584,16.200000,13.266667,14.302667,25.600000,20.266667
43,0.833333,46.500000,23.065340,23.334686,23.249661,16.666667,13.400000,14.294667,26.666667,18.400000
44,0.733333,46.833333,23.010994,23.322476,23.209981,17.133333,13.466667,14.321333,26.866667,18.066667
45,0.733333,46.733333,23.003680,23.263603,23.177698,17.333333,13.600000,14.430667,27.900000,17.166667
46,0.700000,46.766667,22.908594,23.263089,23.150667,17.266667,13.666667,14.684000,25.466667,19.466667
47,0.866667,46.666667,22.851128,23.196340,23.122709,17.933333,13.800000,15.076000,25.466667,19.733333
48,0.533333,47.000000,22.928062,23.191900,23.086880,18.133333,13.866667,15.529333,26.200000,18.066667
49,0.533333,47.066667,22.816612,23.182906,23.054190,18.333333,14.066667,15.970667,25.033333,19.366667
50,0.666667,47.000000,22.812557,23.095347,23.012270,18.800000,14.866667,16.424000,26.933333,18.000000
51,0.833333,47.033333,22.778444,23.074678,22.962785,19.800000,15.000000,16.818667,24.366667,19.966667
52,0.700000,46.833333,22.667486,23.056278,22.918616,19.600000,15.666667,17.101333,23.566667,21.633333
53,0.666667,46.733333,22.694839,22.994644,22.894803,19.800000,16.133333,17.238667,23.133333,21.333333
54,0.866667,46.433333,22.631287,22.964209,22.858077,19.800000,16.333333,17.416000,19.966667,24.233333
55,1.166667,46.433333,22.514301,22.901374,22.819736,19.666667,16.133333,17.704000,25.933333,18.866667
56,1.166667,46.133333,22.492410,22.891686,22.773096,20.200000,16.000000,17.996000,25.466667,20.533333
57,1.066667,45.800000,22.463673,22.872700,22.694487,20.466667,16.533333,18.306667,21.600000,22.933333
58,0.666667,46.033333,22.499417,22.869996,22.640174,20.266667,16.600000,18.488000,19.400000,24.466667
59,0.633333,46.400000,22.470783,22.740647,22.598452,20.466667,16.866667,18.645333,21.566667,23.700000
60,0.400000,46.733333,22.462853,22.654688,22.567543,20.533333,17.200000,18.765333,23.866667,20.800000
61,1.000000,46.533333,22.375803,22.587802,22.538684,20.600000,17.800000,18.928000,24.100000,19.500000
62,0.966667,46.366667,22.321143,22.572959,22.508997,21.200000,17.933333,19.065333,24.433333,19.966667
63,0.533333,46.500000,22.317730,22.564570,22.480617,21.200000,18.133333,19.244000,24.466667,19.466667
64,0.733333,46.766667,22.312839,22.542244,22.460170,21.400000,18.133333,19.426667,25.200000,19.533333
65,0.366667,47.033333,22.352618,22.488920,22.445324,21.266667,18.133333,19.650667,23.600000,21.333333
66,0.566667,46.966667,22.341675,22.475561,22.424472,21.866667,18.400000,19.656000,22.433333,22.366667
67,0.733333,46.733333,22.314886,22.468208,22.399518,22.200000,18.400000,19.786667,24.833333,19.766667
68,0.800000,46.966667,22.282522,22.446718,22.381547,22.066667,18.600000,19.945333,26.133333,19.266667
69,0.766667,46.766667,22.099997,22.430908,22.357769,22.600000,18.866667,20.136000,27.033333,17.633333
70,0.733333,46.566667,22.094123,22.398025,22.343299,22.466667,19.000000,20.236000,28.100000,16.966667
71,0.900000,46.333333,21.992287,22.366122,22.319970,23.333333,19.066667,20.520000,27.633333,16.233333
72,0.966667,46.033333,21.814138,22.365062,22.274055,23.400000,19.266667,20.744000,26.500000,18.700000
73,0.766667,45.833333,21.778055,22.354654,22.222667,23.600000,19.666667,20.928000,26.466667,18.866667
74,0.766667,45.733333,21.734457,22.341409,22.123736,24.066667,19.733333,21.092000,25.200000,19.666667
75,0.533333,46.033333,21.640875,22.312055,22.007196,24.000000,19.666667,21.292000,24.400000,20.533333
76,0.833333,45.866667,21.565080,22.104877,21.914558,24.466667,19.933333,21.722667,23.433333,21.300000
77,0.800000,46.100000,21.515444,22.073048,21.834014,24.666667,20.266667,22.010667,24.200000,20.266667
