gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,49.333333,28.375106,38550581102379761642121768380399616.000000,77101163286187301676216743886848.000000,127.000000,3.000000,23.011867,0.000000,0.000000
1,52.966667,497.033333,25.916952,28.375106,28.083071,6.466667,3.933333,4.518667,286.900000,166.233333
2,37.666667,494.766667,24.994686,25.916952,25.870352,7.800000,5.200000,5.813600,322.600000,126.600000
3,8.100000,495.800000,24.074234,24.994686,24.961290,12.200000,7.333333,7.400667,326.700000,107.900000
4,16.000000,493.333333,23.528391,24.074234,24.057582,14.266667,9.666667,10.650267,232.800000,201.666667
5,16.833333,492.866667,23.006817,23.528391,23.499380,15.466667,11.066667,12.111200,201.200000,248.266667
6,16.600000,491.133333,22.538251,23.006817,22.997035,18.066667,12.533333,14.254133,185.600000,264.066667
7,11.700000,492.533333,22.067167,22.538251,22.519176,18.933333,15.266667,16.036267,189.733333,259.733333
8,16.566667,489.900000,21.624797,22.067167,22.056064,21.800000,17.066667,18.047467,218.566667,232.566667
9,12.900000,488.766667,21.328681,21.624797,21.615179,22.800000,18.800000,19.553733,219.200000,230.666667
10,4.833333,494.700000,21.054640,21.328681,21.326400,22.133333,19.800000,20.227867,221.633333,230.233333
11,10.966667,492.233333,20.855746,21.054640,21.051134,23.600000,20.800000,21.673600,192.766667,260.433333
12,7.533333,493.366667,20.661809,20.855746,20.853429,24.533333,22.000000,22.604267,162.200000,274.533333
13,11.433333,492.433333,20.393877,20.661809,20.655746,25.600000,22.133333,23.466000,192.833333,258.500000
14,8.600000,493.200000,20.031511,20.393877,20.389079,27.933333,23.733333,24.470400,160.900000,287.500000
15,13.333333,489.633333,19.762095,20.031511,20.026602,29.400000,24.000000,25.809333,245.566667,189.433333
16,13.000000,490.233333,19.567137,19.762095,19.759276,30.200000,26.400000,27.543867,273.300000,173.966667
17,15.966667,488.433333,19.206175,19.567137,19.560960,33.933333,27.533333,29.097600,316.533333,134.666667
18,16.200000,488.866667,18.952329,19.206175,19.200664,34.000000,28.200000,30.293067,218.466667,231.533333
19,14.033333,489.600000,18.745703,18.952329,18.949173,35.466667,30.266667,32.016400,232.666667,186.866667
20,10.766667,491.866667,18.558393,18.745703,18.742969,36.800000,32.400000,33.478933,206.366667,241.433333
21,10.433333,491.600000,18.406453,18.558393,18.556438,37.800000,33.666667,35.270667,220.800000,229.066667
22,13.000000,489.466667,18.072550,18.406453,18.402928,39.066667,34.066667,35.941333,289.666667,145.166667
23,15.600000,488.500000,17.794388,18.072550,18.065615,41.466667,34.933333,37.210000,216.500000,230.700000
24,13.700000,490.133333,17.411766,17.794388,17.785142,44.200000,38.000000,39.261600,291.433333,159.366667
25,18.200000,487.200000,17.266075,17.411766,17.405191,44.933333,40.200000,42.082400,264.966667,171.366667
26,10.666667,490.333333,17.122827,17.266075,17.264433,45.800000,41.533333,42.808533,263.900000,155.200000
27,13.666667,489.166667,17.018086,17.122827,17.121029,46.866667,42.533333,44.540800,277.700000,156.333333
28,6.600000,493.266667,16.898753,17.018086,17.016867,46.866667,44.600000,44.947467,282.300000,168.233333
29,7.400000,492.633333,16.768470,16.898753,16.897272,48.133333,45.533333,45.944533,221.266667,230.533333
30,7.166667,493.200000,16.611346,16.768470,16.766063,48.800000,46.200000,46.814800,251.733333,198.600000
31,4.900000,494.666667,16.546180,16.611346,16.610863,50.400000,47.933333,48.213600,254.966667,196.766667
32,6.433333,493.400000,16.481289,16.546180,16.545515,51.533333,49.333333,49.799467,221.300000,227.700000
33,9.966667,492.000000,16.362113,16.481289,16.479349,53.200000,49.733333,50.709600,178.166667,272.566667
34,7.566667,493.333333,16.254516,16.362113,16.361163,54.066667,50.933333,52.001333,192.366667,255.900000
35,9.133333,491.733333,16.093542,16.254516,16.252882,55.333333,52.000000,52.767333,278.133333,171.133333
36,8.600000,492.933333,16.018021,16.093542,16.092674,56.133333,52.400000,53.931733,236.233333,217.700000
37,5.266667,494.600000,15.946236,16.018021,16.017462,57.333333,54.466667,54.875333,269.633333,180.833333
38,8.600000,492.033333,15.878763,15.946236,15.945410,59.466667,56.133333,57.076533,306.600000,142.000000
39,5.266667,494.433333,15.795788,15.878763,15.878278,59.600000,57.200000,57.871867,224.366667,226.766667
40,9.366667,491.133333,15.697959,15.795788,15.794830,60.333333,57.333333,58.530933,175.833333,272.433333
41,5.666667,494.100000,15.608108,15.697959,15.697366,61.400000,58.266667,58.941467,252.966667,196.433333
42,8.966667,491.433333,15.491883,15.608108,15.605300,62.600000,59.733333,60.603867,250.900000,199.033333
43,7.100000,492.966667,15.422237,15.491883,15.491328,63.866667,60.933333,61.737600,179.233333,275.766667
44,5.266667,494.666667,15.363213,15.422237,15.421365,64.400000,61.800000,62.670133,193.966667,257.500000
45,6.900000,492.900000,15.295154,15.363213,15.362489,64.866667,62.800000,63.533600,252.900000,181.866667
46,4.333333,494.933333,15.188809,15.295154,15.294649,65.466667,63.066667,63.935067,207.700000,241.633333
47,9.300000,491.533333,15.100853,15.188809,15.187255,66.933333,63.466667,64.663467,247.866667,200.666667
48,6.400000,493.666667,15.028610,15.100853,15.099670,68.066667,65.266667,65.943067,239.966667,208.433333
