gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,49.333333,28.375106,38550581102379761642121768380399616.000000,77101163286187301676216743886848.000000,127.000000,3.000000,23.011867,0.000000,0.000000
1,211.766667,127.366667,27.879498,38550447750446119456939968863141888.000000,77101242334579816892493153173504.000000,130.066667,1.000000,22.646400,1.466667,449.800000
2,168.966667,170.366667,27.497394,43247843707040350162405499600896.000000,86841766693066666138276986880.000000,130.400000,1.000000,22.015867,1.933333,447.800000
3,141.200000,202.133333,26.632925,23278888158631630768487111065600.000000,92769558817374093058219442176.000000,130.400000,1.000000,21.792800,1.966667,446.500000
4,125.700000,220.233333,26.372062,23278888110235602395592453521408.000000,138886485445554631696919298048.000000,134.066667,1.000000,21.889067,1.866667,448.000000
5,112.500000,239.733333,26.111339,23168676899856672494203913109504.000000,295481659324644929098922065920.000000,134.200000,1.000000,21.469067,2.533333,449.266667
6,100.900000,253.666667,25.407182,23168676848493677190397200171008.000000,276640053661304296908538249216.000000,133.333333,1.000000,21.072933,2.500000,449.166667
7,96.033333,261.900000,24.646661,22995672727923763354323233275904.000000,183965386204862330696873541632.000000,132.866667,1.000000,20.776000,3.266667,445.733333
8,87.133333,272.133333,24.113627,22995668191063953857387041914880.000000,91982697487756625986231205888.000000,132.600000,1.000000,20.747200,4.600000,442.933333
9,82.900000,282.433333,23.547109,21149144547726456591323597111296.000000,42298289485560964957293510656.000000,133.333333,1.000000,20.942267,4.166667,444.633333
10,77.466667,289.433333,22.673561,21149144437550107076955631255552.000000,42298288876361954869676867584.000000,133.200000,1.000000,20.973067,4.500000,443.500000
11,77.933333,293.233333,22.165527,2949249001287989067776.000000,8967988815717400576.000000,132.933333,1.000000,20.671600,3.800000,447.533333
12,74.400000,298.366667,22.148433,2912806061848138874880.000000,11197407719360317440.000000,132.533333,1.000000,20.654667,4.366667,446.900000
13,70.966667,303.300000,21.840869,507548920882510102528.000000,1070472035256322176.000000,131.066667,1.000000,20.400800,4.633333,444.900000
14,67.933333,308.666667,21.295608,507018212673041006592.000000,2062283819289961728.000000,131.200000,1.000000,20.633867,5.433333,442.700000
15,62.000000,316.966667,21.162575,503790950959064416256.000000,1022780745543505920.000000,130.133333,1.000000,19.962667,5.466667,445.533333
16,61.433333,322.633333,20.883159,2921899763875043840.000000,18664262718157976.000000,129.533333,1.000000,19.810000,6.166667,442.433333
17,60.666667,323.600000,20.618363,1338711118736336640.000000,13421568176968282.000000,129.400000,1.000000,19.727333,7.133333,442.466667
18,58.333333,327.800000,20.458839,1105004672212931072.000000,7387634893569559.000000,129.200000,1.000000,19.295733,5.933333,443.866667
19,53.933333,332.833333,20.210469,1103719350009141504.000000,7581692882354311.000000,128.600000,1.000000,19.057200,7.300000,441.300000
20,53.800000,337.800000,20.039587,1103409251894854400.000000,6727639227099356.000000,129.466667,1.000000,18.662000,6.900000,444.433333
21,53.566667,342.300000,19.961733,409329186756905664.000000,1179400711734639.000000,129.400000,1.000000,18.867600,7.066667,445.466667
22,50.633333,346.100000,19.276003,285924611113660448.000000,886323218279094.625000,129.200000,1.000000,19.172000,7.800000,441.666667
23,50.366667,347.700000,19.125815,285924217510208608.000000,644659206389777.500000,128.733333,1.000000,18.856667,8.833333,439.433333
24,48.333333,349.633333,19.100424,22118375511861912.000000,94062638924018.843750,128.733333,1.000000,18.501600,7.700000,443.500000
25,47.133333,352.700000,19.022832,13998169791015086.000000,28781938985755.511719,128.533333,1.000000,18.760533,9.033333,440.100000
26,47.066667,354.366667,18.895626,13914855519462780.000000,28342803286526.425781,127.133333,1.000000,18.470667,11.266667,443.000000
27,44.433333,357.666667,18.700593,52242653835537.867188,280497867219.917908,126.533333,1.000000,18.559467,10.766667,436.366667
28,42.200000,362.566667,18.697765,51825971527661.015625,301331403781.798523,126.866667,1.000000,18.006667,9.966667,441.500000
29,43.200000,362.200000,18.682129,18361814794678.136719,168830498038.905304,125.733333,1.000000,18.049733,10.933333,439.466667
30,42.366667,365.400000,18.470378,18360995460617.769531,199522856191.114258,123.866667,1.000000,18.266533,11.400000,439.666667
31,40.066667,368.200000,18.293533,11050306325783.111328,202533676327.103973,124.000000,1.000000,18.205333,11.133333,439.333333
32,39.666667,370.733333,18.201973,11039781736649.589844,192356054679.697266,122.800000,1.000000,18.457200,11.500000,442.433333
33,38.800000,372.266667,18.110053,11039272026248.263672,230926999048.717377,121.400000,1.000000,18.778000,11.200000,441.666667
34,39.166667,373.233333,18.078862,11031344834105.082031,233164947165.258575,121.333333,1.000000,19.029200,11.966667,438.833333
35,36.933333,374.466667,18.056370,11030901827443.027344,143846484591.244904,121.133333,1.000000,19.085067,11.133333,439.866667
36,38.733333,375.633333,17.950345,11030897674846.158203,115818194498.206268,120.733333,1.000000,18.767200,12.633333,437.900000
37,37.466667,377.133333,17.848230,11010239063324.613281,134328942907.949631,121.666667,1.000000,18.767067,12.566667,434.566667
38,38.300000,376.433333,17.697346,11004744761826.267578,118670962760.009750,123.400000,1.000000,18.749067,14.133333,435.200000
39,36.000000,378.833333,17.680334,7859753481392.619141,65922391176.956871,120.266667,1.000000,18.708133,17.000000,430.733333
40,35.433333,381.900000,17.609752,7816921492633.137695,54918086693.030571,119.866667,1.000000,18.047733,17.900000,432.500000
41,33.933333,383.566667,17.543012,5623076519051.206055,46318444034.290573,118.333333,1.000000,18.047067,22.000000,429.400000
42,33.200000,384.566667,17.472792,5623064054385.498047,43508946012.764969,120.133333,1.000000,18.053733,22.733333,427.066667
43,35.433333,384.466667,17.437455,2962746326254.143066,29520675572.855278,119.400000,1.000000,18.568533,24.400000,420.400000
44,33.400000,385.166667,17.364649,2962746323605.273926,24035609585.419163,116.333333,1.000000,18.339867,24.066667,429.600000
45,29.566667,389.766667,17.148016,2962739491676.034180,16188806341.671448,116.333333,1.000000,18.512800,26.600000,421.666667
46,33.533333,388.866667,16.896114,2962698470036.634766,22480792054.823349,116.800000,1.000000,18.082933,24.900000,422.700000
47,30.900000,390.233333,16.785079,2962618863262.788574,10733823149.555920,116.666667,1.000000,18.051067,25.666667,424.266667
48,30.133333,391.966667,16.767183,2902298511537.415527,7920489346.672229,116.400000,1.000000,17.467200,35.366667,413.033333
49,31.166667,392.633333,16.704224,519192626061.989563,3067985858.442339,115.533333,1.000000,17.399333,38.500000,410.700000
50,29.266667,394.066667,16.680715,519192626051.629944,2139768337.736498,114.266667,1.000000,17.299467,40.100000,410.033333
51,29.833333,394.300000,16.623809,519174390047.356018,2139163828.154428,113.333333,1.000000,17.511733,39.833333,409.700000
52,27.900000,395.533333,16.554950,182038158.868371,2163459.417226,113.133333,1.000000,17.366667,39.400000,409.466667
53,29.833333,395.333333,16.536873,182035680.409204,2351556.514707,111.866667,1.000000,17.599067,39.066667,411.333333
54,27.833333,396.766667,16.485395,182034658.076512,2536408.054173,111.666667,1.000000,17.151733,40.033333,407.833333
55,25.733333,400.700000,16.445395,139358859.110684,2327497.284434,111.400000,1.000000,17.098667,44.000000,402.400000
56,26.300000,402.333333,16.441029,139299672.687457,1715165.067019,110.333333,1.000000,17.036933,47.600000,404.800000
57,28.200000,400.900000,16.410341,139289988.723646,1891134.099603,109.133333,1.000000,17.026533,55.766667,394.766667
58,25.466667,402.566667,16.369691,139286732.432400,1446096.127264,108.600000,1.000000,17.238667,56.733333,391.933333
59,24.733333,403.866667,16.260295,83722729.266534,1281864.255273,110.000000,1.000000,17.508267,66.500000,386.900000
60,24.233333,404.933333,16.221194,82524094.576481,1000013.782941,108.933333,1.000000,17.647733,64.200000,385.400000
61,26.266667,404.166667,16.161363,77142642.474044,1056637.409741,108.266667,1.000000,17.676533,65.766667,386.233333
62,26.133333,403.766667,16.098344,77115654.687688,1134317.363380,106.666667,1.000000,17.752400,66.566667,384.633333
63,26.000000,404.066667,16.084598,77115649.937388,1176626.847623,106.400000,1.000000,17.900933,75.500000,374.966667
64,25.966667,403.633333,16.069430,77115142.736854,1058330.984819,107.666667,1.000000,18.405733,79.733333,369.400000
65,23.466667,404.133333,16.060366,77115139.394586,922150.272906,107.066667,1.000000,18.416267,81.400000,366.466667
66,24.700000,404.500000,16.031197,77113961.229463,829023.556237,106.800000,1.000000,18.245733,85.566667,365.166667
67,24.000000,405.333333,16.020751,77093909.034211,668537.540210,107.466667,1.000000,18.334933,84.166667,366.633333
68,24.766667,405.166667,16.004837,62087229.254318,585706.423061,108.400000,1.000000,18.437067,82.466667,366.333333
69,24.400000,406.133333,15.985574,62087229.246087,434011.491114,105.066667,1.000000,18.176133,79.433333,371.166667
70,25.566667,405.700000,15.907260,62087229.246087,542678.145703,104.066667,1.000000,17.975600,81.200000,367.866667
71,23.000000,406.333333,15.835727,62087200.214553,546772.878517,102.066667,1.000000,17.627867,89.500000,363.233333
