gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,49.333333,28.375106,38550581102379761642121768380399616.000000,77101163286187301676216743886848.000000,127.000000,3.000000,23.011867,0.000000,0.000000
1,214.700000,127.266667,27.458375,16249721173581846124953600.000000,40559638572353590394880.000000,130.266667,1.000000,22.154133,1.633333,449.633333
2,172.400000,166.166667,26.267848,3720404710118625699168256.000000,7441220856072822063104.000000,130.533333,1.000000,21.718667,2.533333,447.200000
3,143.666667,195.533333,25.914153,89231275845795463168.000000,559830242763604544.000000,131.066667,1.000000,21.012533,3.133333,445.200000
4,125.633333,223.100000,25.593813,34911616322391785472.000000,94344819735498896.000000,130.333333,1.000000,20.246800,3.000000,445.266667
5,110.966667,241.700000,24.738429,2729431287859567104.000000,27810253203556964.000000,130.400000,1.000000,19.670800,4.366667,445.166667
6,101.033333,257.200000,24.080999,2037011193124042240.000000,24506685386981292.000000,130.133333,1.000000,19.438533,4.500000,446.366667
7,89.133333,268.066667,23.594260,1945606849049707520.000000,30334956274421844.000000,129.866667,1.000000,19.345867,4.933333,444.933333
8,84.366667,278.466667,23.241161,1945411945448172800.000000,27372615316449316.000000,131.000000,1.000000,19.260933,5.366667,445.300000
9,81.233333,284.866667,22.943746,1945109284509178368.000000,24599724665765376.000000,131.266667,1.000000,18.730667,5.633333,442.233333
10,74.133333,298.366667,22.499760,1945107235392244736.000000,24552780464407276.000000,130.933333,1.000000,17.776667,6.366667,442.766667
11,67.566667,309.866667,21.823161,1945084594024858624.000000,25716745627908636.000000,128.266667,1.000000,17.166000,7.033333,443.966667
12,61.233333,318.500000,21.386695,1945079674963990016.000000,11230370182092858.000000,127.800000,1.000000,17.113867,9.066667,440.866667
13,58.633333,324.166667,21.333662,485412531899350976.000000,4572724310217050.000000,128.200000,1.000000,16.742400,8.833333,441.433333
14,59.033333,328.466667,20.975437,484254262533379392.000000,3172890922186530.000000,127.666667,1.000000,16.616133,10.733333,439.133333
15,58.033333,331.466667,20.794087,484254245862254208.000000,2477686734190607.000000,127.000000,1.000000,16.697333,12.233333,442.166667
16,51.966667,337.200000,20.527377,484254245761533888.000000,2341034442790095.500000,127.466667,1.000000,16.849867,12.833333,434.233333
17,53.333333,339.666667,20.353824,484254241045731904.000000,3180308966618313.500000,127.466667,1.000000,17.105333,11.766667,436.366667
18,52.600000,343.966667,20.052528,484254203853414528.000000,1484706457684781.750000,126.533333,1.000000,17.199733,15.066667,433.400000
19,51.466667,347.733333,19.777819,51619800581910864.000000,309718899838432.000000,125.866667,1.000000,17.201867,15.066667,434.200000
20,47.633333,351.633333,19.697548,51619800491845096.000000,206479259546405.500000,126.066667,1.000000,17.101333,15.966667,431.900000
