gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,49.333333,28.375106,38550581102379761642121768380399616.000000,77101163286187301676216743886848.000000,127.000000,3.000000,23.011867,0.000000,0.000000
1,192.833333,170.233333,27.163913,335172347272698496.000000,670392984109833.625000,128.666667,1.000000,14.551200,1.166667,447.500000
2,130.500000,252.333333,26.088716,3543528.908739,7510.176960,129.066667,1.000000,12.590667,6.633333,442.700000
3,89.166667,315.633333,25.305323,2701.393218,45.028354,128.600000,1.000000,10.369600,37.066667,413.933333
4,62.333333,371.433333,22.945521,63.339041,34.114632,116.066667,1.000000,7.263333,179.300000,270.300000
5,43.166667,410.333333,22.334614,39.351385,31.802790,65.933333,1.000000,5.797067,211.966667,238.233333
6,39.266667,432.100000,21.188423,37.121574,29.799012,38.933333,1.000000,5.802267,198.366667,249.166667
7,42.833333,437.533333,20.087071,34.066366,28.019400,35.600000,1.066667,6.281333,201.333333,245.600000
8,40.900000,442.966667,19.536749,32.381044,26.490211,33.800000,2.066667,6.745200,206.766667,242.433333
9,33.866667,446.333333,19.056833,30.076718,25.208178,26.133333,3.066667,7.386800,241.333333,209.466667
10,32.100000,445.833333,18.237914,28.347351,23.981030,27.533333,3.800000,8.038400,244.133333,205.133333
11,29.800000,443.933333,17.615312,26.807838,22.718818,27.666667,4.733333,8.782667,208.533333,240.000000
12,28.633333,443.533333,17.299553,25.687907,21.523390,26.200000,5.200000,9.468533,208.500000,239.766667
13,23.633333,446.633333,17.055211,24.505941,20.524784,25.200000,5.733333,9.958267,199.866667,249.400000
14,20.833333,451.800000,16.710831,22.730336,19.721173,24.333333,6.266667,10.356533,184.400000,266.933333
15,20.233333,455.300000,16.416543,21.662825,19.047991,24.266667,6.800000,10.978267,235.800000,214.733333
16,17.700000,459.100000,16.229711,20.686703,18.519802,24.133333,6.933333,11.671467,236.633333,211.300000
17,17.666667,461.100000,16.104566,19.711078,18.041406,26.133333,7.266667,12.584400,237.133333,212.066667
18,17.100000,461.933333,15.982988,19.226428,17.613441,27.000000,7.800000,13.682800,219.333333,227.533333
19,16.133333,464.466667,15.857430,18.629413,17.240900,27.000000,8.600000,14.679067,228.500000,220.900000
20,16.600000,464.266667,15.694487,18.196439,16.934352,27.666667,9.266667,15.243600,235.233333,215.566667
21,14.866667,465.766667,15.528334,17.639778,16.671846,27.733333,10.733333,15.600933,235.133333,214.600000
22,13.100000,466.800000,15.426521,17.447734,16.457765,27.733333,11.000000,15.914933,251.700000,196.566667
23,12.866667,468.433333,15.299190,16.945883,16.278636,27.400000,11.866667,16.428533,258.933333,192.533333
24,12.600000,470.100000,15.239302,16.735888,16.115689,27.533333,12.333333,16.971867,230.500000,220.500000
25,12.566667,471.100000,15.194347,16.526268,15.967246,28.666667,12.800000,17.567733,263.533333,186.600000
26,13.400000,470.533333,15.056085,16.373861,15.821702,29.066667,13.733333,18.304667,247.766667,202.366667
27,13.300000,469.000000,14.894958,16.169619,15.681688,29.533333,14.133333,19.060267,229.700000,218.766667
28,13.466667,467.500000,14.794179,16.039482,15.552845,29.600000,15.000000,19.698667,226.166667,226.766667
29,12.266667,467.733333,14.717407,15.898689,15.441112,29.200000,15.466667,20.284400,262.366667,183.500000
30,13.000000,467.266667,14.640385,15.726475,15.333709,29.933333,16.533333,20.958267,244.100000,206.300000
31,14.166667,466.233333,14.543899,15.600358,15.230225,30.200000,16.933333,21.539467,248.800000,200.533333
32,12.766667,467.666667,14.427831,15.492288,15.124944,29.933333,17.533333,22.076400,262.900000,187.366667
33,12.966667,467.700000,14.310046,15.385019,15.015449,31.133333,18.000000,22.518133,266.000000,185.666667
34,11.933333,468.766667,14.216296,15.245160,14.902788,32.066667,18.400000,22.879200,236.766667,214.500000
35,11.866667,469.100000,14.152497,15.195460,14.792771,32.066667,18.666667,23.292267,224.033333,226.300000
