gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,49.333333,28.375106,38550581102379761642121768380399616.000000,77101163286187301676216743886848.000000,127.000000,3.000000,23.011867,0.000000,0.000000
1,53.333333,497.066667,25.916952,28.375106,28.079312,6.466667,3.933333,4.518533,285.300000,166.766667
2,37.133333,494.866667,25.022183,25.916952,25.873354,7.866667,5.200000,5.806933,322.000000,126.266667
3,9.066667,496.033333,24.408427,25.022183,24.986848,10.800000,7.400000,7.534000,307.266667,126.800000
4,12.666667,494.866667,24.107506,24.408427,24.398662,11.866667,8.733333,9.198400,205.100000,216.166667
5,13.466667,493.200000,23.501136,24.107506,24.094408,16.066667,10.066667,10.736533,190.700000,248.233333
6,16.600000,491.900000,22.963210,23.501136,23.486034,18.600000,13.933333,14.725600,229.000000,206.666667
7,14.000000,491.133333,22.367186,22.963210,22.950802,20.000000,15.333333,16.521067,247.600000,204.066667
8,16.733333,489.966667,21.476856,22.367186,22.349455,22.333333,16.800000,18.004667,226.666667,208.766667
9,11.566667,491.033333,21.133707,21.476856,21.471733,24.000000,19.133333,20.355467,192.266667,257.933333
10,16.666667,489.600000,20.639784,21.133707,21.121763,25.533333,20.866667,21.971200,218.533333,234.466667
11,12.966667,490.066667,20.356671,20.639784,20.634231,26.866667,23.200000,24.096800,188.533333,260.733333
12,13.266667,491.300000,19.987944,20.356671,20.350873,29.666667,24.800000,26.028933,132.133333,302.000000
13,13.100000,490.433333,19.629064,19.987944,19.980950,31.000000,27.000000,28.216000,174.866667,275.466667
14,15.133333,489.066667,19.358525,19.629064,19.622641,32.866667,28.666667,29.820400,102.966667,334.966667
15,11.266667,491.533333,19.129431,19.358525,19.352155,34.866667,30.466667,31.456933,174.433333,272.366667
16,11.633333,491.800000,18.747140,19.129431,19.124377,38.866667,31.866667,32.864000,207.400000,229.600000
17,12.166667,491.266667,18.459878,18.747140,18.743495,38.666667,33.400000,34.649733,234.366667,215.566667
18,14.300000,489.466667,18.266456,18.459878,18.457209,39.800000,34.333333,36.173200,205.800000,242.800000
19,11.700000,491.433333,18.072257,18.266456,18.264443,40.600000,36.133333,37.101733,216.600000,217.433333
20,12.833333,489.866667,17.844669,18.072257,18.068560,42.800000,37.666667,39.272000,202.800000,231.533333
21,9.100000,492.700000,17.694634,17.844669,17.842897,44.533333,39.933333,41.009867,176.033333,276.700000
22,6.833333,493.900000,17.582807,17.694634,17.693513,44.133333,41.000000,41.743733,221.600000,228.933333
23,7.466667,493.700000,17.384576,17.582807,17.581206,45.933333,42.466667,43.425200,233.933333,215.666667
24,8.566667,493.233333,17.199941,17.384576,17.381254,47.533333,44.000000,45.276400,162.333333,286.333333
25,10.166667,492.133333,17.036099,17.199941,17.198040,48.666667,45.400000,46.608400,176.100000,271.033333
26,10.400000,492.000000,16.929026,17.036099,17.035085,49.866667,46.200000,47.399467,246.566667,185.500000
27,10.033333,492.000000,16.823274,16.929026,16.927955,51.200000,47.733333,48.830533,175.833333,258.400000
28,6.000000,494.200000,16.768199,16.823274,16.822684,51.466667,48.733333,49.204267,249.833333,196.766667
29,5.066667,494.866667,16.634115,16.768199,16.767554,52.600000,49.533333,50.110933,239.300000,211.833333
30,9.600000,491.633333,16.496404,16.634115,16.632624,53.533333,50.333333,51.338800,236.233333,213.100000
31,8.400000,492.566667,16.389228,16.496404,16.494829,54.533333,51.466667,52.462267,306.966667,141.100000
32,7.366667,492.800000,16.306719,16.389228,16.388551,54.400000,52.200000,53.198533,222.633333,208.033333
33,5.066667,494.866667,16.233732,16.306719,16.306230,55.600000,52.600000,53.406400,251.333333,182.866667
34,9.133333,492.433333,16.105709,16.233732,16.231315,56.733333,53.733333,54.671867,219.533333,214.266667
35,6.766667,493.666667,16.037449,16.105709,16.105113,57.866667,55.000000,55.671600,223.300000,196.966667
36,10.733333,490.100000,15.918049,16.037449,16.035383,58.133333,55.733333,56.653733,277.566667,158.900000
37,4.366667,495.533333,15.868517,15.918049,15.917648,58.600000,56.533333,57.401200,267.633333,166.833333
38,4.533333,495.233333,15.777043,15.868517,15.867950,60.133333,57.733333,58.142667,265.100000,168.566667
39,4.333333,495.600000,15.698944,15.777043,15.776513,61.200000,58.733333,59.540933,209.066667,226.433333
40,6.000000,494.633333,15.577475,15.698944,15.697621,61.866667,59.066667,59.740533,279.233333,167.233333
41,5.466667,494.566667,15.503264,15.577475,15.576969,62.866667,59.933333,60.476000,282.433333,167.300000
42,7.833333,492.500000,15.441044,15.503264,15.502685,64.400000,61.066667,62.004933,281.400000,170.800000
43,8.400000,492.700000,15.312882,15.441044,15.439762,65.333333,62.200000,63.177333,282.266667,168.333333
44,6.000000,494.033333,15.202253,15.312882,15.311923,66.333333,63.200000,63.808933,266.433333,185.166667
45,3.633333,495.766667,15.135930,15.202253,15.201911,66.933333,64.533333,65.404533,194.166667,228.100000
46,5.766667,494.300000,15.067974,15.135930,15.135412,67.933333,65.266667,66.295200,193.166667,257.100000
47,5.000000,495.100000,15.034529,15.067974,15.067618,68.533333,66.333333,67.070933,237.000000,214.000000
48,6.466667,493.566667,14.988393,15.034529,15.034158,69.400000,66.933333,67.669467,223.566667,227.900000
49,4.900000,494.800000,14.956693,14.988393,14.988148,69.400000,67.066667,67.803600,222.400000,229.333333
50,3.500000,496.066667,14.928313,14.956693,14.956483,69.533333,68.000000,68.272400,239.566667,211.233333
51,5.466667,494.400000,14.881523,14.928313,14.927616,70.466667,68.200000,69.070267,268.833333,181.700000
52,3.533333,496.300000,14.845590,14.881523,14.881226,70.933333,69.200000,69.929467,252.966667,197.033333
53,4.100000,495.700000,14.812286,14.845590,14.845266,71.066667,69.333333,70.128000,300.500000,151.433333
54,2.500000,496.466667,14.790015,14.812286,14.812162,71.666667,69.800000,70.201067,237.700000,209.166667
55,3.466667,495.666667,14.744222,14.790015,14.789742,72.400000,70.533333,71.072267,223.666667,226.666667
56,4.266667,495.166667,14.689266,14.744222,14.743916,73.866667,71.400000,72.073600,266.533333,167.866667
57,2.700000,496.100000,14.657753,14.689266,14.689032,74.733333,72.200000,72.738933,284.800000,168.066667
58,2.900000,496.233333,14.627086,14.657753,14.657604,74.533333,72.666667,73.135867,285.666667,167.466667
59,3.066667,496.300000,14.589461,14.627086,14.626884,75.400000,73.266667,74.001200,239.300000,209.966667
60,2.866667,496.133333,14.554272,14.589461,14.589304,76.533333,74.466667,74.977733,251.566667,196.633333
61,2.800000,496.300000,14.516276,14.554272,14.554096,77.666667,75.666667,76.264533,254.366667,197.566667
62,2.766667,496.200000,14.497976,14.516276,14.516111,77.666667,76.533333,77.133600,208.400000,242.066667
63,2.600000,496.600000,14.469381,14.497976,14.497780,78.600000,77.066667,77.378000,238.133333,211.600000
64,3.033333,496.000000,14.431082,14.469381,14.469150,79.333333,77.533333,77.912000,282.400000,168.600000
65,2.733333,496.333333,14.389429,14.431082,14.430845,79.333333,77.733333,78.313067,238.166667,211.500000
66,4.033333,495.200000,14.354337,14.389429,14.389174,80.133333,78.333333,78.774000,224.833333,224.966667
67,3.500000,495.433333,14.309089,14.354337,14.353903,80.533333,78.600000,79.308800,238.233333,214.033333
68,4.366667,495.133333,14.233771,14.309089,14.307990,81.333333,79.133333,79.711333,224.800000,226.133333
69,2.200000,496.633333,14.197331,14.233771,14.233588,80.933333,79.466667,79.968000,251.533333,194.933333
70,4.600000,495.233333,14.152186,14.197331,14.197060,82.333333,80.066667,80.773200,223.600000,227.266667
71,4.666667,494.866667,14.104404,14.152186,14.151798,82.666667,80.933333,81.701200,240.400000,212.733333
72,4.000000,495.266667,14.062002,14.104404,14.104112,83.000000,81.266667,81.834800,254.800000,195.000000
73,4.700000,495.066667,14.014831,14.062002,14.061472,84.066667,82.200000,82.835067,240.400000,209.133333
74,3.800000,495.300000,13.985784,14.014831,14.014619,84.533333,82.733333,83.235333,222.033333,228.100000
75,6.166667,493.600000,13.942282,13.985784,13.985224,84.933333,82.800000,83.631733,223.166667,212.766667
76,2.733333,496.400000,13.921330,13.942282,13.942093,85.200000,83.800000,84.366133,266.766667,167.533333
