gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,49.333333,28.375106,38550581102379761642121768380399616.000000,77101163286187301676216743886848.000000,127.000000,3.000000,23.011867,0.000000,0.000000
1,212.133333,125.333333,28.377543,38550445230480254846455311778185216.000000,77101076356922469878239605030912.000000,129.533333,1.000000,22.545867,1.500000,449.366667
2,172.933333,165.100000,27.765515,38550443933312456541934591567462400.000000,92964888715849917187027596476416.000000,130.933333,1.000000,22.391867,1.866667,449.333333
3,148.600000,195.566667,27.495943,7952052934358359495065686377496576.000000,15904391471402378473998370471936.000000,130.866667,1.000000,22.055200,2.233333,447.766667
4,129.866667,216.333333,26.653158,170387093904595954039380770816.000000,704082638208286160320462848.000000,131.200000,1.000000,21.624000,2.766667,444.766667
5,113.766667,234.166667,26.287254,141289814499214759739187527680.000000,286392238531559049423486976.000000,130.666667,1.000000,21.237333,2.900000,447.366667
6,105.766667,248.333333,26.635739,81905019847384853903579283456.000000,165592324394297568033505280.000000,131.000000,1.000000,20.836400,3.000000,448.800000
7,91.633333,267.266667,26.212442,557339142538513359229157376.000000,3345268905710823948681216.000000,131.333333,1.000000,20.662000,3.966667,446.166667
8,86.566667,276.200000,26.739027,511995458939452154764591104.000000,3144782271377315584802816.000000,131.600000,1.000000,20.167733,3.500000,444.900000
9,80.400000,286.233333,26.677054,511989626253806931579764736.000000,3094051355749962594910208.000000,131.466667,1.000000,19.784667,3.933333,444.666667
10,76.833333,293.866667,26.522053,511989578624080526295695360.000000,2897702901690750942052352.000000,131.200000,1.000000,19.454133,4.233333,443.766667
11,73.000000,298.900000,25.706092,486804437648210502107529216.000000,2653787813906543529689088.000000,131.800000,1.000000,19.202800,4.333333,446.800000
12,68.466667,306.666667,25.408144,477681381337442719897747456.000000,2682772820979463841906688.000000,130.933333,1.000000,19.079600,4.033333,448.366667
13,65.566667,312.000000,25.610991,477680529828719809982889984.000000,3096459534949019910406144.000000,131.066667,1.000000,19.312933,4.566667,446.033333
14,63.166667,316.800000,25.053403,477680529704808697823232000.000000,6494843175915246915158016.000000,130.533333,1.000000,19.100667,4.600000,445.666667
15,60.000000,322.900000,25.274970,477623874762594845611524096.000000,8053455781974693109563392.000000,130.333333,1.000000,19.056400,5.166667,444.100000
16,60.966667,327.833333,24.793924,477623439665046266050510848.000000,8202728168962599463944192.000000,129.466667,1.000000,18.485333,5.500000,446.100000
17,53.933333,334.233333,24.688358,477619325754776894681645056.000000,14019346065229465482428416.000000,130.000000,1.000000,18.212533,7.866667,440.933333
18,56.133333,335.633333,24.672968,477619325754775932608970752.000000,16248216862534123009343488.000000,129.666667,1.000000,18.540267,6.633333,444.766667
19,53.800000,340.033333,24.252877,477619325754770572489785344.000000,10777746693506306509111296.000000,129.400000,1.000000,18.630800,6.833333,444.566667
20,50.466667,345.000000,24.255106,477619325754642616824102912.000000,10425031048148483261333504.000000,128.666667,1.000000,18.162133,7.366667,440.300000
21,50.066667,348.233333,23.965966,477619325749269578377068544.000000,9467315980669286787055616.000000,128.333333,1.000000,18.009200,7.033333,443.300000
22,49.866667,349.966667,24.252267,477614947561667866363166720.000000,11980589591747078710624256.000000,127.933333,1.000000,17.608533,6.866667,443.800000
23,49.700000,352.266667,23.871335,477525403175848609549647872.000000,7013861071388934462767104.000000,127.133333,1.000000,17.314533,7.000000,441.266667
24,46.833333,353.466667,24.468161,477525403175847716196450304.000000,6550258616629212672425984.000000,124.533333,1.000000,17.281600,8.366667,443.366667
25,46.033333,354.800000,23.889462,477520528797836516045881344.000000,5727329667834875907932160.000000,125.200000,1.000000,17.427600,7.600000,439.800000
26,45.533333,355.200000,23.606798,477520528797829094342393856.000000,7720042869228752823386112.000000,124.866667,1.000000,17.444000,7.500000,441.366667
27,45.133333,356.566667,23.575609,477504780735376512358809600.000000,4840577058520705219428352.000000,121.733333,1.000000,17.358267,7.566667,442.700000
28,41.433333,359.600000,24.068904,476891843201715039962660864.000000,4630695957066000019488768.000000,121.733333,1.000000,16.957200,7.366667,443.900000
29,42.300000,361.300000,23.951241,441849042714582179836329984.000000,1185289597678854118309888.000000,123.400000,1.000000,17.055867,8.033333,442.300000
30,46.300000,360.566667,23.637971,441841398751952837078417408.000000,1154555185293699284205568.000000,122.466667,1.000000,17.128267,8.300000,446.166667
31,41.633333,365.200000,23.944971,27969086393018357378973696.000000,264962390598309929549824.000000,123.600000,1.000000,16.887867,8.400000,442.133333
32,41.700000,366.800000,23.140709,27969086393018073911132160.000000,209796893778737331437568.000000,117.866667,1.000000,16.899200,8.600000,444.866667
33,40.533333,367.133333,23.529496,16043317885149678034485248.000000,109358158554370177761280.000000,116.266667,1.000000,16.945600,9.033333,440.166667
34,40.500000,367.933333,23.252536,16043317885147062399401984.000000,194582583477419426971648.000000,114.400000,1.000000,16.605467,11.100000,437.700000
35,40.133333,370.733333,22.831830,15914140873636738668429312.000000,62456184066727726809088.000000,116.333333,1.000000,16.384133,17.033333,431.166667
36,36.066667,374.466667,22.755815,15914134015686348453707776.000000,39014975368186451460096.000000,115.666667,1.000000,16.238000,16.766667,434.166667
37,36.466667,379.366667,22.075262,15914134015686348453707776.000000,32651183787388126101504.000000,114.133333,1.000000,15.863467,15.900000,433.900000
38,35.266667,382.466667,22.331796,15914134015684585369632768.000000,96100825177157305106432.000000,111.866667,1.000000,15.554400,16.233333,434.300000
39,35.400000,383.700000,21.838736,15914134015388548306305024.000000,95629089576097517928448.000000,111.933333,1.000000,15.138667,14.666667,434.066667
40,37.733333,382.033333,21.937723,15914134015377516682805248.000000,127457355334491798765568.000000,109.533333,1.000000,15.485333,16.133333,434.400000
41,32.633333,383.200000,21.894031,15914133540943882147069952.000000,286598687293188006215680.000000,109.733333,1.000000,15.395200,18.966667,433.500000
42,33.500000,384.866667,21.802641,15914133540943882147069952.000000,302007807312995670818816.000000,110.133333,1.000000,15.414267,17.600000,431.533333
43,32.766667,386.933333,21.397858,15914133540943845639847936.000000,174692100193834414112768.000000,109.800000,1.000000,15.260267,19.133333,430.400000
44,34.433333,385.066667,21.566319,15914133540943843492364288.000000,142905995397933001867264.000000,109.400000,1.000000,15.110667,17.666667,433.000000
45,34.633333,385.500000,21.596339,15914133358006594204336128.000000,222793065038611757400064.000000,109.266667,1.000000,14.994933,18.400000,433.933333
46,33.733333,388.166667,21.707698,15914133345445330986991616.000000,327382458008038354714624.000000,110.866667,1.000000,14.983200,17.933333,432.066667
47,31.400000,389.700000,21.706031,15914133345133329530224640.000000,222651004459064036950016.000000,109.266667,1.000000,15.029200,20.200000,429.066667
48,31.833333,389.966667,22.266923,15913850204717631055855616.000000,127163191407356757934080.000000,108.400000,1.000000,14.891200,23.266667,430.133333
49,32.533333,389.666667,22.303780,15913315981025631084216320.000000,68557809505225528049664.000000,107.600000,1.000000,15.094667,28.433333,420.500000
50,30.533333,392.400000,22.304410,15913315981025631084216320.000000,36838475820978831097856.000000,107.866667,1.000000,15.093333,29.700000,420.566667
51,29.500000,393.866667,22.223115,15913315981025631084216320.000000,36839654092889076531200.000000,103.666667,1.000000,14.956533,30.766667,420.166667
52,31.300000,393.800000,21.946381,15913315981025631084216320.000000,31828988515067319287808.000000,103.866667,1.000000,14.979867,38.666667,413.200000
53,29.066667,396.100000,21.940768,589136262322365726720.000000,2356553955513860608.000000,100.533333,1.000000,14.724933,38.300000,409.966667
54,28.933333,397.666667,21.868775,589136262321742086144.000000,2356554907356568064.000000,100.333333,1.000000,14.565600,39.066667,413.200000
55,29.433333,397.433333,21.929490,589136262321739792384.000000,2356554055499293696.000000,100.133333,1.000000,14.688533,38.233333,409.700000
56,30.200000,397.100000,21.930632,1070202546558968.000000,6392528743617.088867,100.666667,1.000000,14.534533,42.033333,409.300000
57,28.566667,399.300000,21.648921,1070041496867760.250000,8174861986362.383789,97.800000,1.000000,14.549467,41.166667,407.833333
58,28.733333,399.766667,21.532191,1070041496867759.625000,8835355673156.269531,98.133333,1.000000,14.642800,41.233333,406.900000
59,28.666667,399.733333,21.582025,1070041496867323.125000,6466957505725.845703,99.133333,1.000000,14.804533,43.600000,410.533333
60,27.266667,400.500000,21.704153,807942803231036.375000,4590802960785.958008,100.666667,1.000000,14.682667,44.800000,403.666667
61,26.466667,403.233333,21.451675,807942761240929.500000,4423749276470.594727,100.400000,1.000000,14.932800,46.200000,403.333333
62,27.300000,403.166667,21.875265,807942761230008.625000,6380262671850.779297,101.933333,1.000000,14.968400,45.433333,402.766667
63,28.300000,402.700000,21.560268,807941920907977.375000,8707401802867.879883,101.400000,1.000000,14.948267,47.733333,401.333333
64,27.133333,401.933333,21.404416,787934182981064.125000,4306457005124.612793,99.666667,1.000000,14.928267,53.366667,397.233333
65,27.033333,403.233333,21.421261,787934182868201.750000,3985580838561.921387,100.133333,1.000000,15.113067,49.700000,397.433333
66,27.133333,402.833333,21.792803,297996190061778.937500,2479003358086.764648,99.600000,1.000000,15.136800,59.233333,389.700000
67,26.033333,403.533333,21.608132,297996179750528.062500,3246076635187.435547,101.266667,1.000000,15.137600,53.000000,398.933333
68,26.366667,404.733333,21.531864,290892452036560.937500,2408518880081.682617,102.866667,1.000000,14.795733,52.666667,397.466667
69,25.400000,405.100000,21.255649,290892452034584.125000,1673217183294.952637,102.733333,1.000000,14.717600,60.300000,394.366667
70,24.466667,407.366667,21.177737,290661360329046.875000,1326208586998.153809,100.666667,1.000000,14.371467,63.066667,387.066667
71,24.533333,408.900000,20.924074,290661290063967.812500,1350679875777.007324,97.266667,1.000000,14.102933,64.200000,385.933333
72,24.666667,408.566667,21.147538,290661290063934.937500,2183242437695.820068,95.266667,1.000000,14.136933,63.900000,387.433333
73,22.700000,410.766667,21.051941,279168918371788.343750,1635000684492.995850,96.066667,1.000000,13.671067,59.400000,389.066667
74,22.933333,412.433333,21.480283,238548310783025.968750,539261638362.760803,97.866667,1.000000,13.598800,67.266667,385.266667
75,22.466667,413.533333,21.433469,238548310779214.843750,617255980076.142700,95.400000,1.000000,13.375200,58.633333,388.500000
76,23.300000,413.000000,21.438150,238523505271881.375000,559968536978.549194,91.000000,1.000000,13.493467,75.600000,374.600000
77,21.500000,414.600000,21.234041,27294025294222.316406,148480486278.442841,90.800000,1.000000,13.402000,78.700000,370.633333
78,22.300000,414.800000,21.164289,27294025278895.562500,144924157261.033783,91.400000,1.000000,13.318800,73.366667,378.300000
79,21.700000,415.400000,21.224011,27294025277436.824219,189856456047.716705,90.666667,1.000000,13.196000,75.500000,375.833333
