gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,49.333333,28.375106,38550581102379761642121768380399616.000000,77101163286187301676216743886848.000000,127.000000,3.000000,23.011867,0.000000,0.000000
1,214.200000,126.366667,27.680996,16235608445220370889310208.000000,40907120106968469995520.000000,129.466667,1.000000,22.243467,1.366667,449.500000
2,172.233333,169.166667,27.445937,3681078892381751209885696.000000,7395838024448394395648.000000,129.400000,1.000000,21.576667,2.433333,447.166667
3,142.333333,202.433333,27.007774,5233172680951311892480.000000,23621645931346223104.000000,130.066667,1.000000,20.911200,3.000000,446.000000
4,127.300000,222.100000,27.323830,1725040216346900299776.000000,19509535304226201600.000000,130.133333,1.000000,20.367733,4.200000,444.600000
5,110.800000,243.600000,27.717396,1604136548162776858624.000000,3212107183414352896.000000,130.400000,1.000000,19.903333,4.366667,446.900000
6,102.100000,254.500000,26.936868,524744938462477568.000000,4736047117529275.000000,130.600000,1.000000,19.716400,5.500000,445.633333
7,91.733333,269.566667,26.909263,524698565681082368.000000,2082249002257480.500000,131.066667,1.000000,18.840933,5.533333,442.133333
8,86.433333,280.466667,26.916000,496940448188689088.000000,2727214133305024.000000,131.066667,1.000000,18.844133,6.233333,440.700000
9,80.400000,288.766667,25.834183,254314145286167072.000000,1386201056005285.750000,130.933333,1.000000,18.674800,7.266667,440.666667
10,74.966667,297.900000,25.912782,251820332476489248.000000,507348187477254.125000,130.733333,1.000000,18.051600,7.200000,441.866667
11,68.733333,309.666667,25.031023,859190759216664.875000,3675081067617.489746,130.400000,1.000000,17.877600,7.266667,442.066667
12,66.333333,316.066667,25.593111,472173507892697.062500,2233396366444.723145,129.666667,1.000000,17.818533,8.300000,442.166667
13,62.866667,321.800000,25.741626,468082406344707.312500,1388615341993.306396,129.466667,1.000000,17.554933,8.166667,438.233333
14,61.333333,328.233333,25.851652,52324756965310.359375,646233788977.624878,128.800000,1.000000,16.886533,8.166667,440.633333
15,58.066667,334.166667,25.412463,50227145241485.031250,434054915591.757629,128.533333,1.000000,16.532933,10.033333,443.433333
16,52.566667,338.833333,25.019325,49395976800255.859375,274805599263.068634,128.266667,1.000000,16.488533,11.433333,438.100000
17,54.300000,341.600000,24.549993,20114922067161.363281,112913546069.968109,127.400000,1.000000,16.404133,12.066667,434.400000
18,51.566667,345.800000,24.217273,14436531144031.587891,41314072993.579819,125.266667,1.000000,16.174667,10.233333,439.500000
19,51.600000,346.833333,24.484704,1493353280762.967041,3070118197.309318,125.066667,1.000000,15.897600,11.100000,439.300000
20,49.100000,349.500000,24.289045,6985773397.670716,46414680.381447,122.133333,1.000000,15.607067,12.200000,436.866667
21,47.800000,353.266667,24.519399,6856285838.289680,32949409.785371,123.200000,1.000000,15.702933,13.600000,437.200000
22,46.900000,356.400000,24.429681,6832271303.431584,33112333.167654,122.466667,1.000000,15.665067,14.000000,436.333333
23,43.533333,359.833333,24.478444,800766328.063526,7424598.415196,124.200000,1.000000,15.526133,19.666667,431.133333
24,41.633333,364.866667,23.513065,715156234.564804,8320155.837265,119.466667,1.000000,15.372533,18.033333,432.433333
25,41.733333,364.466667,23.539757,711968824.104803,7191822.009566,118.466667,1.000000,15.478933,18.633333,431.100000
26,41.833333,365.333333,22.224505,661658407.726482,4094090.004566,117.466667,1.000000,14.962667,21.433333,431.900000
27,42.266667,366.900000,22.167573,661631355.318536,3740395.141680,117.133333,1.000000,14.769067,29.166667,423.700000
