gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,49.333333,28.375106,38550581102379761642121768380399616.000000,77101163286187301676216743886848.000000,127.000000,3.000000,23.011867,0.000000,0.000000
1,195.866667,166.800000,27.067284,1051442879396721.500000,2162441611421.409668,128.400000,1.000000,14.435600,1.200000,447.866667
2,125.500000,252.733333,25.564097,100246821.680997,202254.178246,129.000000,1.000000,12.468800,12.866667,435.866667
3,89.366667,317.933333,24.300407,32723.222073,109.495142,126.866667,1.000000,10.411867,42.633333,408.100000
4,60.633333,372.633333,23.635648,77.005654,34.288223,122.666667,1.000000,7.062933,174.500000,274.833333
5,40.166667,411.866667,21.656036,39.328264,32.098828,70.133333,1.000000,5.769200,223.866667,225.400000
6,34.766667,432.100000,21.445264,37.045664,30.293191,39.000000,1.000000,5.934667,206.500000,243.833333
7,37.733333,438.933333,20.938371,34.062693,28.702734,33.266667,1.066667,6.422267,196.866667,254.600000
8,36.033333,441.533333,20.422961,32.725607,27.279151,31.133333,1.733333,6.995200,226.000000,225.466667
9,33.766667,442.833333,19.855050,30.517205,25.973336,26.800000,2.800000,7.696000,235.533333,214.866667
10,32.266667,442.133333,19.264873,29.000799,24.775924,23.333333,3.600000,8.399733,237.233333,209.300000
11,29.200000,443.600000,18.378830,27.424290,23.706557,24.866667,4.800000,9.100667,248.566667,198.966667
12,30.733333,441.833333,17.963897,26.300175,22.667383,24.533333,4.866667,9.932267,209.666667,241.333333
13,28.333333,442.833333,17.366330,25.317414,21.673328,23.933333,5.333333,10.609067,200.833333,248.766667
14,26.433333,445.066667,17.081301,24.478029,20.833688,24.133333,6.000000,11.097867,207.466667,242.933333
15,22.066667,448.400000,16.802129,22.786896,20.152325,24.866667,6.466667,11.429467,228.666667,221.000000
16,20.633333,450.266667,16.542062,21.919257,19.558619,24.933333,6.866667,11.898400,256.166667,192.900000
17,19.000000,453.066667,16.368083,20.939228,18.990035,30.733333,7.333333,12.524000,264.966667,184.300000
18,20.100000,452.466667,16.094365,20.288747,18.438383,31.800000,7.800000,13.183600,230.466667,216.000000
19,17.900000,453.100000,15.952694,19.755201,17.894501,32.200000,8.400000,13.806933,188.933333,262.733333
20,17.566667,454.733333,15.851016,19.355439,17.424427,27.400000,9.200000,14.334933,187.533333,264.333333
21,15.166667,457.933333,15.702527,18.768734,17.064407,25.933333,9.933333,14.956000,201.566667,248.166667
22,15.066667,460.200000,15.592192,17.942798,16.811840,26.200000,10.666667,15.719333,205.166667,246.166667
