gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,50.000000,0.533333,32.996780,140593602457494716678144.000000,2841170801562885292032.000000,127.000000,3.000000,22.741333,0.000000,0.000000
1,44.933333,33.300000,30.447066,36093007469.794579,721863681.918968,36.000000,3.733333,10.264000,0.333333,44.866667
2,42.766667,30.400000,29.224999,746798730227544192.000000,14935974604552390.000000,38.333333,3.200000,11.237333,1.566667,42.966667
3,43.033333,28.733333,28.593343,178093470631544704.000000,3561869412662317.000000,34.933333,4.533333,12.304000,1.733333,43.333333
4,40.833333,29.133333,28.341922,6150028056.334186,123001273.408931,38.066667,1.400000,13.318667,3.700000,41.033333
5,40.566667,29.466667,28.070467,38811112734669791232.000000,776222254693396352.000000,39.333333,2.200000,13.333333,3.700000,40.533333
6,39.866667,29.433333,27.802512,1233867235114.842773,24677595366.938240,44.133333,1.000000,13.597333,5.800000,39.833333
7,39.100000,29.533333,27.298695,35308829394.548439,706178295.473518,46.133333,1.066667,13.326667,5.866667,39.066667
8,39.633333,29.233333,26.866971,63530278205527.710938,1270605567191.920654,42.066667,1.400000,13.461333,4.800000,40.366667
9,38.133333,29.100000,26.659014,1423145057879970.750000,28462901159582.527344,33.466667,3.066667,14.029333,5.366667,38.333333
10,38.233333,29.566667,26.576773,61007887498.622421,1220178098.554847,44.666667,1.666667,15.253333,4.600000,39.633333
