gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,116.900000,227.533333,3.504067,18555.339410,69.641201,130.200000,1.000000,20.126533,9.400000,241.600000
2,64.666667,308.866667,3.465370,111.651073,5.202710,130.533333,1.000000,20.973600,29.266667,219.000000
3,28.766667,369.266667,3.416435,12.147378,3.856956,130.933333,1.000000,24.164933,26.300000,226.100000
4,13.733333,405.766667,3.370865,5.341473,3.678550,129.133333,2.266667,26.051867,114.166667,138.166667
5,15.100000,415.866667,3.340599,3.939435,3.645894,128.933333,2.866667,26.306533,184.133333,65.400000
6,20.700000,411.366667,3.308747,3.680566,3.616140,128.400000,3.000000,26.608267,153.333333,95.533333
7,26.366667,409.300000,3.279813,3.680566,3.575216,122.666667,3.133333,26.936267,121.600000,127.666667
8,24.933333,417.766667,3.248367,3.678617,3.524570,104.200000,4.133333,27.998933,122.833333,126.166667
9,24.600000,428.633333,3.223674,3.655438,3.472925,81.400000,6.600000,29.514400,121.200000,129.133333
10,20.300000,438.700000,3.195462,3.600989,3.425678,75.266667,10.400000,31.864400,135.366667,114.366667
11,20.600000,440.800000,3.157533,3.540947,3.382150,71.933333,13.600000,34.563467,133.366667,116.633333
12,17.933333,443.800000,3.130390,3.500097,3.341957,70.200000,15.600000,36.887067,123.433333,127.900000
13,15.400000,446.866667,3.091273,3.444484,3.303008,66.866667,20.666667,38.580933,131.833333,122.100000
14,15.833333,450.666667,3.048589,3.400318,3.269554,68.866667,24.066667,39.894533,131.766667,120.366667
15,14.700000,452.600000,3.013255,3.341131,3.239958,67.733333,25.933333,40.860400,130.566667,121.166667
16,13.300000,453.500000,2.987630,3.313479,3.212054,67.533333,26.666667,41.999333,117.766667,131.233333
17,13.766667,454.600000,2.958441,3.279577,3.183928,66.600000,27.933333,43.095067,156.000000,93.533333
18,13.766667,454.933333,2.940029,3.251223,3.153502,66.933333,30.466667,44.032933,144.633333,104.500000
19,13.266667,455.233333,2.890842,3.224938,3.121555,67.266667,30.400000,44.624800,145.766667,103.700000
20,12.233333,455.633333,2.848306,3.208402,3.088148,67.333333,30.600000,44.776667,137.433333,110.233333
21,10.533333,458.266667,2.815994,3.180592,3.052278,66.733333,31.200000,45.180800,142.233333,105.633333
22,11.600000,460.133333,2.788727,3.143791,3.016470,66.400000,31.933333,45.671200,124.800000,122.933333
23,10.033333,463.333333,2.773062,3.111457,2.981651,65.266667,33.466667,46.158400,133.900000,119.366667
24,10.066667,465.566667,2.759911,3.069483,2.948158,64.400000,34.200000,46.422267,153.633333,93.700000
25,10.133333,465.800000,2.742581,3.026087,2.915957,65.400000,36.333333,46.507333,141.866667,111.400000
26,9.033333,466.166667,2.725441,2.991940,2.884672,62.533333,37.133333,46.561867,145.100000,108.700000
27,8.333333,468.500000,2.715890,2.965198,2.852753,61.666667,37.800000,46.860000,147.233333,106.433333
28,7.766667,470.066667,2.703260,2.936485,2.825367,61.200000,38.066667,47.575600,137.700000,114.300000
29,7.833333,470.766667,2.668802,2.906866,2.801926,61.200000,38.200000,48.331333,139.066667,110.200000
30,7.333333,472.233333,2.657669,2.856906,2.781149,62.200000,39.000000,48.920533,136.433333,115.900000
31,5.800000,474.700000,2.649610,2.830155,2.762394,63.200000,40.266667,49.271600,129.300000,121.233333
32,6.233333,476.200000,2.642733,2.812585,2.745778,62.600000,41.333333,49.619200,145.700000,104.300000
33,6.133333,477.733333,2.626960,2.790605,2.729689,61.733333,42.400000,49.932267,138.900000,108.566667
34,5.500000,478.100000,2.605064,2.769853,2.713780,59.866667,42.600000,50.177600,149.433333,98.566667
35,5.500000,478.600000,2.590906,2.753561,2.698711,60.133333,42.800000,50.369733,151.066667,99.533333
36,6.033333,478.400000,2.583219,2.728111,2.682970,59.933333,43.133333,50.697467,156.466667,97.600000
37,6.200000,478.333333,2.572567,2.719234,2.665735,61.600000,43.200000,51.277200,127.966667,125.700000
38,5.366667,480.100000,2.555818,2.709542,2.650032,61.800000,44.000000,51.869067,128.600000,123.666667
39,5.000000,480.933333,2.545150,2.692612,2.636367,61.866667,44.800000,52.439200,149.600000,107.600000
40,4.833333,481.666667,2.534180,2.671980,2.622595,64.800000,45.466667,52.848133,143.300000,109.233333
41,4.833333,482.033333,2.526135,2.654975,2.608187,64.800000,45.000000,53.006533,126.466667,123.666667
