gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,439.366667,358.266667,3.424098,9661.588938,29.113922,85.466667,1.066667,21.893067,2.233333,445.433333
2,426.366667,343.233333,3.333128,47512.523334,113.223908,83.733333,1.000000,25.300133,6.966667,440.900000
3,414.966667,327.333333,3.264828,3515.385647,21.165634,85.266667,1.000000,28.187067,23.900000,426.233333
4,400.100000,319.266667,3.200217,485969.436538,994.807332,84.400000,1.066667,30.724533,29.833333,419.500000
5,395.433333,331.200000,3.144429,19468.675966,83.945658,85.066667,1.000000,33.367867,45.066667,406.466667
6,388.366667,328.300000,3.094342,43658.597617,160.279271,83.733333,1.200000,34.398400,35.233333,414.433333
7,388.100000,329.433333,3.052930,36797.823342,108.637292,84.666667,1.000000,35.241467,34.300000,415.966667
8,385.700000,329.833333,3.019473,33827.751623,132.982386,85.000000,1.000000,36.318933,37.700000,414.700000
9,384.466667,332.133333,2.988901,219696.362741,508.785940,83.600000,1.000000,37.021733,42.466667,408.200000
10,382.133333,331.266667,2.957816,985471.628280,2019.228914,96.466667,1.066667,37.952667,38.500000,412.166667
11,377.533333,328.333333,2.941056,20209.846605,85.441998,85.400000,1.000000,38.225600,37.500000,405.633333
12,376.333333,327.300000,2.919489,1077170.726122,2170.674159,96.200000,1.066667,39.399200,36.400000,412.866667
13,377.733333,323.166667,2.898101,34303.617968,100.320908,83.266667,1.000000,39.636400,50.366667,401.700000
14,376.166667,324.333333,2.893536,20774.890963,54.993259,85.066667,1.000000,39.846267,46.133333,402.666667
15,377.600000,325.266667,2.888089,22353.748050,62.170869,82.266667,1.000000,40.276933,45.933333,403.200000
16,375.733333,325.400000,2.885913,27469.453393,76.186422,85.666667,1.000000,40.977200,46.533333,405.466667
17,376.700000,322.533333,2.881312,60745.606703,159.451624,84.866667,1.066667,41.207600,43.633333,407.166667
18,372.733333,326.100000,2.877441,17019.439468,46.841992,77.666667,1.000000,41.642400,37.366667,409.133333
19,373.633333,320.200000,2.872875,20212.438821,58.085409,93.933333,1.000000,41.838000,41.700000,409.233333
20,373.900000,316.700000,2.853460,25386.291980,89.541700,92.133333,1.133333,42.496667,41.466667,409.333333
21,368.100000,317.933333,2.845259,63849.090308,174.899547,83.866667,1.000000,43.304133,41.500000,408.233333
22,367.300000,312.933333,2.841491,87257.441253,201.762005,90.133333,1.000000,43.690800,42.933333,405.466667
23,367.233333,316.033333,2.833319,232555.528064,507.508886,80.933333,1.000000,43.784400,41.500000,407.300000
