gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,438.800000,96.533333,3.558944,941248834.020561,3118971.941035,130.933333,1.000000,27.150267,0.566667,447.100000
2,383.400000,106.966667,3.557215,774292354.347040,2761506.226501,132.600000,1.000000,27.499200,1.766667,442.633333
3,344.266667,118.166667,3.541014,431756436.413949,2200778.113037,135.933333,1.000000,27.477467,2.533333,446.000000
4,324.133333,127.100000,3.513027,623735572.447469,1821128.452116,136.133333,1.000000,26.921600,3.733333,449.533333
5,306.233333,138.233333,3.525542,546944348.285227,1581018.963174,136.400000,1.000000,26.789467,4.166667,446.033333
6,286.033333,148.466667,3.500523,1075056124.808716,2457514.866123,138.933333,1.000000,26.809733,4.033333,445.100000
7,281.433333,153.800000,3.528000,814268864.625203,3185523.940428,135.333333,1.000000,27.309600,4.266667,449.066667
8,265.166667,161.066667,3.509360,2893586200.960658,7937333.005505,136.066667,1.000000,26.937867,4.900000,440.700000
9,260.866667,164.866667,3.508371,145323634372.383972,292770431.438590,135.466667,1.000000,26.891733,4.933333,442.600000
10,257.433333,167.133333,3.497316,5121412140.310116,11337495.614098,133.933333,1.000000,26.696000,5.566667,444.833333
11,248.233333,172.800000,3.483164,9042054192.339058,19710533.106027,138.733333,1.000000,26.741600,7.866667,443.266667
12,243.666667,174.866667,3.486574,483818533088.999817,981225102.648713,138.333333,1.000000,26.886667,8.000000,443.200000
13,240.600000,177.333333,3.488596,4333921329.798341,9712943.268779,137.200000,1.000000,26.886267,7.666667,442.133333
14,241.000000,178.966667,3.501369,6782327439.676114,17522366.881334,136.600000,1.000000,27.088800,7.166667,443.166667
15,242.466667,176.466667,3.504598,5733286069.233859,13156498.776277,137.066667,1.000000,26.992000,7.900000,443.233333
16,238.500000,183.000000,3.498604,5546824633.332090,42752177.834138,136.600000,1.000000,26.927867,7.533333,441.533333
17,232.300000,186.500000,3.482279,17125855560.295166,95857315.385177,137.000000,1.000000,26.763733,7.633333,442.700000
18,227.000000,190.333333,3.470526,17100766685.519592,148757827.209746,135.733333,1.000000,26.747200,6.633333,443.233333
19,225.366667,190.800000,3.486070,106233054660.244141,379762668.695948,136.866667,1.000000,26.682000,7.066667,441.400000
20,225.666667,190.900000,3.473379,122105244687.679031,381547417.463620,135.533333,1.000000,26.101867,7.333333,444.666667
21,217.966667,193.800000,3.503432,55127938890.413902,185649400.020211,134.666667,1.000000,25.947867,7.500000,443.166667
22,219.666667,195.966667,3.492552,10158886139.525385,65494712.493352,132.866667,1.000000,25.614933,7.166667,440.100000
23,222.100000,194.833333,3.489442,5450433116.781110,76068585.734327,135.333333,1.000000,25.476933,9.033333,440.833333
24,220.600000,196.433333,3.478124,5906884185.253370,84657434.467609,134.733333,1.000000,25.246267,8.000000,441.600000
25,215.433333,201.133333,3.445736,7575471955.398669,53730201.621764,131.066667,1.000000,25.105733,7.433333,441.633333
26,216.033333,199.433333,3.446427,24305420413.449898,76860722.805633,134.266667,1.000000,25.403200,6.266667,442.866667
27,218.033333,198.900000,3.448708,3601133211.555974,21959137.437543,137.266667,1.000000,25.465333,7.800000,443.000000
28,220.933333,196.933333,3.428677,3612755569.285008,8962215.810179,138.266667,1.000000,25.514667,8.266667,443.866667
29,220.700000,197.266667,3.467822,4301387417.986948,11710698.056373,138.266667,1.000000,25.377333,6.600000,442.800000
30,218.133333,199.633333,3.461343,33865768371.478039,85701020.339420,135.666667,1.000000,25.158400,8.100000,443.033333
31,213.733333,203.200000,3.450065,3606829387.362263,18074700.204350,134.133333,1.000000,25.216667,7.300000,439.233333
32,212.633333,203.533333,3.449195,67516469228.726830,147343267.389797,135.200000,1.000000,25.348933,6.933333,443.533333
33,213.633333,204.833333,3.413962,1579026435.897229,9217187.056427,134.466667,1.000000,25.269200,7.666667,441.933333
34,209.366667,206.700000,3.428552,1664044335.799207,7569404.906613,136.266667,1.000000,25.017733,9.333333,439.733333
35,210.033333,205.900000,3.449993,1517075510.142552,7306992.908599,135.133333,1.000000,25.098400,8.066667,439.933333
36,208.200000,208.733333,3.444102,1138118214.247411,9479842.767107,132.866667,1.000000,24.748400,7.666667,442.800000
37,211.000000,205.333333,3.436849,1843173172.429499,14010497.321721,132.466667,1.000000,24.670533,6.466667,446.333333
38,208.066667,207.266667,3.423175,696976605.228698,8461250.063927,133.733333,1.000000,24.508800,6.633333,445.166667
39,204.333333,209.933333,3.417331,515251492.735281,8635352.448249,132.666667,1.000000,24.489733,8.666667,441.866667
40,205.200000,209.500000,3.408153,1475500492.929423,10871731.775789,132.266667,1.000000,24.415067,8.533333,441.133333
41,206.400000,209.100000,3.391986,736082909.685566,7379031.674728,135.466667,1.000000,24.787600,7.833333,443.033333
42,205.700000,207.433333,3.419241,582189502.174366,4518815.358082,132.200000,1.000000,24.657200,7.000000,442.266667
43,210.133333,203.900000,3.410686,1163741167.210401,6100770.659616,132.333333,1.000000,25.126000,7.266667,443.333333
44,209.166667,203.200000,3.432046,23018641949.268372,52343357.527318,134.133333,1.000000,25.411333,7.800000,441.800000
45,215.166667,200.033333,3.398241,114004578615.029984,232592717.937673,135.333333,1.000000,25.543467,9.700000,444.900000
46,211.966667,203.966667,3.421555,2615281569.136976,7843793.602728,133.866667,1.000000,25.113200,7.966667,441.366667
47,208.133333,207.433333,3.450887,2147435604.343505,7853197.531902,131.666667,1.000000,25.100533,8.433333,439.566667
48,212.466667,205.166667,3.444393,1373582804.115557,7237565.745811,137.066667,1.000000,24.887200,7.300000,443.500000
49,208.766667,206.966667,3.464708,1054528728.369650,6550512.144521,136.333333,1.000000,24.692400,7.033333,444.833333
50,210.533333,206.700000,3.452509,1290349497.591516,6813209.253898,132.466667,1.000000,24.670667,6.200000,445.200000
51,210.666667,205.033333,3.444775,786789430.278228,3723267.576380,132.200000,1.000000,24.707200,5.966667,445.233333
52,212.166667,204.033333,3.453152,503946970.009301,2396800.180092,132.333333,1.000000,24.898800,5.666667,446.466667
53,211.066667,204.800000,3.444671,775534623.816792,2839058.186225,131.400000,1.000000,24.976800,7.400000,444.066667
54,209.166667,203.266667,3.463894,2740331886.495727,7314630.937107,131.666667,1.000000,25.144400,5.933333,443.600000
55,213.833333,203.033333,3.458598,1286873014.794065,3711600.583853,131.600000,1.000000,24.961200,5.966667,447.900000
56,213.933333,203.166667,3.465525,946814298.521750,3395376.591871,131.133333,1.000000,25.243200,5.333333,443.733333
57,209.666667,205.800000,3.448142,196978455.774186,1274139.419737,132.066667,1.000000,24.814667,6.566667,445.100000
58,207.466667,208.433333,3.476381,846173256.615245,2472107.186421,132.333333,1.000000,24.890000,6.400000,444.733333
59,208.566667,206.766667,3.465090,89085542.153488,757037.570722,129.400000,1.000000,25.088667,6.833333,442.566667
60,208.100000,207.066667,3.456410,795784733.447111,2262310.728022,129.466667,1.000000,25.167600,5.833333,443.833333
61,209.600000,205.966667,3.451495,146815361.464007,1308393.215047,132.200000,1.000000,25.386400,5.433333,443.233333
62,212.733333,201.300000,3.407132,155847949.698298,993823.149991,133.666667,1.000000,25.495467,7.033333,447.500000
63,209.166667,204.366667,3.419222,150452363.855303,983262.403152,131.866667,1.000000,25.630267,7.066667,443.200000
64,207.766667,202.433333,3.427765,347486602.582121,1639957.631655,131.200000,1.000000,25.782133,6.800000,437.600000
65,214.800000,202.900000,3.396289,3786047716.758621,8546824.134761,131.266667,1.000000,25.784533,6.900000,444.033333
66,214.966667,199.366667,3.394076,314736970.710608,1841583.173841,135.133333,1.000000,25.688000,6.933333,442.266667
67,212.600000,201.300000,3.454342,488468298.206988,2313060.532407,138.266667,1.000000,26.057867,7.133333,441.666667
68,210.166667,205.133333,3.449276,308747653.284589,1550940.808695,133.733333,1.000000,25.811200,7.400000,443.400000
69,210.200000,202.166667,3.433910,258826817.322290,1387512.158782,135.266667,1.000000,26.187067,7.133333,442.600000
70,213.133333,200.733333,3.423215,149911477.720155,1244183.566298,136.333333,1.000000,25.971600,7.466667,440.066667
71,213.566667,199.533333,3.413141,165063455.121910,925439.339025,135.866667,1.000000,26.156800,7.100000,445.166667
72,211.933333,200.033333,3.461396,364658695.460628,1363793.278334,136.266667,1.000000,26.157333,7.566667,440.100000
73,213.433333,199.433333,3.439920,221435681.682098,1179224.629049,137.133333,1.000000,26.016800,6.366667,444.766667
74,216.333333,199.866667,3.450862,3805702432.899461,8960258.895155,136.600000,1.000000,25.930267,7.200000,443.266667
75,214.833333,199.966667,3.447762,1155282203.995823,4146439.072407,136.200000,1.000000,25.472267,7.900000,442.833333
76,208.133333,203.700000,3.490767,1160458268.605745,4610156.763826,133.533333,1.000000,25.253200,8.200000,440.666667
77,207.000000,204.633333,3.452462,223576694.371137,930863.561494,135.200000,1.000000,25.286933,6.866667,443.333333
78,210.733333,202.566667,3.460497,1279439932.288318,3098994.985604,134.200000,1.000000,25.499867,8.433333,446.366667
79,213.000000,201.166667,3.446144,2738424086.756977,7084814.651383,135.533333,1.000000,25.793467,7.033333,442.766667
80,215.366667,199.900000,3.446343,2169226108.577708,7567442.667596,135.533333,1.000000,25.827600,7.166667,442.700000
81,213.733333,200.700000,3.450440,2241354478.313562,5111481.029052,136.800000,1.000000,25.650133,7.700000,445.033333
82,211.666667,203.100000,3.453577,330361699.177586,961571.066419,139.200000,1.000000,25.211067,6.666667,444.333333
83,214.200000,200.166667,3.447697,139504637.412084,762168.729388,135.866667,1.000000,25.059733,6.466667,441.333333
84,212.900000,201.633333,3.436711,129398524.569344,640187.800628,132.666667,1.000000,24.552533,6.700000,440.766667
85,216.300000,199.900000,3.474945,133656748.835260,673093.523757,132.666667,1.000000,24.594400,7.966667,444.300000
86,209.400000,203.833333,3.473234,735828887.143981,1936054.273436,135.666667,1.000000,24.469333,8.733333,440.000000
87,217.200000,202.033333,3.480358,5931273639.405454,13610947.739566,133.733333,1.000000,24.307733,8.066667,443.600000
88,215.733333,201.133333,3.478187,171178350.499892,713491.448035,135.800000,1.000000,24.437200,6.666667,442.133333
89,221.300000,195.500000,3.471964,184507428.660094,630243.303945,134.866667,1.000000,24.665467,6.566667,442.700000
90,215.300000,198.333333,3.493337,126190070.053774,662286.889576,135.333333,1.000000,24.732400,7.466667,440.466667
