gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,445.100000,144.133333,3.527006,4065826.117598,10672.948068,130.333333,1.000000,18.589733,0.933333,446.733333
2,369.466667,160.766667,3.489641,379840.061645,863.558616,131.000000,1.000000,20.239867,10.633333,437.700000
3,321.866667,168.300000,3.481293,8932052.364363,19634.809945,131.800000,1.000000,22.453200,56.400000,390.533333
4,301.233333,168.766667,3.466311,68224912.539939,137149.264735,135.466667,1.000000,25.684667,89.933333,362.800000
5,285.933333,167.400000,3.461265,7294927099.376515,14590174.999441,135.000000,1.000000,28.513867,93.866667,356.066667
6,279.966667,161.300000,3.444495,26483563.101093,54357.691547,136.400000,1.000000,31.489467,87.200000,361.600000
7,278.166667,157.466667,3.441336,1246179217.706393,3260664.739069,134.533333,1.000000,34.012133,99.466667,349.800000
8,281.100000,148.700000,3.450010,1093003573.805269,2338534.374530,137.600000,1.000000,37.180533,88.066667,359.400000
9,289.866667,139.566667,3.443050,107639482.342579,218714.951838,139.800000,1.000000,39.726533,79.666667,368.666667
10,300.100000,127.233333,3.442516,550042316.002824,1124334.443259,138.466667,1.000000,41.885200,72.733333,378.400000
11,303.366667,120.600000,3.462264,95686196.197763,195825.226385,138.200000,1.000000,44.284800,68.800000,381.733333
12,312.333333,109.933333,3.464718,12090760.393504,26234.524554,137.066667,1.000000,47.046533,60.966667,389.966667
13,317.466667,102.233333,3.472677,7555912477.893805,15824701.568033,138.466667,1.000000,48.921733,53.200000,398.533333
14,320.533333,96.833333,3.488357,22845441.744978,51360.481988,139.000000,1.000000,50.734800,50.000000,397.733333
15,328.766667,92.000000,3.459334,70866122260.068619,141918535.567891,139.733333,1.000000,51.979600,45.766667,406.100000
16,333.666667,86.733333,3.430000,4922912721.827544,15025929.694029,139.933333,1.000000,53.594800,38.466667,413.066667
17,334.933333,80.633333,3.425792,287549212.427507,596498.314587,138.733333,1.000000,54.777333,37.766667,409.833333
18,340.333333,80.333333,3.439416,286508901.128771,583836.338674,141.000000,1.000000,55.487200,32.533333,419.000000
19,339.366667,77.000000,3.450214,9136387940.805017,18299278.031572,145.333333,1.000000,56.115467,31.200000,416.666667
20,342.433333,75.533333,3.428203,3064404982.208025,6162718.044906,144.733333,1.000000,56.497600,31.800000,418.600000
21,345.633333,73.100000,3.425766,848410233.551997,1707134.232739,144.000000,1.000000,57.619600,28.066667,424.600000
22,345.900000,71.900000,3.422348,161638858283.110565,325278451.511249,141.666667,1.000000,58.451600,25.900000,423.500000
23,347.633333,66.733333,3.443111,138305214.286543,296968.333584,140.466667,1.000000,59.307467,23.333333,427.466667
24,352.566667,66.500000,3.453500,313249912.301241,635879.318384,139.533333,1.000000,59.227733,23.700000,428.900000
25,349.100000,65.466667,3.443630,3907424609.555119,9187077.154922,140.866667,1.000000,59.456800,22.433333,429.166667
26,349.966667,65.200000,3.408134,2041457206.372777,4093429.940509,140.666667,1.000000,59.574800,21.200000,428.400000
27,348.300000,65.633333,3.398175,1744147167.298982,3584057.850220,137.400000,1.000000,59.570267,20.833333,429.233333
28,350.033333,64.733333,3.398204,1800946691.879905,3801702.919046,140.866667,1.000000,59.612667,19.500000,432.300000
29,347.100000,66.366667,3.388390,17788043.116230,41148.843743,135.266667,1.000000,59.384133,19.633333,428.433333
30,346.933333,66.733333,3.395619,2839221688.012757,5803593.458273,136.866667,1.000000,59.278933,21.966667,429.233333
31,347.600000,67.500000,3.416355,59422548.861340,230347.130458,136.800000,1.000000,59.088533,21.233333,431.233333
32,346.666667,67.200000,3.430866,298356949.038484,995606.567000,137.333333,1.000000,59.353200,21.800000,429.400000
33,344.166667,66.666667,3.433540,816001816636.244629,1632029119.963063,135.133333,1.000000,59.321867,20.733333,426.200000
34,342.033333,66.866667,3.427954,28687497630.450176,57396133.908169,139.400000,1.000000,59.108133,21.266667,425.600000
35,347.633333,66.766667,3.420205,64114190.422485,178798.985340,135.133333,1.000000,58.789333,22.300000,429.833333
36,345.500000,64.766667,3.415381,75711416388.513428,156184976.408013,136.133333,1.000000,58.306267,20.066667,429.066667
37,346.800000,66.666667,3.414919,149313195.855143,348584.739982,134.000000,1.000000,57.826000,19.666667,430.200000
38,347.266667,66.066667,3.405820,49361245.660367,120796.933335,133.533333,1.000000,57.573067,20.400000,429.933333
