gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,168.900000,171.133333,3.534952,75388447.979796,183066.506796,129.200000,1.000000,26.483200,8.066667,439.600000
2,141.266667,208.700000,3.502162,40820487.599597,98160.516213,129.933333,1.000000,25.897867,12.266667,435.333333
3,115.566667,236.933333,3.479472,4444159.142363,13072.482160,129.733333,1.000000,25.521467,13.766667,433.300000
4,99.666667,259.066667,3.457538,523955.429548,2480.782041,130.600000,1.000000,24.960800,17.166667,436.033333
5,86.133333,279.133333,3.438169,396518.357125,1346.679455,130.266667,1.000000,24.782133,18.166667,431.700000
6,78.200000,290.433333,3.423378,86917.630542,689.463101,130.533333,1.000000,24.840533,17.700000,428.966667
7,69.166667,306.100000,3.402185,56932.692423,491.007834,130.466667,1.000000,24.326533,22.000000,429.200000
8,61.333333,319.766667,3.376661,51959.388578,503.063488,130.400000,1.000000,23.945200,22.266667,424.533333
9,55.566667,326.800000,3.342997,48591.514417,385.763136,130.000000,1.000000,23.484533,20.833333,427.900000
10,52.833333,335.166667,3.331411,20179.473433,250.827029,130.200000,1.000000,22.815600,20.700000,426.900000
11,46.166667,344.133333,3.289120,17350.260585,165.572619,130.733333,1.000000,22.700533,21.133333,426.400000
12,41.900000,351.466667,3.280703,13809.208070,88.127037,130.866667,1.000000,22.386533,22.033333,427.500000
13,37.400000,361.700000,3.277690,9421.922891,54.114525,130.800000,1.000000,21.984667,24.700000,424.233333
14,35.066667,368.900000,3.258158,3776.908693,40.057866,129.866667,1.000000,21.931867,25.033333,428.833333
15,33.600000,373.866667,3.255759,2540.344674,33.760879,128.733333,1.000000,22.260533,27.266667,422.200000
16,32.333333,379.333333,3.231216,2414.713462,29.676589,128.800000,1.000000,21.598800,28.933333,420.266667
17,30.600000,383.666667,3.215095,1252.720744,21.673599,127.133333,1.000000,21.433200,28.233333,422.766667
18,25.366667,390.033333,3.199801,845.030320,16.630359,127.200000,1.000000,21.006800,40.933333,408.266667
19,24.900000,394.666667,3.166202,805.839888,13.108770,128.333333,1.000000,21.093067,41.966667,410.100000
20,22.300000,401.300000,3.157510,705.020689,11.141111,126.466667,1.000000,20.708533,42.533333,405.866667
21,20.633333,405.033333,3.154586,377.655449,10.010102,126.066667,1.000000,20.324400,47.100000,401.100000
22,20.900000,407.033333,3.134343,295.357685,10.257396,125.466667,1.000000,20.451467,48.033333,401.500000
23,20.800000,408.500000,3.130391,278.749892,8.995975,125.333333,1.000000,20.325467,62.266667,387.800000
24,18.000000,412.933333,3.119381,266.497503,7.675213,125.200000,1.000000,19.843733,61.766667,387.033333
25,19.633333,413.833333,3.102824,254.346384,7.312593,124.400000,1.000000,19.662000,70.966667,381.166667
26,16.233333,416.900000,3.102755,126.104156,5.941379,122.600000,1.000000,19.142133,75.066667,377.000000
27,15.500000,420.333333,3.101729,119.292864,5.756461,122.733333,1.000000,19.193467,77.700000,373.700000
28,14.000000,423.733333,3.073182,108.475241,5.540699,121.400000,1.000000,19.124800,74.400000,375.200000
29,13.400000,426.700000,3.069158,100.985119,5.526008,119.266667,1.000000,19.412400,77.200000,372.400000
30,13.433333,428.466667,3.061819,99.680921,5.447061,117.066667,1.000000,19.236533,76.800000,374.133333
31,12.266667,431.066667,3.059899,83.498349,5.237337,118.266667,1.000000,19.097333,79.866667,368.800000
32,12.266667,432.900000,3.057912,58.551895,4.842768,120.066667,1.000000,18.639733,80.866667,369.066667
33,11.633333,434.333333,3.053096,57.245419,4.872620,121.466667,1.000000,18.668267,77.133333,370.400000
34,12.366667,434.600000,3.053096,43.137568,4.706089,118.533333,1.000000,18.660667,84.933333,363.000000
35,12.333333,434.733333,3.051774,39.953948,4.683014,116.000000,1.000000,19.031733,80.300000,368.433333
36,12.000000,434.800000,3.043992,32.950973,4.681490,113.400000,1.000000,19.061867,83.966667,367.366667
37,11.466667,436.700000,3.018054,32.499150,4.581941,113.266667,1.000000,19.140933,100.533333,350.333333
38,11.600000,438.066667,3.016897,30.189219,4.646775,113.200000,1.000000,19.317200,110.766667,338.633333
39,10.400000,439.466667,3.016859,29.615844,4.637244,111.800000,1.000000,19.421333,98.766667,353.233333
40,10.500000,441.433333,3.013083,29.040094,4.487489,113.600000,1.000000,19.165467,96.433333,358.366667
41,9.966667,442.766667,3.006042,28.962553,4.268227,111.400000,1.000000,18.987600,86.266667,362.000000
42,10.833333,443.466667,2.995242,27.052959,4.185109,111.000000,1.000000,19.177467,87.966667,364.233333
43,10.133333,444.166667,2.991587,21.288678,4.157040,112.133333,1.000000,19.199867,83.400000,364.133333
44,8.900000,444.933333,2.983692,18.050385,4.102993,115.133333,1.000000,19.211733,87.600000,360.600000
45,9.466667,444.966667,2.969383,18.050385,4.045635,111.733333,1.000000,19.309867,98.966667,350.566667
46,9.033333,447.033333,2.963731,17.824134,4.004930,111.733333,1.000000,19.230267,107.333333,343.200000
47,9.066667,447.300000,2.951689,14.957959,4.014884,105.733333,1.000000,19.693467,103.733333,344.733333
48,9.233333,447.600000,2.944265,14.880878,4.024963,106.200000,1.000000,20.032133,111.800000,338.333333
49,9.133333,448.633333,2.923068,13.738542,3.995294,105.933333,1.000000,19.943467,112.300000,334.500000
50,8.366667,449.766667,2.912617,12.365128,3.944873,107.266667,1.000000,19.992667,112.266667,338.133333
51,8.433333,450.400000,2.899419,11.767217,3.906318,107.266667,1.000000,20.129600,124.266667,327.333333
52,8.533333,450.066667,2.898423,11.152066,3.875871,108.000000,1.000000,20.388267,119.833333,331.766667
53,8.366667,450.333333,2.884865,11.150232,3.870359,105.866667,1.000000,20.637467,128.733333,323.000000
54,8.333333,451.800000,2.884633,11.144376,3.865325,105.866667,1.000000,20.860933,127.766667,323.366667
55,8.233333,452.033333,2.879687,11.138521,3.860543,108.933333,1.000000,20.882533,129.633333,321.766667
56,7.733333,452.333333,2.869582,11.073427,3.851535,109.000000,1.000000,20.914133,123.133333,325.000000
57,7.800000,451.633333,2.859091,11.067571,3.847336,109.466667,1.000000,21.051200,147.266667,304.733333
58,7.766667,452.433333,2.858473,11.061716,3.838835,109.400000,1.000000,21.433200,158.133333,294.000000
59,6.300000,453.100000,2.857737,9.987650,3.821765,106.733333,1.000000,21.181067,143.800000,304.466667
60,7.366667,453.400000,2.853629,9.946123,3.812873,106.066667,1.000000,21.281467,165.566667,286.300000
61,7.266667,454.200000,2.851269,9.649941,3.804721,107.000000,1.000000,21.311333,169.766667,282.033333
62,7.533333,454.566667,2.848515,9.515751,3.774228,106.333333,1.133333,21.455867,177.400000,277.066667
63,7.466667,454.100000,2.848515,9.327720,3.779436,99.466667,1.133333,21.408000,177.633333,272.033333
64,6.966667,454.566667,2.843821,9.143279,3.789895,97.466667,1.133333,21.333067,183.166667,266.566667
