gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,447.233333,127.766667,3.556953,370347490.794347,741055.138425,130.800000,1.000000,19.888667,0.633333,449.433333
2,360.700000,160.866667,3.512120,2375599.524486,5086.691525,133.200000,1.000000,19.584667,9.833333,438.033333
3,328.166667,162.533333,3.477382,32905128706.930351,65810750.723396,134.533333,1.000000,23.984933,35.466667,419.066667
4,331.100000,142.500000,3.467552,41303358.017913,86954.551941,136.733333,1.000000,30.548800,56.200000,394.133333
5,355.166667,107.733333,3.448498,2749542642.747052,5501076.027584,137.200000,1.000000,38.004000,36.633333,411.633333
6,387.400000,73.300000,3.417698,2560434685.965200,7592553.072513,145.133333,1.000000,44.954000,19.200000,435.000000
7,388.300000,60.466667,3.406176,31515754.882051,68507.955369,141.400000,1.000000,49.265467,10.400000,439.800000
8,389.200000,50.933333,3.406718,98879052.455831,201042.500664,141.266667,1.000000,52.444667,5.533333,441.666667
9,392.433333,47.100000,3.402027,103388566.621755,228213.728875,141.800000,1.000000,54.166533,3.800000,447.000000
10,388.333333,47.033333,3.399111,78354050.619396,177786.626203,141.533333,1.000000,56.005733,3.233333,446.633333
11,389.466667,48.733333,3.379561,1135060186.197558,2291659.370972,142.666667,1.000000,56.408267,4.900000,445.566667
12,386.366667,46.100000,3.366835,88727318888.694199,177489046.830866,139.800000,1.000000,56.266667,7.800000,443.800000
13,382.633333,51.100000,3.348626,4764792.831384,10231.283010,140.133333,1.000000,55.984533,9.566667,438.233333
14,383.533333,51.366667,3.328319,146246467.029616,293252.044880,139.800000,1.000000,54.827200,10.366667,440.633333
15,382.300000,51.833333,3.306251,105217229.800585,214912.428923,137.400000,1.000000,53.654667,10.366667,440.366667
16,380.733333,54.866667,3.295644,12341079.191249,25002.236045,139.066667,1.000000,53.124800,13.100000,435.633333
17,377.733333,54.933333,3.279676,25093609.531859,51029.290695,135.866667,1.000000,51.996533,10.300000,437.166667
18,382.166667,54.100000,3.260019,2589501744.109841,5179510.637318,132.000000,1.000000,51.266133,10.700000,442.033333
19,380.100000,53.633333,3.253280,938106.089959,2138.278675,129.266667,1.000000,50.647333,11.033333,440.700000
20,376.933333,58.400000,3.229468,6275300.786487,12680.706944,130.733333,1.000000,49.960533,15.366667,434.833333
21,376.066667,59.000000,3.206437,6144473.866138,12627.999616,129.333333,1.000000,50.249333,13.700000,435.100000
22,378.833333,58.566667,3.199894,44569.477456,159.480297,120.800000,1.000000,49.989467,13.866667,438.333333
23,378.333333,58.633333,3.169287,1033805.361114,2258.541363,120.333333,1.000000,49.920400,12.533333,438.666667
24,374.900000,58.733333,3.150530,4991243165.832160,9982516.504266,116.466667,1.000000,49.854533,15.733333,434.400000
25,375.233333,60.166667,3.134262,26248.845468,68.009902,111.733333,1.000000,49.858400,13.300000,436.900000
26,371.866667,62.333333,3.127127,3543116.171983,7137.784328,125.133333,1.000000,49.861733,12.100000,436.766667
27,372.300000,62.466667,3.122564,995284.027050,2030.974462,107.933333,1.000000,49.780933,15.966667,433.900000
28,370.433333,59.566667,3.124609,1499393.254673,3016.084116,109.133333,1.000000,50.176933,14.200000,436.133333
29,372.533333,62.466667,3.079042,38699.686524,104.158120,106.333333,1.000000,49.759600,12.266667,438.000000
30,370.633333,65.066667,3.056624,158704.407917,329.289662,109.600000,1.000000,49.561600,15.466667,433.866667
31,369.466667,62.733333,3.035133,141533.614256,301.964800,110.800000,1.000000,49.679467,12.266667,437.133333
32,370.666667,64.666667,3.048361,11656.654779,38.958856,102.066667,1.133333,49.712000,12.666667,437.000000
33,372.266667,61.900000,3.019500,152701.021790,317.945963,107.866667,1.066667,49.674533,16.533333,433.800000
34,371.133333,62.833333,3.007739,1570775.315626,3167.486901,110.066667,1.000000,49.763600,13.366667,436.233333
35,369.200000,62.766667,3.014786,87326.678021,192.356608,110.000000,1.066667,49.949867,16.433333,434.033333
36,372.533333,62.133333,3.005824,305064.808531,622.638818,111.266667,1.066667,49.848267,11.566667,440.233333
37,369.233333,63.000000,2.985870,236030.697209,490.246400,112.133333,1.000000,49.879467,13.733333,434.466667
38,372.800000,62.433333,2.974991,99377.518581,211.611029,107.733333,1.000000,50.107867,11.733333,437.400000
39,371.000000,59.966667,2.919773,53845.277890,123.410311,108.666667,1.200000,50.126267,15.500000,433.966667
40,371.233333,64.366667,2.909540,6589838.225349,13203.882380,112.200000,1.000000,50.099067,14.533333,437.333333
41,368.966667,61.166667,2.900023,19499.352060,61.750752,112.266667,1.000000,50.010800,17.133333,435.733333
42,368.133333,62.066667,2.892068,33649.191180,79.589928,100.866667,1.000000,49.813467,14.100000,436.966667
43,366.900000,63.800000,2.875497,6640782.654509,13295.580340,109.133333,1.000000,50.038267,16.633333,433.433333
44,368.800000,64.866667,2.879452,198783.072646,409.534924,100.066667,1.066667,50.368133,15.566667,435.100000
45,367.300000,65.533333,2.875016,138150.227733,291.302262,110.600000,1.000000,50.521733,15.266667,434.133333
46,365.800000,65.300000,2.875503,32939.291313,80.592135,112.200000,1.000000,50.527467,13.833333,435.033333
47,365.066667,66.166667,2.852234,38574.948003,97.561115,107.533333,1.000000,50.669600,17.166667,433.833333
48,367.400000,65.866667,2.843633,28946.135584,74.564053,105.066667,1.000000,51.284133,14.766667,435.300000
49,367.200000,65.533333,2.835177,936437.520882,1886.749492,105.666667,1.000000,51.360800,16.366667,434.566667
50,359.833333,67.533333,2.808076,41191.557881,95.533500,102.866667,1.066667,51.324667,15.666667,432.400000
51,359.733333,68.933333,2.788004,268705.940549,553.191843,102.333333,1.066667,51.407067,16.833333,431.100000
52,361.466667,70.300000,2.798277,20208.134406,52.746612,106.200000,1.000000,51.405200,17.666667,431.466667
53,361.933333,68.733333,2.793373,17689.930137,46.767291,102.000000,1.000000,51.855733,17.100000,432.100000
54,360.800000,67.733333,2.790105,20850.186338,56.958717,105.666667,1.000000,51.973733,19.200000,429.866667
55,358.633333,70.033333,2.775549,24870.093320,62.262346,102.533333,1.000000,51.835467,18.066667,432.200000
56,359.700000,71.133333,2.775996,401129.126041,822.164796,108.066667,1.000000,52.131733,18.500000,431.833333
57,362.633333,65.700000,2.769640,43404.425891,100.016993,112.000000,1.000000,52.542533,16.966667,436.500000
58,361.433333,67.933333,2.764634,55484.872642,138.336749,102.533333,1.000000,52.926667,18.433333,433.300000
59,359.133333,68.866667,2.757140,19535.127755,59.073395,104.800000,1.133333,53.358267,18.200000,431.533333
60,360.933333,67.633333,2.742128,56108.451704,130.993520,110.533333,1.066667,53.752267,15.633333,435.433333
61,357.000000,69.133333,2.731937,1304586.039897,2644.925786,107.000000,1.066667,53.863600,16.633333,432.966667
62,357.800000,71.233333,2.721593,856060.757426,1730.640016,113.400000,2.666667,53.965467,17.000000,433.466667
63,356.966667,73.333333,2.714226,50167.839203,130.525432,105.466667,1.000000,53.933200,18.600000,430.866667
64,358.566667,69.900000,2.700417,37017.443173,89.808445,101.400000,1.000000,54.089867,15.100000,436.166667
65,356.000000,71.433333,2.698285,50854.213930,120.913935,103.466667,1.000000,54.517600,15.700000,432.566667
66,356.700000,72.200000,2.701169,6880031.169400,13781.108562,103.866667,1.333333,54.657067,19.433333,431.033333
67,358.633333,70.833333,2.679345,370284.784717,761.938554,104.533333,1.000000,54.989333,15.933333,434.133333
68,357.233333,67.733333,2.671179,4708.615644,23.981174,102.000000,1.133333,54.990667,17.533333,434.800000
69,356.433333,72.966667,2.680707,28193.124299,81.211043,102.533333,1.066667,54.824400,18.566667,431.633333
70,359.500000,68.433333,2.681459,54668.891328,144.141422,108.533333,1.266667,55.066667,17.433333,434.900000
71,355.366667,68.133333,2.662855,36051.248891,103.443677,107.866667,1.000000,55.099333,17.400000,433.200000
72,356.300000,71.066667,2.647467,83845.108206,198.588610,105.600000,1.000000,54.994533,17.966667,432.366667
73,352.366667,71.733333,2.641634,138965.750447,296.994020,109.933333,1.000000,55.026533,18.333333,431.333333
74,356.833333,71.800000,2.650380,79096795.346726,158214.766500,101.333333,1.066667,55.164933,18.233333,433.100000
75,354.933333,72.333333,2.632322,9440.474091,37.354896,92.266667,1.066667,55.296667,18.166667,431.033333
76,351.633333,74.966667,2.636355,9630.543766,39.808848,93.200000,1.000000,55.299333,19.533333,427.800000
77,356.566667,73.800000,2.632975,25909.004763,78.164003,102.733333,1.000000,55.344667,20.133333,430.000000
78,354.266667,75.366667,2.627145,202013.587119,421.381219,97.466667,1.000000,55.476933,18.500000,430.566667
79,356.500000,72.033333,2.615678,46835.929468,112.658511,100.733333,1.000000,55.270933,17.000000,434.933333
80,353.600000,73.300000,2.609036,135690.004312,416.465212,98.800000,1.000000,55.413467,21.566667,428.566667
81,356.233333,75.766667,2.614018,38167.449663,100.745377,100.466667,1.000000,55.660267,18.766667,431.033333
82,352.333333,77.266667,2.597663,218375.796831,455.523717,105.466667,1.000000,55.695333,19.633333,429.233333
83,356.366667,72.866667,2.592153,11528.148426,42.930291,100.266667,1.000000,55.997867,19.166667,431.233333
84,355.666667,72.533333,2.587234,682143.737744,1401.454027,102.666667,1.000000,56.045200,19.133333,430.200000
85,358.500000,71.766667,2.586471,1232708.996425,3431.044410,101.000000,1.266667,56.236000,18.166667,432.500000
86,354.266667,74.500000,2.572182,65708.749108,152.453926,100.266667,1.000000,56.083733,20.400000,430.666667
87,353.666667,75.400000,2.566475,276106.299703,580.879365,96.200000,1.066667,56.331600,16.900000,432.700000
88,353.500000,75.966667,2.557765,350335.884773,735.699204,105.733333,1.000000,56.840000,18.566667,428.233333
89,354.633333,74.966667,2.544046,5558606.188778,11136.783440,98.466667,1.000000,56.747600,20.433333,430.100000
90,351.566667,73.966667,2.543982,1263273.973762,2661.772467,99.333333,1.000000,56.700000,19.733333,429.733333
91,352.700000,79.066667,2.549293,111605.039570,240.037363,100.333333,1.000000,56.713600,20.533333,428.666667
92,350.900000,78.300000,2.536271,5543931.588680,11103.701765,102.133333,1.000000,57.274533,18.733333,429.200000
93,353.266667,77.066667,2.528317,237567.178322,1030.402054,98.666667,1.000000,57.640933,15.966667,434.033333
94,349.233333,78.333333,2.545743,1134994.898717,2288.532061,101.866667,1.266667,57.834933,19.466667,428.400000
95,353.066667,78.333333,2.535111,7483934.352578,15640.408995,105.733333,1.066667,58.030800,19.000000,430.533333
96,355.100000,76.300000,2.528513,60494531.717779,121797.006671,106.000000,1.000000,57.939600,17.633333,433.300000
97,352.066667,76.566667,2.530493,817736.926248,1905.193134,99.666667,1.066667,57.952267,20.766667,426.966667
98,352.500000,79.900000,2.528935,1047222.113453,4037.977299,107.000000,1.000000,58.005733,20.333333,427.466667
99,352.366667,76.733333,2.521232,1341678.860149,2751.008480,100.933333,1.000000,58.083467,19.166667,429.300000
100,353.533333,74.566667,2.512833,1107706.544624,2280.240956,102.000000,1.000000,58.265200,20.733333,430.666667
