gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,138.566667,232.666667,3.533220,24054.312825,80.311162,127.933333,1.000000,19.062000,15.666667,434.400000
2,70.800000,324.400000,3.499342,166.988979,5.105980,127.800000,1.000000,18.809333,56.400000,392.266667
3,29.033333,380.633333,3.478971,9.420535,3.823141,127.933333,1.000000,22.215467,46.666667,405.133333
4,13.866667,412.133333,3.440026,4.861740,3.677358,127.933333,1.866667,24.041200,228.300000,222.700000
5,15.266667,420.133333,3.386181,3.764733,3.652614,127.800000,3.000000,24.308133,338.066667,112.600000
6,22.533333,414.366667,3.357542,3.680566,3.628306,127.666667,3.000000,24.283867,280.966667,167.500000
7,28.133333,410.633333,3.321257,3.680566,3.592028,125.600000,3.000000,24.210000,240.266667,211.000000
8,27.366667,417.966667,3.264194,3.680014,3.546424,112.200000,3.533333,24.662267,196.833333,255.300000
9,26.233333,430.200000,3.229708,3.663909,3.499678,74.200000,6.733333,24.653200,205.366667,246.233333
10,23.566667,438.733333,3.182898,3.616436,3.457747,56.600000,9.133333,24.634667,266.400000,184.066667
11,18.233333,446.266667,3.150525,3.561597,3.419339,52.333333,11.666667,24.950267,231.433333,215.833333
12,17.000000,451.100000,3.130961,3.516165,3.379768,51.066667,12.866667,25.526400,242.166667,208.500000
13,17.233333,454.533333,3.095382,3.484683,3.341002,48.000000,13.600000,26.158400,241.900000,205.766667
14,14.033333,458.933333,3.070062,3.434117,3.303384,46.733333,16.266667,26.661467,258.633333,190.633333
15,15.433333,459.966667,3.025864,3.395935,3.265365,46.266667,17.533333,26.987333,249.466667,198.533333
16,13.233333,461.333333,2.992788,3.359031,3.227609,45.600000,18.000000,27.563333,220.066667,227.933333
17,10.500000,464.933333,2.973339,3.324193,3.189579,44.333333,18.866667,28.108267,220.700000,227.833333
18,10.866667,467.233333,2.955767,3.287470,3.154651,44.400000,19.200000,29.050533,248.000000,202.000000
19,11.566667,468.900000,2.936191,3.242281,3.122947,43.066667,20.133333,30.091733,251.033333,199.033333
20,10.700000,469.900000,2.917822,3.205593,3.091565,43.266667,20.666667,30.886933,248.433333,202.900000
21,10.900000,470.533333,2.903514,3.172920,3.059761,43.066667,21.933333,31.326800,233.966667,214.166667
22,9.833333,470.733333,2.879170,3.138421,3.028531,43.533333,22.933333,31.555600,234.466667,215.600000
23,8.266667,474.200000,2.864514,3.106805,3.000484,43.266667,24.800000,31.762800,234.100000,218.633333
24,6.966667,476.266667,2.855302,3.065102,2.976175,42.600000,25.333333,31.902667,243.033333,205.366667
25,7.133333,477.300000,2.833050,3.042236,2.954834,42.533333,25.333333,32.218267,247.566667,203.300000
26,5.566667,479.633333,2.802497,3.010050,2.935004,42.800000,26.066667,32.656533,239.966667,208.033333
