gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,440.000000,95.833333,3.614415,2503384100.540936,6277936.493777,133.333333,1.000000,27.297600,0.533333,447.800000
2,384.633333,104.400000,3.595770,1625790602.365929,5995388.423640,134.733333,1.000000,27.597867,1.600000,446.666667
3,350.500000,114.166667,3.583088,4800865371.822664,11778091.228175,133.600000,1.000000,27.798533,2.766667,448.366667
4,323.766667,125.200000,3.555928,4629221357.192593,13082893.946344,134.000000,1.000000,27.876267,3.100000,446.233333
5,301.466667,135.666667,3.577910,726440073.304065,4398952.241576,133.933333,1.000000,27.593333,4.633333,445.633333
6,285.900000,146.100000,3.551928,1371236654.165470,6586749.808940,133.733333,1.000000,27.646400,5.533333,442.600000
7,283.066667,147.566667,3.603356,447428786678.569458,900493236.226997,135.333333,1.000000,27.567867,5.566667,447.500000
8,266.966667,156.100000,3.576761,446998630141.006775,898421597.265236,134.466667,1.000000,27.107067,5.066667,441.600000
9,258.033333,164.666667,3.575716,655667622.133972,3123190.326417,134.133333,1.000000,26.931200,6.533333,441.533333
10,255.833333,166.800000,3.573490,1810076409.519698,5973781.646588,135.800000,1.000000,27.365867,6.800000,444.133333
11,247.766667,174.000000,3.599205,1648761690.395195,6540519.963424,136.866667,1.000000,26.802533,7.033333,442.166667
12,245.100000,174.566667,3.582131,1431637656.069390,4609449.038279,134.666667,1.000000,26.629333,6.766667,439.633333
13,241.600000,178.133333,3.584774,6657847103.261683,20049359.242056,135.333333,1.000000,26.501733,7.100000,444.766667
14,234.033333,183.500000,3.592196,6697159561.584167,21198647.035315,135.866667,1.000000,26.363067,7.766667,439.633333
15,236.700000,182.133333,3.568333,49423077835.710739,102197978.246390,135.866667,1.000000,26.083600,8.466667,438.866667
16,228.200000,186.566667,3.591108,49587234978.147636,101567447.555179,136.866667,1.000000,26.128400,8.733333,441.133333
17,224.333333,191.666667,3.590693,49791929849.750473,103592117.857786,138.866667,1.000000,25.818267,8.200000,439.666667
18,223.433333,191.766667,3.594174,49497234790.845879,100299718.947662,136.266667,1.000000,25.729467,7.866667,442.000000
19,221.200000,195.733333,3.548982,876335184.253233,2286208.985804,135.733333,1.000000,25.459733,7.566667,441.633333
20,224.166667,192.033333,3.572144,3020119775.514143,7450773.640381,135.266667,1.000000,25.536133,7.633333,442.633333
21,220.800000,196.066667,3.556802,4139006286.960890,12943119.814411,135.600000,1.000000,25.215733,7.433333,442.566667
22,216.166667,198.666667,3.543982,1104551010.423070,6242166.378664,134.466667,1.000000,24.963867,8.366667,439.766667
23,215.133333,199.933333,3.588148,5535506813.769217,14885719.730728,136.866667,1.000000,24.815467,8.300000,441.433333
24,216.233333,202.000000,3.556492,3196448584.383927,9539509.797434,136.133333,1.000000,24.490800,6.533333,442.200000
25,212.200000,203.900000,3.572668,3343843324.739087,9269020.810164,134.666667,1.000000,24.138133,8.066667,444.466667
26,213.633333,205.866667,3.578536,3273214274.166207,11257806.792156,136.666667,1.000000,24.340000,10.333333,441.133333
27,210.533333,204.500000,3.581633,2380703490.033603,7239231.028811,136.066667,1.000000,24.508400,7.800000,442.066667
28,208.133333,206.066667,3.577941,2864989143.167130,6635755.386171,136.266667,1.000000,24.303467,8.866667,442.400000
29,214.833333,201.633333,3.559425,2952577871.667150,13192331.258406,136.600000,1.000000,24.377733,7.166667,441.566667
30,208.666667,205.833333,3.573344,5636543774.647779,19007644.050682,135.733333,1.000000,24.118800,8.900000,440.233333
31,210.400000,209.033333,3.569269,2630704410.412409,13305389.589075,135.533333,1.000000,23.809467,9.300000,440.766667
32,206.033333,208.033333,3.579587,33805659050.392681,74972960.551226,136.533333,1.000000,23.768000,8.533333,438.533333
33,208.766667,208.366667,3.567909,3827988627.383600,20578893.877810,133.266667,1.000000,23.864800,9.400000,441.133333
34,207.700000,209.600000,3.567773,576179614.377086,2463125.782855,132.866667,1.000000,23.891733,8.566667,441.166667
35,209.600000,205.400000,3.577420,1388197301.409101,5106866.143062,133.200000,1.000000,24.369333,8.866667,442.266667
36,209.733333,204.266667,3.565383,1270688869.568201,4542200.122074,133.000000,1.000000,24.146800,10.033333,438.900000
37,206.566667,208.500000,3.577618,48192566770.200302,99000940.060074,132.933333,1.000000,24.373600,9.900000,440.766667
38,207.033333,205.633333,3.575803,11203088435.157650,33208167.014900,133.200000,1.000000,24.336400,9.166667,443.700000
39,203.766667,209.500000,3.598847,10426092755.228539,31090021.862858,132.933333,1.000000,24.203333,8.300000,440.700000
40,202.800000,209.800000,3.567304,4222102414.832751,9702220.791794,134.266667,1.000000,23.996533,7.300000,442.366667
41,208.900000,205.800000,3.566703,6908256681.293717,18334729.440775,133.733333,1.000000,24.378533,8.866667,441.933333
42,211.566667,204.933333,3.589710,7467551421.020723,24879807.398671,134.066667,1.000000,24.139067,7.233333,441.366667
43,206.366667,207.866667,3.572460,5618120493.755298,17210694.395092,132.933333,1.000000,23.866800,8.133333,443.600000
44,205.833333,209.633333,3.581794,4085953890.461352,17240226.683402,131.933333,1.000000,23.898533,6.833333,443.833333
45,205.566667,210.933333,3.563797,2993168720.537083,14604214.325450,134.933333,1.000000,24.380667,7.633333,442.566667
46,207.000000,209.033333,3.549318,3023376476.663338,14705976.808381,136.533333,1.000000,24.518800,7.666667,443.333333
47,205.966667,208.233333,3.564265,81052349.244007,236131.427086,134.333333,1.000000,24.458267,6.600000,439.400000
48,211.300000,205.633333,3.574693,81567811.171752,273583.408352,134.800000,1.000000,24.803067,7.300000,443.566667
49,207.366667,206.033333,3.573617,1311776468.392045,2749861.586176,133.266667,1.000000,24.575600,7.966667,441.966667
50,204.200000,210.200000,3.572017,1436392279.791303,3085410.871323,131.333333,1.000000,24.050400,8.233333,440.966667
51,205.566667,210.133333,3.583787,1539922200.963566,3712144.931067,131.066667,1.000000,24.212533,7.733333,442.733333
52,203.333333,210.366667,3.579933,1555810565.095686,4321975.827773,132.933333,1.000000,24.159867,6.166667,445.500000
53,205.033333,209.633333,3.567320,28746568131.886284,60065205.226272,131.200000,1.000000,24.051067,6.600000,444.800000
54,207.033333,207.133333,3.588578,28750215911.834183,58782316.172997,131.733333,1.000000,24.234000,6.866667,443.266667
55,207.200000,206.700000,3.592768,2973207418.281381,7119903.604658,130.200000,1.000000,24.230133,7.200000,446.066667
56,207.766667,207.933333,3.598815,989151000.123924,2134285.273272,130.533333,1.000000,24.198667,7.600000,442.066667
57,203.100000,213.000000,3.590171,97206076.271042,226699.327445,132.133333,1.000000,24.008133,5.633333,445.566667
58,202.133333,212.500000,3.588911,1481749390.093232,3031492.829032,131.866667,1.000000,24.214267,7.300000,442.700000
59,201.566667,212.433333,3.591609,797181839.897675,3133058.579756,132.000000,1.000000,24.403467,6.333333,442.333333
60,203.166667,211.000000,3.600756,783834792.625521,3112402.973774,132.400000,1.000000,24.496133,7.766667,442.966667
61,198.666667,216.333333,3.575334,367850718.517198,795956.115045,132.933333,1.000000,24.418267,7.200000,441.400000
62,202.233333,212.533333,3.596880,128133804.034731,328981.910987,133.400000,1.000000,24.635600,8.133333,441.666667
63,203.366667,211.133333,3.607590,78367358.143439,180080.027594,131.733333,1.000000,24.489600,9.733333,439.533333
64,204.100000,211.633333,3.584202,373269545.949197,793490.179795,132.000000,1.000000,24.160933,10.266667,438.800000
65,207.800000,205.833333,3.589553,372983418.171761,851292.205752,131.600000,1.000000,24.500533,8.533333,442.200000
66,211.166667,201.566667,3.602154,375392375.728469,813199.772700,132.133333,1.000000,24.742000,7.666667,445.400000
67,213.033333,201.800000,3.598763,476458816.895621,1116567.248896,131.533333,1.000000,24.579733,7.700000,441.033333
68,216.066667,198.900000,3.594522,432525550.519482,945744.360720,132.866667,1.000000,24.650667,5.966667,440.433333
69,212.266667,202.333333,3.593947,155900315.866998,585531.693994,133.066667,1.000000,24.294133,6.866667,445.266667
70,211.200000,200.500000,3.592561,3248407119.647800,6557278.498498,132.733333,1.000000,24.119333,6.566667,441.566667
71,214.466667,199.400000,3.582260,92352418.952116,249614.915344,132.333333,1.000000,24.554133,6.900000,442.500000
72,215.400000,201.166667,3.598560,96650657.138791,253495.346076,133.333333,1.000000,24.701733,7.133333,444.400000
73,216.366667,198.666667,3.611492,7223057571.576312,14515475.286139,133.600000,1.000000,24.875467,7.700000,443.633333
74,222.800000,196.133333,3.594540,6729378859.295945,13478357.130396,133.000000,1.000000,25.204000,7.766667,442.433333
75,214.466667,197.366667,3.588440,6677812672.831728,13378139.447166,133.933333,1.000000,24.938400,9.033333,441.766667
76,213.566667,200.533333,3.578888,114377584.896234,248258.324569,132.600000,1.000000,24.551333,7.766667,441.300000
77,215.533333,198.266667,3.588124,149655531.432591,520797.594555,134.200000,1.000000,24.398267,8.366667,442.300000
78,219.700000,198.933333,3.600909,42529951.365870,102981.215559,134.200000,1.000000,24.711867,8.833333,441.633333
79,217.166667,201.066667,3.562146,43548636.792930,107053.701501,132.733333,1.000000,24.110000,9.033333,442.500000
80,211.000000,202.566667,3.585399,16735994.741986,53928.193243,134.000000,1.000000,24.136400,8.333333,441.466667
81,207.466667,205.200000,3.587734,1889284908.900910,3814292.405123,133.600000,1.000000,24.039067,8.133333,442.533333
82,210.700000,204.933333,3.590642,74273833.593201,190303.844033,134.400000,1.000000,23.985067,7.800000,443.333333
83,211.500000,206.000000,3.595857,375085754.475638,910100.253124,132.666667,1.000000,24.193467,6.833333,443.033333
84,209.200000,207.300000,3.598661,104180307.300017,246072.671293,132.466667,1.000000,24.136133,7.633333,441.833333
85,203.633333,210.700000,3.610209,5275457127.018960,10588899.102405,130.200000,1.000000,23.618400,8.166667,443.233333
86,205.166667,209.833333,3.614213,5282880708.340969,10653226.089506,132.533333,1.000000,23.638933,7.300000,441.766667
87,208.366667,209.333333,3.619741,5282829279.798606,10621308.139529,133.266667,1.000000,23.709600,7.600000,439.733333
88,206.033333,208.166667,3.597496,5280164263.514997,10617597.006722,134.666667,1.000000,23.817600,6.833333,444.100000
89,204.666667,210.700000,3.603439,5312076325.257008,10759485.498492,133.200000,1.000000,23.946667,8.033333,441.366667
90,204.433333,209.100000,3.608888,5285749140.828509,10715145.893158,134.533333,1.000000,23.835067,7.633333,444.566667
91,203.666667,210.800000,3.590136,5264095096.917714,10592520.946164,135.666667,1.000000,23.595200,7.300000,439.100000
92,204.500000,212.600000,3.610065,5301293778.552461,10626344.505323,134.933333,1.000000,23.501600,8.766667,441.433333
93,207.233333,210.900000,3.615358,16043203.015776,63896.118489,133.666667,1.000000,23.380133,8.033333,441.633333
94,201.400000,214.300000,3.598568,153782528.271147,316319.605514,130.200000,1.000000,23.126133,8.966667,441.433333
