gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,166.833333,175.766667,3.575629,819867393.614240,2772793.163186,129.600000,1.000000,26.424400,4.466667,443.866667
2,136.666667,210.833333,3.558247,669767043.583976,2824207.071813,132.600000,1.000000,26.127333,6.166667,440.366667
3,115.966667,235.633333,3.547995,454915528.618729,2014259.279760,132.733333,1.000000,25.889600,8.433333,439.300000
4,98.733333,259.133333,3.553157,442317500.028276,1900910.081985,134.000000,1.000000,24.881200,9.066667,444.866667
5,87.933333,275.366667,3.543742,141859854.937951,336823.445250,133.600000,1.000000,24.210267,10.833333,439.566667
6,75.666667,291.266667,3.526493,78738026.326585,181498.104705,131.733333,1.000000,23.962800,11.033333,436.033333
7,67.833333,305.700000,3.520296,70779772.644835,241277.276923,131.666667,1.000000,23.656400,12.566667,438.033333
8,61.400000,316.700000,3.504369,49993780.742088,176721.539321,131.533333,1.000000,23.176400,13.166667,432.500000
9,55.166667,325.100000,3.489388,13911711.889618,194416.106816,132.066667,1.000000,23.145600,14.366667,435.633333
10,52.833333,334.400000,3.475245,12613839.692265,84102.557544,131.266667,1.000000,22.588800,16.000000,436.000000
11,44.466667,344.333333,3.430300,11872597.490754,82951.851789,131.066667,1.000000,22.747333,17.700000,432.900000
12,44.066667,350.466667,3.447831,11789082.236573,101164.873921,131.200000,1.000000,23.062800,17.666667,434.333333
13,41.933333,356.666667,3.456293,11742721.480567,128577.133611,130.933333,1.000000,22.839067,16.033333,434.833333
14,37.866667,363.633333,3.458558,11740278.232415,116526.028313,130.800000,1.000000,22.468533,18.500000,432.633333
15,34.166667,370.166667,3.445173,11698596.415846,81963.295845,130.733333,1.000000,22.531867,19.933333,431.600000
16,31.033333,377.500000,3.423022,11684434.638314,23754.451747,129.666667,1.000000,22.138000,19.100000,429.233333
17,30.033333,381.800000,3.439194,11683203.352504,46949.829661,128.733333,1.000000,22.588933,24.300000,425.033333
