gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,446.100000,144.033333,3.556441,2134729.546737,4381.094626,129.933333,1.000000,18.693733,0.800000,447.533333
2,371.500000,152.833333,3.525606,2006514152.399111,4033317.795609,133.200000,1.000000,21.061200,10.100000,438.500000
3,325.166667,159.800000,3.541908,17692261.358059,35940.942241,134.133333,1.000000,23.520800,40.633333,405.966667
4,304.600000,161.966667,3.553968,215668974.260040,445737.497559,135.400000,1.000000,26.155333,74.166667,377.900000
5,287.466667,162.800000,3.538726,349491835.449130,720924.437683,135.000000,1.000000,28.656400,84.133333,364.200000
6,285.033333,157.133333,3.525861,8082943.570023,31971.116160,135.200000,1.000000,31.725067,97.733333,352.000000
7,288.633333,149.333333,3.530573,355730100.743338,724577.369824,133.400000,1.000000,33.960400,84.200000,366.466667
8,290.300000,142.100000,3.555092,14878122.661732,36393.712522,134.933333,1.000000,36.801067,81.600000,367.200000
9,295.066667,131.800000,3.526193,293933039.501295,588359.162661,135.066667,1.000000,39.274933,78.733333,371.200000
10,301.066667,125.066667,3.536762,7067311.887508,17187.248477,134.600000,1.000000,41.140933,74.233333,375.766667
11,304.433333,121.300000,3.513799,27993863274.861553,56037190.267783,137.000000,1.000000,43.627867,65.966667,381.366667
12,311.733333,113.766667,3.512710,144475299.036709,298010.263391,136.400000,1.000000,46.113867,55.733333,391.600000
13,319.000000,103.000000,3.518259,128825487.086554,267455.784939,137.400000,1.000000,48.968267,52.966667,397.366667
14,325.300000,94.266667,3.516377,204188298.742801,506474.428089,139.066667,1.000000,50.904400,49.200000,399.800000
15,326.366667,89.866667,3.533136,4765282724.023532,9535108.856286,140.266667,1.000000,52.544933,45.666667,404.733333
16,334.100000,85.666667,3.520149,373554435.109714,755345.777552,139.533333,1.000000,54.010800,40.300000,412.366667
17,337.333333,81.900000,3.525301,129265936234.341644,260926198.041574,138.866667,1.000000,55.258533,35.233333,412.566667
18,340.633333,76.266667,3.533732,1952136249.569872,7606185.325381,138.933333,1.000000,56.398667,34.333333,419.133333
19,338.766667,78.233333,3.543348,153340887.778774,319815.372074,138.733333,1.000000,56.760267,33.100000,418.100000
20,339.800000,74.866667,3.534001,468320679.992554,957258.076249,136.466667,1.000000,57.276933,31.533333,417.400000
21,345.033333,71.566667,3.554990,68480038.491602,138333.286967,137.200000,1.000000,57.599867,28.633333,422.166667
22,343.266667,73.466667,3.580964,27881432.827445,62960.699043,141.200000,1.000000,58.047867,27.200000,425.666667
23,343.366667,71.833333,3.585672,785776773315.707520,1571589211.841570,141.933333,1.000000,58.381467,26.833333,422.900000
24,348.366667,68.033333,3.590543,500364783.901946,1039852.931845,140.333333,1.000000,59.060933,22.600000,426.266667
25,352.533333,64.233333,3.593421,4608679400.644962,9234691.572601,142.800000,1.000000,58.965333,23.133333,429.466667
26,345.566667,66.500000,3.573546,17543784481303.613281,35530902654.629433,136.133333,1.000000,59.259200,21.733333,427.200000
27,345.300000,67.000000,3.573871,1549324197.176148,6120805.210701,140.133333,1.000000,59.154533,22.000000,428.000000
28,346.566667,67.666667,3.553048,434788613738.189575,869582375.359446,138.466667,1.000000,59.208133,21.766667,424.966667
29,347.900000,63.933333,3.558451,12280440841.094679,24567037.674610,138.400000,1.000000,59.159067,19.933333,427.800000
30,346.700000,62.666667,3.574011,3923067387.003469,7855766.388382,140.933333,1.000000,59.406133,20.100000,430.033333
31,350.100000,62.400000,3.571395,1153746278.959588,2374219.361802,141.066667,1.000000,59.279733,19.666667,430.333333
32,347.900000,66.366667,3.571840,6918900229.067343,13918553.749017,137.266667,1.000000,59.423067,19.900000,431.833333
33,344.533333,65.100000,3.591966,4126017090.580954,9155861.048769,135.733333,1.000000,58.936800,21.300000,429.500000
34,346.633333,66.800000,3.590909,702469816.026188,1413692.894581,137.333333,1.000000,59.315200,18.100000,429.966667
35,345.200000,64.833333,3.595729,1065712912.023912,2167303.215122,138.400000,1.000000,58.857867,20.733333,430.600000
36,345.633333,66.733333,3.590552,5196172738.576667,11360084.544961,137.733333,1.000000,58.770267,21.600000,428.400000
37,346.466667,65.766667,3.573563,562272674.545891,1674802.026571,138.000000,1.000000,58.191867,19.900000,430.166667
38,345.066667,64.200000,3.569559,264641894.204577,540869.806067,138.733333,1.000000,57.925200,20.466667,431.466667
39,349.333333,63.633333,3.564655,1083334737.388529,2183479.896254,136.666667,1.000000,57.677600,18.600000,432.733333
40,349.000000,61.633333,3.552380,347090912.438669,735744.308025,135.466667,1.000000,57.555600,18.900000,431.766667
41,343.900000,64.433333,3.557461,373721903.938765,781730.968837,135.066667,1.000000,57.206800,18.033333,430.966667
42,348.733333,63.133333,3.579193,5229992034.948310,10467513.061104,137.200000,1.000000,57.118800,16.933333,434.466667
43,343.500000,63.366667,3.554020,970431957.091456,1962003.210073,136.400000,1.000000,56.529200,17.500000,431.100000
44,344.933333,64.300000,3.566070,844120405.009791,1702627.738349,136.933333,1.000000,56.313600,19.166667,428.900000
45,345.033333,66.733333,3.574984,226972861.801409,459693.128293,135.133333,1.000000,55.718267,19.000000,432.266667
46,342.200000,67.300000,3.554124,77391932.251224,158695.389238,135.333333,1.000000,55.631733,21.066667,428.400000
47,346.600000,67.433333,3.567795,107086092.998907,226485.722593,138.466667,1.000000,55.798267,18.966667,433.500000
48,341.566667,66.133333,3.560164,35672356522.130173,71357099.000293,135.266667,1.000000,55.511333,18.233333,429.833333
49,348.166667,65.800000,3.588121,836839594.315986,1698625.930722,137.800000,1.000000,55.474133,18.566667,434.366667
50,350.400000,62.100000,3.566450,1090940847.615695,2236509.911372,137.266667,1.000000,55.352400,18.066667,435.133333
51,348.300000,64.233333,3.577952,851519945.438220,1885166.349604,132.066667,1.000000,55.371600,17.566667,433.900000
52,342.800000,65.300000,3.564915,188067249.317979,391345.396710,135.333333,1.000000,54.409200,19.233333,430.633333
53,343.666667,66.133333,3.570144,558816788.670489,1125837.313655,136.733333,1.000000,54.378533,19.133333,433.133333
54,345.433333,65.300000,3.570286,3609358553.351469,7221593.177812,136.866667,1.000000,54.130400,17.266667,431.733333
55,345.966667,65.400000,3.584250,309883159.534343,624689.446146,132.600000,1.000000,53.382533,19.566667,432.566667
56,346.900000,66.266667,3.590561,124061374325.395477,248130562.282051,131.333333,1.000000,53.240533,19.433333,433.966667
57,343.300000,68.300000,3.596088,814541128.328343,1631941.895635,136.600000,1.000000,53.034533,18.500000,428.366667
58,343.566667,65.566667,3.575262,19254090874.606609,38581230.545227,136.200000,1.000000,53.082533,18.466667,430.533333
59,349.133333,64.066667,3.579975,459959247.008712,956858.783714,136.666667,1.000000,52.662933,15.333333,436.466667
60,345.533333,64.866667,3.592920,242924167.956612,510906.689759,135.933333,1.000000,52.265333,18.766667,429.633333
61,343.766667,66.333333,3.586719,4328167790.177869,8726843.399047,135.600000,1.000000,51.681067,18.533333,430.000000
62,344.666667,65.666667,3.599522,51600479.012081,105335.446001,137.600000,1.000000,51.481733,19.400000,430.466667
