gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,171.600000,171.766667,3.538427,72325650.920714,252079.516217,130.333333,1.000000,26.511067,7.600000,440.733333
2,135.400000,209.366667,3.517250,44086555.347853,97642.216258,130.066667,1.000000,25.810800,12.466667,435.533333
3,114.733333,237.400000,3.495634,3235489.437130,14620.943114,130.333333,1.000000,25.250533,15.966667,433.366667
4,102.700000,255.666667,3.457431,3100698.372263,13673.900579,130.266667,1.000000,25.006667,17.000000,436.266667
5,87.366667,274.400000,3.458746,2982935.443274,13238.664853,130.666667,1.000000,24.905867,19.133333,430.400000
6,76.666667,290.000000,3.469711,2892233.686916,11992.458689,130.600000,1.000000,24.840933,20.800000,427.666667
7,69.300000,302.300000,3.478144,2695551.704563,10048.120249,130.733333,1.000000,24.851867,23.700000,428.966667
8,64.233333,312.600000,3.488887,2690473.521351,9913.442268,131.000000,1.000000,24.694267,22.166667,424.766667
9,54.766667,325.200000,3.489067,2149436.501758,4583.534856,130.400000,1.000000,24.631067,23.566667,423.700000
10,51.566667,333.533333,3.463683,28756.510673,303.993547,130.600000,1.000000,24.459200,25.800000,425.066667
11,48.600000,342.866667,3.481658,11377.747002,198.208275,133.400000,1.000000,24.015333,24.433333,424.966667
12,43.833333,348.400000,3.508016,7448.695937,139.185923,132.533333,1.000000,23.952000,27.633333,423.766667
13,40.566667,356.366667,3.503420,6887.156816,92.196656,130.400000,1.000000,23.394667,27.666667,424.466667
14,39.500000,361.100000,3.480671,6388.411062,82.947773,130.800000,1.000000,23.822000,28.533333,420.333333
15,35.400000,368.300000,3.477281,6013.194130,55.704651,130.266667,1.000000,23.853733,28.600000,422.400000
16,33.166667,373.066667,3.468806,1778.131860,37.479235,130.000000,1.000000,23.404000,30.200000,423.666667
17,30.966667,377.200000,3.462288,1537.314406,30.728612,129.600000,1.000000,23.548400,29.900000,418.833333
18,27.033333,384.466667,3.458762,1201.987809,25.807782,129.133333,1.000000,23.083867,30.433333,416.766667
19,29.066667,388.233333,3.434148,1105.440772,23.268451,128.600000,1.000000,22.916400,29.233333,418.900000
20,25.100000,391.466667,3.419735,1047.715773,22.881485,128.666667,1.000000,22.915200,30.766667,415.833333
21,24.800000,396.366667,3.413912,1017.802007,21.601127,128.266667,1.000000,22.399467,41.133333,407.266667
22,24.566667,398.966667,3.407520,986.570281,20.356538,127.000000,1.000000,22.214533,47.200000,404.400000
23,23.433333,400.900000,3.384498,788.785012,18.072707,126.666667,1.000000,21.840800,45.300000,405.700000
24,22.100000,404.466667,3.373489,735.039893,16.211249,127.600000,1.000000,21.351333,49.900000,401.433333
25,19.600000,408.400000,3.381058,554.618827,15.724787,127.866667,1.000000,21.398000,49.333333,402.400000
26,18.533333,412.266667,3.374162,528.703341,14.612669,126.866667,1.000000,21.089467,54.266667,393.266667
27,16.833333,415.666667,3.405595,505.545977,11.951664,126.733333,1.000000,20.839867,70.533333,380.200000
28,16.266667,418.900000,3.392260,484.747691,11.197581,122.666667,1.000000,20.461333,70.233333,381.700000
29,15.033333,421.266667,3.387252,477.682839,12.105992,122.600000,1.000000,20.235333,65.700000,382.900000
30,15.833333,423.366667,3.390020,468.695416,10.748282,122.266667,1.000000,19.964800,71.266667,379.466667
31,14.466667,426.566667,3.380678,457.292175,11.252882,121.800000,1.000000,19.937333,71.066667,375.133333
32,15.600000,426.733333,3.368627,281.717169,9.041963,121.933333,1.000000,19.581600,73.166667,377.766667
33,13.366667,429.766667,3.347191,238.606404,6.593101,121.400000,1.000000,19.426267,72.066667,376.400000
34,13.233333,431.466667,3.347379,202.883450,6.600608,117.466667,1.000000,19.113333,72.066667,378.133333
35,13.366667,431.466667,3.367209,200.837487,6.533724,117.333333,1.000000,19.351467,77.466667,372.200000
36,13.566667,432.600000,3.349921,194.168158,6.335082,117.066667,1.000000,19.177600,81.566667,366.966667
37,12.800000,433.900000,3.339069,177.597767,5.446125,117.533333,1.000000,19.172000,96.866667,355.133333
38,13.200000,434.233333,3.375920,168.555894,5.352825,118.000000,1.000000,19.303067,91.366667,358.366667
39,11.933333,436.666667,3.363147,159.767070,4.828184,117.666667,1.000000,19.276933,93.600000,360.600000
40,12.166667,436.766667,3.356929,32.673154,4.482294,115.000000,1.000000,19.503867,90.900000,359.166667
41,11.800000,437.933333,3.364262,28.294592,4.413751,115.666667,1.000000,19.671067,90.066667,357.666667
42,11.666667,439.000000,3.376830,21.315639,4.334005,114.800000,1.000000,19.445067,87.400000,364.266667
43,10.900000,440.100000,3.374042,20.697776,4.289538,115.000000,1.000000,19.291867,86.766667,363.433333
44,11.033333,442.000000,3.370293,19.372291,4.255482,113.200000,1.000000,18.991600,86.666667,366.666667
