gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,446.200000,126.666667,3.535257,320272315.165629,640867.713990,130.333333,1.000000,19.713867,1.233333,448.366667
2,367.000000,154.533333,3.507010,4794518.558254,10233.675453,131.266667,1.000000,19.062800,9.633333,438.833333
3,331.133333,159.766667,3.523274,52603213.590882,134471.582324,134.000000,1.000000,23.139467,46.633333,403.300000
4,332.466667,142.566667,3.520010,701587211.752876,1405673.589845,135.866667,1.000000,28.803600,60.466667,388.800000
5,356.466667,110.766667,3.498501,1061109307.304072,2124198.169427,136.866667,1.000000,35.594933,37.366667,411.033333
6,380.266667,79.833333,3.486826,2787148046.618279,5576369.758373,137.866667,1.000000,41.964000,20.366667,432.433333
7,389.533333,62.733333,3.455832,4283253735.083368,8570254.907308,140.933333,1.000000,46.802267,10.233333,438.900000
8,390.866667,54.233333,3.468380,241800165.784304,484726.483124,139.733333,1.000000,49.510133,5.233333,445.033333
9,390.600000,49.900000,3.446066,2007819967.664631,4033565.790220,140.600000,1.000000,51.789600,3.533333,445.333333
10,391.500000,46.300000,3.443524,165018970.614763,353962.137357,141.733333,1.000000,52.806533,6.700000,444.700000
11,390.466667,46.500000,3.436216,75379311.998898,209446.464012,139.733333,1.000000,53.571333,5.400000,445.333333
12,385.400000,47.766667,3.418524,11866248632.177275,23866079.071919,140.466667,1.000000,53.952267,5.633333,444.900000
13,383.066667,50.266667,3.420563,52033061.542633,112991.698901,140.466667,1.000000,53.535467,9.600000,439.400000
14,379.733333,52.666667,3.404186,470798770.186520,1202967.048661,140.666667,1.000000,52.695867,6.166667,442.233333
15,380.033333,53.633333,3.401799,33646269.613374,69348.865363,140.533333,1.000000,51.653067,12.500000,437.966667
16,377.833333,56.033333,3.390947,6647684.253863,16243.503120,140.800000,1.000000,50.953467,6.866667,441.266667
17,379.466667,55.566667,3.374646,7150208.361576,15418.230432,138.400000,1.000000,50.151067,11.433333,439.100000
18,376.933333,58.466667,3.368225,6378470201.626408,12758232.525921,133.466667,1.000000,49.354400,7.833333,443.500000
19,376.900000,58.266667,3.356646,80876928.938126,162926.195631,131.800000,1.000000,48.989733,10.866667,440.533333
20,378.766667,60.433333,3.330379,703193.698070,1524.267362,131.400000,1.000000,48.492400,10.033333,441.566667
21,373.266667,60.433333,3.321568,46595188094.530647,93191204.882962,131.333333,1.000000,47.983067,13.400000,434.533333
22,376.666667,60.133333,3.307857,5569128936.608294,11138536.487309,130.200000,1.000000,47.179200,9.466667,442.866667
23,373.466667,63.966667,3.316207,3390111.347233,6989.624362,129.933333,1.000000,46.768533,12.300000,440.500000
24,372.066667,64.033333,3.305315,661288.872236,1398.361097,124.933333,1.000000,46.486933,11.400000,437.133333
25,371.600000,65.533333,3.296689,4394020.245006,9302.739221,122.866667,1.066667,46.113600,11.666667,440.666667
26,369.300000,66.466667,3.284685,349281.552043,736.374404,116.533333,1.000000,45.889467,10.066667,439.333333
27,367.900000,67.166667,3.280124,65422.335384,192.977138,116.933333,1.000000,46.076667,11.966667,436.366667
28,367.566667,68.566667,3.267568,1154478.843549,2419.020418,118.466667,1.066667,45.871067,13.500000,434.633333
29,368.433333,68.733333,3.254753,322612.166267,666.106374,114.666667,1.000000,45.716800,12.100000,439.166667
30,367.300000,65.566667,3.242914,273385.657986,733.066527,110.666667,1.000000,45.886400,14.666667,437.333333
31,366.400000,67.233333,3.236420,15103730.381438,30364.686346,115.600000,1.066667,46.041067,12.666667,437.933333
32,364.600000,67.333333,3.222647,100026.600582,224.417295,109.533333,1.000000,46.002000,11.566667,437.366667
33,367.233333,67.933333,3.226437,111575.121542,263.895820,114.200000,1.066667,46.642267,11.300000,437.833333
34,368.566667,66.166667,3.198714,1591354347.000942,3182779.919434,113.400000,1.066667,46.962933,12.166667,438.366667
35,367.600000,66.400000,3.184970,165257.736343,437.133840,110.666667,1.000000,47.175600,11.866667,441.133333
36,364.666667,68.833333,3.172809,76704.193909,245.805069,107.600000,1.000000,47.371333,15.533333,435.533333
37,365.000000,69.500000,3.167412,158611.861407,374.668512,106.533333,1.000000,47.794933,13.500000,435.100000
38,362.633333,69.700000,3.149333,31571.259614,110.884039,107.066667,1.000000,48.123200,14.100000,433.633333
39,361.833333,70.166667,3.141595,595923.357262,1253.235590,111.733333,1.066667,48.497600,14.500000,434.766667
40,365.900000,65.833333,3.145553,14330.527859,52.070942,115.066667,1.000000,49.106533,14.100000,436.433333
41,364.666667,68.833333,3.103488,1305077.623249,2632.791094,108.933333,1.000000,49.362400,12.100000,440.500000
42,365.200000,66.866667,3.114446,96532.241762,225.901827,112.400000,1.000000,49.868933,14.900000,436.633333
43,362.933333,71.066667,3.103987,550650.252491,1130.447845,104.000000,1.000000,50.015600,17.633333,434.966667
44,362.433333,67.166667,3.082002,210480.403509,831.925713,103.333333,1.000000,50.572267,13.366667,437.566667
45,363.633333,67.933333,3.076236,63570.134908,156.581697,105.466667,1.000000,50.916000,16.600000,432.666667
46,358.766667,70.333333,3.074206,5066596.745684,10166.475308,97.266667,1.066667,51.202800,16.466667,433.266667
47,360.066667,69.200000,3.074362,172889078.777874,345843.625075,100.733333,2.066667,51.810000,13.700000,435.166667
48,364.566667,66.066667,3.059864,115173.772957,264.692364,102.666667,1.000000,52.530400,13.833333,437.966667
49,358.700000,69.700000,3.053001,109122.321158,246.242148,109.333333,1.000000,53.024000,14.233333,437.300000
50,361.033333,70.066667,3.034385,11302807.804590,22705.637209,104.466667,1.000000,53.441733,16.000000,436.200000
51,358.566667,70.433333,3.005555,1018099.907110,2137.373295,111.066667,1.000000,54.124000,14.533333,435.000000
52,358.033333,70.100000,2.998608,129761.485830,280.479431,102.333333,1.000000,54.215333,14.700000,432.300000
53,355.800000,74.233333,2.983698,3792739.288535,7666.736840,105.666667,1.066667,54.435867,14.766667,433.300000
54,356.900000,71.866667,2.976198,102608.134933,240.795343,98.800000,1.066667,54.609467,13.300000,435.100000
55,360.133333,71.300000,2.967938,170691.232036,373.653549,99.200000,1.066667,54.917733,15.933333,436.866667
56,356.833333,71.500000,2.972557,95402.800299,218.124315,111.133333,1.000000,54.788800,17.166667,431.700000
57,355.466667,70.733333,2.944380,43291.427347,114.302484,97.266667,1.066667,54.843467,17.166667,435.500000
58,357.900000,72.233333,2.955619,178425.351109,396.578293,101.933333,1.000000,55.146533,16.266667,434.133333
59,354.866667,73.033333,2.942234,3047248.895713,6111.913727,101.066667,1.000000,55.177467,16.333333,432.266667
60,359.233333,70.600000,2.919999,28130.692850,90.683713,106.200000,1.266667,55.483600,13.166667,436.033333
61,354.966667,69.566667,2.918824,1606955.643870,3247.579698,98.866667,1.000000,55.451200,15.633333,432.833333
62,358.666667,67.333333,2.935122,103915.524069,264.617438,107.400000,1.000000,55.445200,15.866667,436.266667
63,357.433333,70.666667,2.927612,103806.271941,228.978852,99.133333,1.000000,55.566667,17.333333,433.400000
64,353.566667,73.300000,2.903273,65920.274614,149.014029,98.933333,1.000000,55.520667,16.366667,432.966667
65,356.100000,73.533333,2.887188,394554.643794,805.980763,100.400000,1.000000,55.817600,18.500000,431.700000
66,356.433333,71.600000,2.880229,214291.544139,449.079482,108.133333,1.000000,55.973333,19.000000,431.733333
67,355.733333,71.433333,2.885321,1548724.737747,3138.024715,114.133333,1.000000,56.107067,17.533333,432.466667
68,356.200000,72.066667,2.845520,294325.171843,639.482157,99.866667,1.000000,56.086133,16.700000,433.366667
69,354.133333,71.733333,2.857949,221080.332029,460.793667,103.133333,1.000000,56.084933,17.400000,432.133333
70,352.466667,76.566667,2.867451,77934.433938,175.438730,105.000000,1.000000,56.363467,17.766667,430.166667
71,353.600000,74.533333,2.854762,67817.224472,154.728891,112.266667,1.000000,56.471200,14.466667,434.800000
72,352.366667,74.466667,2.853623,16134.562950,48.531233,108.266667,1.000000,56.747200,18.866667,430.466667
73,355.233333,69.633333,2.831800,53674861.279837,107371.374295,118.000000,1.000000,57.044533,19.466667,430.466667
74,352.900000,74.533333,2.827447,29129.669736,99.930043,105.266667,1.000000,56.931867,16.066667,431.866667
75,353.566667,72.366667,2.814887,86112.428213,195.594771,100.866667,1.066667,56.876000,18.533333,431.333333
76,355.500000,72.966667,2.812630,75964.873886,177.563517,108.933333,1.066667,57.062533,20.000000,431.666667
77,350.666667,77.666667,2.825243,25887.844805,71.077766,107.533333,1.000000,57.145333,18.400000,430.266667
78,350.600000,73.266667,2.825024,11750.202430,50.764425,100.066667,1.000000,57.269733,19.033333,426.433333
79,354.166667,74.100000,2.818670,39567.920668,99.009052,97.600000,1.133333,57.220800,15.366667,434.900000
80,351.900000,76.266667,2.807722,8253.681029,39.603686,100.400000,1.000000,57.298667,19.200000,430.466667
81,355.066667,74.833333,2.792864,177079.567988,415.332223,101.400000,1.000000,57.309867,16.200000,435.533333
82,352.100000,74.766667,2.820117,92832.246197,216.883136,112.266667,1.066667,57.253733,18.233333,434.033333
83,352.466667,76.800000,2.804253,2055119809.260935,4110287.190901,105.066667,1.000000,57.406933,19.033333,430.433333
84,352.933333,77.100000,2.782032,83611.712773,199.980245,100.733333,1.000000,57.318267,18.700000,432.166667
85,353.700000,75.400000,2.777806,752204.607803,1526.709844,114.266667,1.000000,57.551733,18.533333,431.466667
86,355.966667,75.566667,2.780495,64680.425371,186.236808,101.066667,1.000000,57.752133,18.866667,431.666667
87,352.533333,75.400000,2.767481,13851.514670,43.021963,103.933333,1.066667,57.906000,19.033333,430.300000
88,351.900000,74.600000,2.780328,282233.616374,586.864602,111.533333,1.266667,57.966133,18.600000,427.933333
89,355.400000,74.133333,2.752731,9980.643320,37.423469,97.933333,1.066667,57.930267,18.333333,435.400000
90,353.933333,74.000000,2.748072,2977494.285442,5974.888803,100.266667,1.000000,57.918667,20.700000,429.900000
91,351.533333,76.500000,2.743040,14302021.419678,28635.905807,108.800000,1.066667,58.337600,17.133333,430.866667
92,348.066667,76.233333,2.738835,11213245.708484,22444.968911,103.866667,1.066667,58.431333,21.100000,426.566667
93,354.100000,74.100000,2.727220,257538.518950,756.362557,103.466667,1.400000,58.821733,20.833333,429.300000
94,352.200000,73.000000,2.735771,59612.599656,147.823993,106.066667,1.066667,59.118667,19.066667,427.866667
95,352.200000,71.300000,2.715448,8253428557.155584,16506903.193876,102.600000,1.000000,59.100667,17.233333,432.500000
96,353.833333,73.700000,2.715060,47140.464088,142.256368,113.266667,1.000000,58.961733,17.266667,434.200000
97,351.400000,74.700000,2.705107,41679.624026,103.315664,106.600000,1.200000,58.990800,16.933333,429.800000
98,351.433333,78.066667,2.694589,54242.081985,136.948536,112.133333,1.000000,59.142800,16.866667,433.600000
