gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,141.666667,232.400000,3.518938,23232.676839,78.974437,128.133333,1.000000,19.040800,15.333333,434.266667
2,73.233333,320.000000,3.496756,111.786288,5.074825,128.000000,1.000000,18.362000,52.766667,394.366667
3,28.100000,379.566667,3.443642,13.136096,3.850550,128.533333,1.000000,21.368533,48.000000,403.266667
4,12.766667,413.533333,3.443892,5.198142,3.684152,128.400000,1.866667,23.117867,133.066667,318.400000
5,12.033333,424.566667,3.424898,3.769478,3.660825,128.266667,2.933333,23.736533,350.900000,100.500000
6,17.933333,421.200000,3.406304,3.680566,3.642730,128.466667,3.000000,23.580667,300.400000,149.866667
7,24.400000,416.833333,3.378230,3.680566,3.615909,128.466667,3.000000,22.960933,260.333333,190.733333
8,27.633333,419.700000,3.332469,3.679390,3.581021,112.866667,3.600000,22.873467,237.666667,213.666667
9,26.700000,428.266667,3.282850,3.668940,3.543171,95.533333,5.400000,23.941200,222.833333,229.900000
10,24.633333,435.933333,3.272323,3.639561,3.504567,74.466667,6.866667,25.758133,214.966667,235.700000
11,23.000000,441.866667,3.260605,3.595434,3.468077,58.933333,9.666667,27.402533,225.866667,225.000000
12,19.833333,445.300000,3.231145,3.565355,3.435440,54.533333,11.333333,28.391867,253.366667,197.966667
13,17.500000,448.700000,3.198807,3.529917,3.404902,52.333333,15.600000,29.010933,226.866667,221.533333
14,14.766667,452.500000,3.171962,3.480487,3.374062,49.466667,16.933333,29.350133,241.966667,207.166667
15,14.133333,456.000000,3.139100,3.446883,3.343159,48.533333,18.933333,29.864000,242.166667,205.966667
16,12.800000,460.033333,3.118355,3.421618,3.313280,48.866667,20.066667,30.200133,253.133333,196.066667
17,14.833333,462.066667,3.094451,3.392103,3.284458,49.200000,20.600000,30.579467,225.700000,221.566667
18,14.433333,463.533333,3.056571,3.364596,3.256429,49.533333,21.066667,31.120933,258.166667,192.500000
19,11.833333,465.033333,3.046302,3.319507,3.231096,47.466667,22.333333,31.537467,264.966667,184.233333
20,12.666667,466.433333,3.034374,3.298237,3.204666,47.466667,22.933333,32.030400,255.000000,196.533333
21,13.866667,466.133333,3.001789,3.262044,3.176397,47.733333,23.600000,32.737200,224.400000,227.400000
22,11.933333,466.766667,2.989989,3.249628,3.149277,48.333333,24.266667,33.711067,221.166667,229.766667
23,11.466667,468.800000,2.957207,3.218153,3.124332,48.733333,25.400000,34.455867,244.500000,208.233333
24,11.833333,468.566667,2.935885,3.190260,3.101922,49.400000,27.200000,34.877733,247.333333,202.466667
25,11.933333,469.000000,2.928836,3.156341,3.080609,49.533333,27.800000,35.171200,269.700000,181.700000
26,10.966667,470.200000,2.925673,3.132001,3.059299,50.200000,27.800000,35.350267,261.866667,186.333333
27,10.766667,470.133333,2.898328,3.112950,3.037582,49.600000,28.266667,35.657067,243.766667,206.833333
28,11.300000,469.633333,2.870834,3.089141,3.015193,49.866667,28.600000,35.900133,240.066667,209.933333
29,9.800000,470.600000,2.863767,3.068547,2.991555,50.066667,29.066667,36.336133,234.566667,218.233333
30,7.900000,473.200000,2.847676,3.053583,2.969187,50.266667,29.400000,36.795200,231.800000,219.400000
31,7.966667,475.966667,2.823129,3.029143,2.949590,49.600000,30.066667,37.314667,234.666667,216.066667
32,7.633333,477.933333,2.810668,2.997836,2.933354,49.400000,30.466667,37.661867,259.566667,189.433333
33,6.333333,479.666667,2.802609,2.967872,2.917627,49.800000,31.533333,38.120000,258.300000,191.033333
34,6.066667,480.400000,2.792742,2.953742,2.901968,49.533333,31.800000,38.546800,276.433333,173.233333
35,6.300000,480.733333,2.776461,2.941034,2.884553,49.066667,32.200000,39.006667,271.266667,180.600000
