gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,129.566667,232.333333,3.533704,22347.604001,74.987823,129.933333,1.000000,19.592800,12.800000,338.000000
2,69.400000,316.833333,3.476054,108.308647,5.178550,129.733333,1.000000,19.570667,39.366667,306.833333
3,28.966667,376.400000,3.444458,13.166953,3.835478,129.066667,1.000000,22.606800,34.833333,310.433333
4,13.800000,410.133333,3.399907,4.979456,3.676324,128.133333,2.333333,24.621600,147.633333,203.566667
5,14.700000,417.566667,3.376701,3.734226,3.650333,127.533333,3.000000,24.999600,265.833333,86.766667
6,21.433333,412.366667,3.348401,3.680566,3.624469,127.666667,3.000000,25.235067,218.433333,129.633333
7,28.033333,407.166667,3.305226,3.680566,3.586500,125.800000,3.000000,25.266800,178.733333,173.466667
8,28.900000,411.800000,3.284003,3.680192,3.541931,111.466667,3.333333,25.721200,157.033333,186.966667
9,26.833333,422.233333,3.249520,3.665540,3.494225,76.866667,6.333333,26.658533,189.233333,159.033333
10,23.166667,432.200000,3.193087,3.614760,3.451825,68.200000,9.533333,28.179867,175.033333,176.966667
11,20.966667,435.900000,3.149691,3.558125,3.410840,65.666667,11.200000,30.117867,172.666667,176.800000
12,17.933333,443.166667,3.129527,3.524257,3.373406,65.200000,13.466667,31.632933,181.466667,165.466667
13,15.333333,447.333333,3.093229,3.457844,3.337357,59.333333,16.400000,32.417867,186.300000,165.166667
14,16.366667,449.500000,3.057196,3.428950,3.303584,60.066667,17.200000,33.325467,188.800000,163.666667
15,16.233333,452.166667,3.021936,3.390667,3.270280,60.200000,19.400000,34.431867,202.933333,149.466667
16,15.133333,453.000000,3.011310,3.353028,3.235753,54.333333,19.733333,35.691067,191.066667,155.800000
17,15.400000,452.700000,2.996125,3.319956,3.199072,55.066667,20.600000,36.159600,182.266667,167.133333
18,14.966667,454.633333,2.958189,3.288388,3.161968,54.733333,22.333333,36.370133,190.733333,161.733333
19,14.966667,456.400000,2.941534,3.251860,3.125648,54.266667,24.800000,36.433200,178.733333,167.466667
20,15.266667,456.333333,2.920513,3.215976,3.092807,55.400000,25.266667,36.685200,164.100000,189.766667
21,13.100000,458.166667,2.900057,3.186309,3.060488,54.000000,26.066667,36.935600,173.900000,173.966667
22,12.466667,460.633333,2.878715,3.144685,3.032897,53.133333,27.133333,37.451067,190.333333,159.066667
23,10.600000,463.666667,2.868869,3.098715,3.007743,52.866667,27.533333,38.146667,210.200000,144.066667
24,11.700000,464.066667,2.835229,3.068599,2.984621,54.000000,28.200000,38.831200,190.166667,161.966667
25,9.700000,465.833333,2.817243,3.038159,2.961449,55.866667,28.866667,39.365733,152.133333,200.200000
26,8.433333,468.700000,2.803745,3.021109,2.939532,54.400000,29.666667,40.011600,198.100000,155.633333
27,7.666667,471.633333,2.779589,2.996614,2.919579,54.400000,32.000000,40.737467,204.900000,147.166667
28,8.400000,473.233333,2.759962,2.964319,2.900083,54.733333,32.733333,41.541867,205.466667,149.266667
29,6.933333,474.033333,2.745845,2.952472,2.879471,56.400000,35.133333,42.259600,192.766667,156.166667
30,8.333333,473.800000,2.735234,2.932806,2.860146,56.133333,35.600000,42.793733,194.833333,153.100000
31,6.466667,475.300000,2.716143,2.904473,2.841352,55.933333,36.533333,43.376267,220.800000,124.733333
32,6.600000,476.533333,2.694882,2.888297,2.820756,56.000000,36.800000,43.964000,216.100000,132.300000
33,7.133333,476.766667,2.678436,2.871044,2.799068,55.666667,37.800000,44.653200,204.833333,148.833333
34,6.600000,478.133333,2.675756,2.854874,2.778522,55.600000,38.133333,44.953467,177.933333,172.533333
