gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,139.100000,236.733333,3.539365,26781.501852,91.678293,127.800000,1.000000,19.172933,15.200000,434.400000
2,69.533333,325.400000,3.495221,108.305062,5.080243,128.066667,1.000000,18.346000,50.466667,397.066667
3,30.066667,382.933333,3.483980,10.794548,3.839529,128.333333,1.000000,21.406533,46.600000,404.066667
4,13.066667,415.066667,3.461398,4.924802,3.682467,128.200000,1.666667,23.263867,162.000000,288.266667
5,12.500000,425.300000,3.416914,3.739648,3.659906,127.800000,3.000000,23.004933,344.866667,106.933333
6,21.366667,419.133333,3.375682,3.680566,3.641804,127.800000,3.000000,22.561867,293.166667,156.233333
7,28.500000,413.800000,3.320534,3.680566,3.614611,123.066667,3.000000,21.322133,251.166667,201.433333
8,30.933333,417.933333,3.277931,3.679894,3.578197,100.466667,3.666667,20.979333,249.500000,201.766667
9,31.933333,422.566667,3.254254,3.670145,3.537608,77.333333,5.333333,21.660667,251.333333,201.200000
10,28.266667,428.100000,3.248750,3.640651,3.496760,67.666667,7.933333,22.875733,222.133333,227.266667
11,23.433333,435.433333,3.206485,3.598281,3.457075,56.533333,9.266667,23.880267,240.266667,208.533333
12,20.733333,441.366667,3.158200,3.558131,3.416839,54.200000,10.600000,24.763467,249.000000,201.600000
13,16.166667,449.500000,3.141816,3.512901,3.378579,51.933333,12.533333,25.875333,250.400000,198.600000
14,14.566667,454.033333,3.120192,3.465730,3.339684,50.466667,15.000000,27.015067,228.900000,219.766667
15,13.933333,458.033333,3.095670,3.437836,3.305619,49.000000,15.800000,28.034133,227.066667,221.666667
16,12.466667,462.233333,3.083801,3.389164,3.273779,46.666667,16.533333,28.966800,206.033333,242.033333
17,13.333333,465.433333,3.057834,3.359091,3.246835,46.200000,17.866667,29.655333,222.266667,226.866667
18,13.633333,465.966667,3.030117,3.310325,3.224249,46.866667,19.666667,30.579200,271.033333,177.433333
19,13.166667,465.266667,3.009758,3.276580,3.200012,46.000000,21.866667,31.383200,251.933333,197.333333
20,12.233333,464.733333,2.994107,3.255398,3.173523,46.600000,23.333333,31.902533,227.066667,223.733333
21,11.766667,464.433333,2.965430,3.239892,3.146545,46.333333,23.933333,32.428400,215.466667,235.000000
22,12.200000,466.666667,2.949478,3.216864,3.120307,46.000000,24.133333,33.000267,271.400000,178.733333
23,12.033333,467.266667,2.931805,3.183366,3.096805,47.066667,25.000000,33.759600,265.300000,186.766667
24,11.566667,468.066667,2.915548,3.157169,3.073697,47.666667,25.200000,34.474533,273.733333,175.266667
25,11.033333,467.600000,2.899385,3.127150,3.050772,47.600000,26.066667,35.057333,279.366667,171.900000
26,10.366667,468.400000,2.887531,3.105575,3.025097,48.066667,26.400000,35.303600,220.600000,226.866667
27,10.733333,469.666667,2.851944,3.087577,3.000499,48.200000,26.600000,35.519467,253.266667,197.000000
28,9.700000,471.000000,2.852308,3.072920,2.978652,47.666667,27.200000,35.787867,243.700000,207.433333
29,9.866667,471.733333,2.840575,3.028564,2.958199,46.333333,28.266667,36.304933,227.133333,225.733333
30,9.266667,472.366667,2.830149,3.011536,2.937919,46.933333,29.200000,36.800933,199.800000,251.466667
31,7.900000,473.966667,2.811972,2.992289,2.920339,46.333333,30.200000,37.254400,252.133333,198.933333
32,7.366667,475.833333,2.782127,2.965779,2.905258,46.866667,31.733333,37.724133,266.866667,182.733333
33,6.566667,476.600000,2.774336,2.943089,2.891410,47.400000,31.933333,38.288133,264.000000,186.466667
34,5.866667,477.733333,2.761819,2.924361,2.877197,47.466667,32.333333,38.824667,278.300000,171.833333
35,6.500000,478.666667,2.749947,2.912658,2.861545,47.733333,33.066667,39.401600,269.866667,179.933333
36,5.300000,480.266667,2.724754,2.901563,2.846244,48.266667,33.866667,39.745467,258.966667,191.166667
37,5.433333,481.866667,2.719592,2.879072,2.830805,47.466667,34.133333,39.959867,258.066667,192.066667
38,5.400000,482.066667,2.702678,2.866565,2.814164,48.400000,35.066667,40.211867,238.100000,211.900000
39,6.000000,481.966667,2.705450,2.857401,2.798528,48.133333,35.733333,40.646933,252.033333,198.966667
40,3.933333,483.000000,2.693551,2.843389,2.783884,47.733333,36.000000,41.240400,283.800000,167.800000
41,5.133333,483.233333,2.693963,2.824978,2.769263,47.733333,36.066667,41.831333,261.200000,189.066667
42,4.633333,483.933333,2.678992,2.806403,2.754070,47.933333,36.600000,42.368000,254.833333,197.300000
43,4.700000,483.833333,2.670559,2.789255,2.740013,48.533333,37.333333,42.803733,238.366667,213.900000
44,4.500000,484.366667,2.646925,2.771542,2.727091,48.800000,37.933333,43.092533,244.766667,205.966667
45,4.733333,485.500000,2.634532,2.761981,2.717854,49.000000,38.266667,43.323600,249.433333,200.766667
46,4.400000,485.833333,2.620180,2.738220,2.710114,49.066667,38.800000,43.418400,255.900000,194.500000
47,3.833333,485.933333,2.612708,2.725858,2.701332,49.066667,39.533333,43.413467,250.300000,197.566667
48,3.166667,486.133333,2.610850,2.722537,2.690977,48.933333,40.266667,43.512000,231.700000,219.900000
49,4.800000,486.466667,2.603218,2.716066,2.679580,49.466667,40.666667,43.823467,234.600000,215.400000
50,3.966667,487.100000,2.588852,2.706439,2.667833,49.266667,40.866667,44.084933,243.766667,207.766667
