gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,41.133333,480.133333,3.422645,3.562962,3.559550,37.066667,18.666667,22.022267,175.800000,271.866667
2,22.533333,489.133333,3.328474,3.422645,3.420937,32.933333,23.933333,25.675733,214.633333,233.433333
3,20.566667,487.233333,3.245791,3.328474,3.326844,34.866667,26.266667,28.706400,300.533333,149.266667
4,11.866667,491.000000,3.192677,3.245791,3.245055,36.333333,29.133333,31.184667,221.333333,228.266667
5,6.833333,494.466667,3.155312,3.192677,3.192213,36.266667,31.800000,33.506800,341.966667,109.633333
6,4.566667,495.533333,3.113273,3.155312,3.154934,37.200000,33.266667,33.992133,300.033333,151.300000
7,5.600000,495.866667,3.061272,3.113273,3.112770,38.466667,34.866667,35.944800,251.766667,199.233333
8,3.133333,496.933333,3.027422,3.061272,3.060935,39.066667,36.266667,36.917200,282.466667,168.933333
9,2.933333,496.533333,3.005751,3.027422,3.027217,40.200000,37.200000,37.959867,236.700000,211.900000
10,5.200000,495.100000,2.979008,3.005751,3.005413,41.600000,37.600000,39.166400,236.833333,211.500000
11,3.800000,496.066667,2.958632,2.979008,2.978861,40.866667,38.866667,39.515067,238.366667,209.633333
12,1.933333,496.800000,2.939303,2.958632,2.958570,41.466667,39.533333,39.786667,269.700000,179.433333
13,3.966667,496.400000,2.918518,2.939303,2.939103,42.733333,39.600000,40.583733,195.433333,252.233333
14,4.200000,496.466667,2.896393,2.918518,2.918282,43.066667,40.866667,41.808533,268.533333,181.600000
15,2.933333,496.833333,2.882305,2.896393,2.896171,43.733333,41.333333,42.218133,240.433333,209.233333
16,1.200000,497.633333,2.874428,2.882305,2.882233,44.000000,42.266667,42.753600,240.033333,210.033333
17,1.933333,497.400000,2.866453,2.874428,2.874390,44.600000,42.733333,43.113200,268.000000,181.533333
18,2.833333,497.000000,2.859727,2.866453,2.866370,44.733333,43.333333,43.713867,206.933333,240.266667
19,2.033333,497.233333,2.848731,2.859727,2.859640,45.333333,43.666667,44.307333,208.766667,238.833333
20,0.600000,498.066667,2.844901,2.848731,2.848706,45.266667,44.333333,44.615467,238.766667,208.100000
21,1.166667,497.800000,2.840645,2.844901,2.844798,45.533333,44.400000,44.900667,239.000000,209.533333
22,0.433333,498.233333,2.834765,2.840645,2.840631,45.800000,44.800000,45.104667,223.800000,224.466667
23,0.266667,498.333333,2.833176,2.834765,2.834760,46.400000,45.200000,45.400267,254.866667,180.133333
24,2.433333,497.133333,2.816306,2.833176,2.832885,46.800000,45.200000,46.066800,251.833333,182.233333
25,0.633333,498.200000,2.808622,2.816306,2.816271,47.133333,46.133333,46.612133,226.766667,195.733333
26,0.566667,498.233333,2.803742,2.808622,2.808609,47.400000,46.400000,46.673733,243.466667,193.200000
27,1.700000,497.733333,2.801898,2.803742,2.803717,47.600000,46.733333,47.241733,239.466667,210.266667
28,0.266667,498.333333,2.801441,2.801898,2.801896,48.066667,46.800000,46.983200,255.833333,195.900000
29,2.666667,497.366667,2.799317,2.801441,2.801412,49.200000,47.400000,47.906400,255.166667,195.366667
30,1.533333,497.933333,2.797330,2.799317,2.799301,49.266667,47.933333,48.628933,238.400000,209.666667
31,0.900000,498.000000,2.794682,2.797330,2.797301,49.333333,48.000000,48.347333,210.800000,224.100000
32,1.633333,497.500000,2.788239,2.794682,2.794610,49.933333,48.666667,48.937200,266.600000,183.400000
33,1.533333,497.766667,2.783160,2.788239,2.788202,50.200000,49.266667,49.630800,269.500000,179.166667
