gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,170.200000,171.866667,3.535335,814859344.689068,2857862.533646,129.333333,1.000000,26.422667,4.633333,443.033333
2,133.933333,210.300000,3.523124,404317833.270228,1755041.326919,130.266667,1.000000,26.019867,7.100000,437.500000
3,117.866667,234.666667,3.506233,125850864.006994,816678.877768,130.600000,1.000000,25.655333,8.433333,443.166667
4,100.600000,255.466667,3.487162,122698341.563123,655948.348022,130.466667,1.000000,25.127067,11.733333,440.933333
5,88.633333,275.766667,3.479708,83202483.294164,384592.536532,130.333333,1.000000,24.854400,13.100000,437.100000
6,77.333333,289.600000,3.441756,28937411.605685,132462.589487,129.933333,1.000000,24.603067,14.433333,436.700000
7,71.833333,299.966667,3.429791,9078164.704156,46835.018851,130.400000,1.000000,24.303200,14.533333,436.266667
8,62.533333,312.633333,3.401114,7600938.597773,31626.636986,130.733333,1.000000,23.909067,16.500000,430.833333
9,55.000000,326.200000,3.378992,7488610.583040,41776.896552,130.866667,1.000000,23.852133,18.200000,433.333333
10,52.400000,334.200000,3.360945,7480433.039731,43103.985858,131.866667,1.000000,23.876667,17.766667,430.500000
11,47.266667,341.500000,3.327590,6950429.235285,37061.143846,133.266667,1.000000,23.707067,18.500000,429.166667
12,44.733333,347.900000,3.315978,6639729.235101,38763.743365,132.933333,1.000000,23.442400,19.000000,434.133333
13,45.600000,351.100000,3.291637,1530848.647609,7432.863641,134.533333,1.000000,23.381733,19.033333,433.633333
14,41.666667,357.333333,3.275696,979021.560864,4503.944719,133.933333,1.000000,23.227733,18.233333,431.766667
15,37.366667,362.800000,3.268082,957018.347521,4780.093544,133.000000,1.000000,22.715467,16.866667,431.933333
16,33.533333,370.333333,3.261306,934236.047883,4610.793829,130.666667,1.000000,22.514000,21.233333,427.966667
17,30.000000,378.066667,3.256780,921882.682883,7678.364628,129.866667,1.000000,22.289067,22.033333,427.966667
18,29.433333,382.866667,3.245905,910539.617518,4154.583838,129.200000,1.000000,21.987867,24.633333,422.566667
19,28.033333,386.666667,3.217918,897198.531822,5395.845660,129.200000,1.000000,21.950667,24.666667,425.800000
20,25.566667,392.466667,3.177110,885368.436718,5317.388028,128.066667,1.000000,21.592267,22.766667,425.566667
21,24.933333,395.100000,3.171910,882194.754900,9837.054771,129.000000,1.000000,21.602533,21.233333,427.366667
22,23.833333,398.566667,3.166790,880603.033191,2009.467127,128.600000,1.000000,21.213733,26.466667,423.133333
23,21.900000,402.966667,3.161608,880504.274584,2624.243571,128.000000,1.000000,21.408400,26.500000,424.166667
24,20.966667,406.733333,3.159445,104324.511412,569.317663,126.000000,1.000000,21.726533,26.933333,423.333333
25,18.466667,411.166667,3.148988,103555.261987,359.786655,125.733333,1.000000,21.830267,36.500000,413.966667
26,18.666667,413.533333,3.133702,54418.701267,158.393188,122.200000,1.000000,21.848533,42.733333,408.200000
27,19.433333,414.100000,3.131388,54360.263504,263.350188,121.200000,1.000000,22.202267,48.833333,403.233333
28,17.366667,416.566667,3.120808,54330.567281,240.940577,119.600000,1.000000,22.638000,52.400000,397.133333
29,17.000000,418.600000,3.116089,54242.775544,358.879518,117.200000,1.000000,22.157733,51.866667,399.466667
30,16.700000,420.533333,3.102444,54164.919951,346.405003,121.400000,1.000000,21.625600,55.166667,392.366667
31,15.600000,423.166667,3.100959,54162.890024,367.995181,116.533333,1.000000,21.355200,49.900000,400.900000
32,14.533333,426.100000,3.099243,49881.357907,231.627577,113.533333,1.000000,21.036533,52.000000,397.733333
33,14.266667,426.733333,3.095074,49873.987238,423.096075,112.933333,1.000000,20.986267,56.366667,396.033333
34,14.333333,428.633333,3.087800,49859.880015,336.953228,111.800000,1.000000,20.821067,54.300000,396.166667
35,14.233333,429.666667,3.076759,49827.739902,174.729244,111.533333,1.000000,21.184267,52.266667,399.533333
36,14.266667,431.033333,3.070873,12134.910210,131.151773,111.600000,1.000000,21.060667,55.833333,393.633333
37,14.066667,431.400000,3.067965,12130.119226,201.696447,110.533333,1.000000,20.864000,55.066667,396.400000
38,13.166667,434.133333,3.041618,11528.693096,215.285331,109.733333,1.000000,20.859200,53.766667,397.633333
39,13.000000,435.166667,3.041522,11527.715104,112.513403,108.600000,1.000000,20.983333,51.200000,397.600000
40,12.900000,436.200000,3.041522,11480.104389,78.407411,108.533333,1.000000,21.085333,51.400000,393.933333
41,12.066667,436.566667,3.037973,8436.959897,41.628163,107.800000,1.000000,21.733733,52.566667,399.966667
42,12.833333,436.866667,3.034370,8436.590210,39.996424,105.866667,1.000000,21.918000,52.300000,398.833333
43,11.433333,439.200000,3.030572,7891.118009,26.535650,105.533333,1.000000,21.677600,51.166667,398.833333
44,11.533333,439.533333,3.024652,7793.922125,35.086019,105.933333,1.066667,21.484933,50.266667,401.666667
45,11.866667,439.433333,3.015216,7277.879092,21.433171,104.866667,1.066667,21.701733,52.233333,398.500000
46,12.366667,439.533333,3.001693,615.713068,7.121056,105.333333,1.066667,21.724267,51.333333,401.133333
47,11.233333,440.033333,2.997229,579.517263,7.568147,105.600000,1.066667,21.528133,51.266667,397.533333
48,10.933333,441.300000,2.996641,169.172713,5.327112,105.200000,1.066667,21.697733,65.266667,387.400000
49,10.500000,442.933333,2.989832,168.857893,5.173150,103.200000,1.066667,21.532133,51.333333,399.933333
50,9.833333,444.466667,2.987772,161.933756,5.089838,105.200000,1.066667,21.515067,64.266667,387.400000
51,10.766667,444.533333,2.987294,63.508327,4.987748,105.733333,1.066667,22.109867,67.333333,382.600000
52,10.333333,444.600000,2.985126,62.189341,4.913352,105.666667,1.066667,22.117200,67.533333,384.666667
53,10.633333,443.300000,2.982120,62.104375,4.983918,108.666667,1.066667,22.187200,56.200000,397.133333
54,9.300000,445.900000,2.979294,56.832167,4.893841,104.533333,1.066667,22.309200,62.600000,386.800000
55,10.833333,444.333333,2.978092,48.545272,4.927749,105.533333,1.066667,22.392133,62.300000,387.900000
56,10.333333,444.400000,2.970644,48.492298,4.767963,107.866667,1.066667,22.270267,73.233333,378.100000
57,10.366667,444.000000,2.969374,46.427265,4.707123,105.533333,1.066667,22.408400,76.833333,371.700000
58,9.300000,446.400000,2.965662,43.902461,4.594025,103.800000,1.066667,22.363867,79.900000,372.700000
59,9.300000,447.233333,2.963381,36.528920,4.495559,103.666667,1.066667,22.520667,94.466667,354.533333
60,9.700000,448.066667,2.962436,28.671696,4.401793,103.466667,1.066667,22.352933,93.766667,356.966667
61,8.933333,448.900000,2.952896,28.654685,4.299667,100.200000,1.133333,22.711733,83.633333,369.633333
62,8.266667,449.566667,2.951705,28.155011,4.221348,98.933333,1.133333,22.786933,100.766667,351.233333
63,8.766667,450.533333,2.949627,23.646201,4.162305,98.933333,1.133333,22.714667,99.733333,349.000000
64,7.466667,452.500000,2.948949,23.325274,4.178676,97.466667,1.133333,22.730400,101.433333,348.166667
65,8.033333,452.533333,2.948452,22.167248,4.105151,96.666667,1.066667,22.763067,95.833333,354.100000
66,8.266667,452.400000,2.947117,22.153787,4.065108,98.000000,1.066667,22.651733,105.866667,343.600000
67,8.500000,452.733333,2.941140,21.293312,4.052197,95.066667,1.066667,22.897067,125.133333,322.400000
68,8.866667,453.233333,2.941140,20.873915,4.056899,98.666667,1.200000,22.849333,147.600000,302.733333
69,8.666667,453.600000,2.922829,20.170361,4.006819,98.066667,1.200000,22.864267,156.133333,291.333333
70,8.233333,453.433333,2.921154,19.762331,3.934396,98.133333,1.200000,22.806800,144.233333,307.033333
71,8.600000,453.166667,2.919942,19.330337,3.924484,98.066667,1.200000,23.137733,148.600000,299.733333
72,8.966667,452.700000,2.913647,17.844962,3.885789,95.133333,1.200000,23.246400,161.266667,287.933333
73,8.000000,453.466667,2.913647,16.857305,3.839044,93.800000,1.200000,23.250933,166.166667,285.233333
74,8.466667,453.866667,2.903312,15.983683,3.837588,93.933333,1.200000,23.422267,173.600000,275.133333
75,7.733333,454.300000,2.898476,15.980628,3.824777,93.933333,1.200000,23.278667,176.666667,273.733333
76,7.633333,454.266667,2.896252,15.965304,3.810451,94.000000,1.266667,23.389867,166.233333,283.300000
77,7.733333,454.200000,2.896117,15.965304,3.802293,95.800000,1.266667,23.537467,167.066667,282.800000
78,7.700000,454.733333,2.892953,14.708586,3.793231,99.400000,1.266667,23.613067,178.866667,272.200000
79,7.700000,455.233333,2.891659,12.626446,3.779130,98.200000,1.266667,23.556667,186.000000,265.666667
80,8.433333,455.066667,2.888986,12.119910,3.769072,93.533333,1.266667,23.550533,187.766667,263.633333
81,7.766667,454.966667,2.885924,10.598324,3.757702,95.600000,1.333333,23.298533,208.500000,240.766667
82,7.200000,456.466667,2.884164,10.567566,3.771358,93.466667,1.400000,23.496267,217.200000,231.600000
83,6.966667,457.866667,2.879469,10.503768,3.755027,93.133333,1.466667,23.591333,205.500000,246.166667
84,7.766667,457.666667,2.871529,10.478949,3.737829,90.933333,1.466667,23.629333,203.333333,247.000000
85,7.366667,457.866667,2.868528,10.478949,3.750811,90.066667,1.466667,23.638400,210.133333,238.733333
86,7.733333,457.866667,2.864880,10.478949,3.733310,90.933333,1.400000,23.253600,208.933333,241.933333
87,6.466667,458.566667,2.858549,10.476775,3.733556,89.866667,1.466667,23.402933,212.766667,237.633333
88,7.066667,458.900000,2.858465,10.405379,3.726133,92.000000,1.533333,23.546000,212.500000,237.700000
89,7.700000,457.433333,2.858111,10.328728,3.738201,94.733333,1.533333,23.525067,197.333333,253.000000
90,7.833333,457.600000,2.858028,10.328347,3.740417,94.800000,1.466667,23.466133,190.466667,258.066667
91,7.733333,457.566667,2.857396,10.296977,3.740920,92.733333,1.466667,23.502533,197.600000,255.200000
92,6.900000,457.700000,2.855341,10.276170,3.746119,92.533333,1.466667,23.539067,214.500000,235.433333
93,8.166667,457.333333,2.854255,9.757355,3.728096,89.400000,1.600000,23.519733,214.733333,232.266667
94,8.000000,457.366667,2.852296,9.751841,3.696684,89.133333,1.600000,23.370800,225.200000,228.266667
95,8.100000,457.333333,2.848330,9.533217,3.686108,89.133333,1.600000,23.391600,212.966667,237.966667
96,7.266667,457.866667,2.847396,9.376832,3.678473,90.400000,1.600000,23.330933,212.866667,236.466667
97,7.033333,458.233333,2.842547,6.237171,3.656294,88.733333,1.600000,23.471467,226.566667,219.633333
98,6.266667,458.933333,2.833236,6.229434,3.644014,88.666667,1.600000,23.457200,229.666667,216.333333
99,6.766667,459.966667,2.832256,5.673521,3.641599,90.200000,1.600000,23.831867,220.966667,229.100000
100,7.400000,460.033333,2.820850,5.673521,3.640924,89.200000,1.600000,23.914667,226.866667,223.933333
