gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,439.866667,358.100000,3.423498,95904.455061,212.199423,86.533333,1.066667,21.926000,2.133333,446.200000
2,420.233333,346.466667,3.324889,10477.268509,35.861139,93.400000,1.000000,26.913467,13.000000,434.333333
3,411.600000,324.800000,3.240018,517219733.935593,1034474.758569,78.866667,1.000000,29.350000,25.333333,425.800000
4,404.400000,329.066667,3.198143,24369.988639,79.810424,83.200000,1.000000,30.869600,22.033333,427.700000
5,392.466667,327.400000,3.140414,50099.111443,127.682650,88.000000,1.000000,32.922667,33.600000,415.800000
6,385.900000,327.366667,3.107371,109231123.163053,873805.609683,86.666667,1.000000,35.096933,30.333333,422.466667
7,382.233333,328.000000,3.070363,1238900.112338,3991.470156,84.400000,1.000000,36.041733,44.900000,403.700000
8,378.566667,329.666667,3.043098,44984.543733,207.219817,95.733333,1.000000,37.341067,40.100000,411.100000
9,375.666667,324.900000,3.011298,191773.891358,498.497861,86.466667,1.066667,37.963600,36.233333,413.900000
10,373.666667,322.333333,2.989946,686700.401661,1440.762017,84.400000,1.000000,38.360800,56.966667,392.366667
11,373.933333,320.200000,2.971372,983705.388344,1994.627592,87.466667,1.133333,40.452667,49.433333,400.966667
12,370.566667,322.366667,2.951730,28934273.028270,58075.465316,89.333333,1.000000,40.790933,41.466667,405.666667
13,372.500000,318.266667,2.920883,934525.502262,2041.675676,81.733333,1.000000,41.556933,47.533333,399.733333
14,371.433333,315.866667,2.896314,4825340715.481091,9650795.146574,81.400000,1.000000,41.424667,51.666667,396.366667
15,371.500000,318.366667,2.872768,42257.317523,244.588081,78.800000,1.000000,41.425067,34.166667,415.166667
16,369.966667,314.500000,2.849299,177753.112898,426.633345,81.400000,1.000000,42.221067,46.600000,404.000000
17,368.900000,320.966667,2.843958,141023234.955923,282464.877757,90.666667,1.000000,42.813333,53.300000,396.500000
18,370.600000,318.600000,2.833687,38138.913313,156.127117,84.000000,1.000000,43.458933,42.900000,409.566667
19,370.133333,317.466667,2.818516,28171.289966,180.307160,80.333333,1.000000,43.828267,35.500000,416.766667
20,365.766667,315.833333,2.811216,12141632.827033,24448.036317,91.333333,1.000000,45.208267,37.800000,409.733333
21,368.233333,317.400000,2.805244,175100.099055,559.018679,88.666667,1.000000,45.468667,42.600000,408.400000
22,368.933333,311.733333,2.799175,213055.953663,500.699441,89.600000,1.000000,45.798933,41.233333,411.766667
23,365.000000,311.166667,2.780568,3651860.756178,7470.662955,88.800000,1.133333,46.329467,44.800000,404.733333
24,366.733333,312.166667,2.777559,30363.006064,374.742697,85.733333,1.000000,46.798800,42.666667,406.933333
25,366.800000,313.266667,2.773930,900350.283182,1969.984770,89.600000,1.000000,46.383867,43.333333,407.733333
26,368.500000,315.166667,2.769997,11401468.062356,22918.425277,92.600000,1.000000,46.353733,41.266667,411.600000
27,370.733333,304.100000,2.767059,203816.023228,473.220789,89.666667,1.066667,46.694000,38.066667,414.066667
28,364.733333,308.100000,2.765277,42513.444982,218.249874,89.533333,1.000000,46.890267,44.800000,404.600000
29,370.533333,301.633333,2.761021,34216.434638,138.530954,83.000000,1.000000,46.716933,33.966667,420.900000
30,363.066667,304.566667,2.759127,9884704.922722,19929.480644,97.866667,1.000000,46.939600,37.966667,409.033333
31,363.533333,306.200000,2.756980,7126048.476963,14355.014797,95.733333,1.066667,47.136667,40.300000,407.033333
32,368.600000,304.566667,2.746413,37008.626466,240.857145,83.600000,1.000000,47.379867,41.166667,412.500000
33,363.566667,303.833333,2.744275,259013.487804,630.643445,95.866667,1.000000,46.103733,40.333333,407.000000
34,367.666667,304.933333,2.736479,385240828.700391,770696.598114,92.133333,1.000000,46.220400,36.800000,411.733333
35,365.500000,302.266667,2.728778,37652600.475585,75334.485290,88.266667,1.000000,46.893200,40.633333,409.900000
36,365.866667,303.800000,2.727239,48538.324947,210.789208,89.733333,1.000000,47.258667,39.100000,409.833333
