gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,93.133333,3.562962,1440932535.791787,3160289.499535,127.000000,3.000000,27.025600,0.000000,0.000000
1,41.533333,479.833333,3.420075,3.562962,3.559458,36.933333,18.666667,22.021733,176.600000,271.733333
2,23.266667,489.233333,3.325413,3.420075,3.418329,33.400000,23.800000,26.070533,226.333333,221.066667
3,22.366667,486.633333,3.220854,3.325413,3.323219,37.000000,26.000000,28.806667,285.233333,163.100000
4,11.766667,490.466667,3.168100,3.220854,3.219678,37.133333,28.733333,31.227200,291.700000,157.700000
5,8.166667,493.933333,3.110687,3.168100,3.167358,36.533333,31.133333,32.873600,310.300000,143.366667
6,7.200000,494.833333,3.072705,3.110687,3.110249,38.400000,33.466667,34.902000,239.833333,211.433333
7,6.233333,495.300000,3.047723,3.072705,3.072222,39.266667,35.533333,36.973600,281.933333,167.933333
8,5.666667,494.100000,3.013716,3.047723,3.047351,39.800000,35.466667,37.739733,252.466667,198.533333
9,4.866667,495.533333,3.000043,3.013716,3.013564,40.533333,37.133333,38.445733,222.300000,227.966667
10,3.000000,496.566667,2.986844,3.000043,2.999943,40.733333,38.066667,38.826133,269.733333,180.800000
11,3.166667,496.400000,2.966524,2.986844,2.986578,41.466667,39.733333,40.219467,225.066667,224.933333
12,3.000000,496.433333,2.953174,2.966524,2.966400,41.400000,39.666667,40.280667,222.966667,224.366667
13,1.633333,497.400000,2.948136,2.953174,2.953143,41.866667,40.200000,40.518933,268.566667,182.233333
14,2.266667,496.900000,2.921453,2.948136,2.948025,42.800000,40.666667,41.088933,269.466667,180.533333
15,2.833333,496.500000,2.912166,2.921453,2.921368,43.333333,40.866667,41.887467,222.466667,213.300000
16,3.133333,496.500000,2.894752,2.912166,2.911916,43.333333,41.400000,42.058533,237.866667,212.133333
17,2.966667,497.233333,2.875446,2.894752,2.894362,44.666667,42.333333,42.838133,222.500000,225.366667
18,2.433333,497.166667,2.866076,2.875446,2.875344,44.933333,43.466667,44.127200,211.233333,239.633333
19,1.800000,497.133333,2.857981,2.866076,2.866036,46.000000,44.133333,44.530267,255.833333,197.233333
20,2.666667,497.066667,2.847541,2.857981,2.857882,46.733333,44.466667,45.135733,234.133333,211.533333
21,3.000000,496.633333,2.842515,2.847541,2.847480,46.600000,44.600000,45.393600,207.633333,241.566667
22,2.000000,497.133333,2.834627,2.842515,2.842473,47.733333,45.533333,46.297600,179.133333,256.966667
23,3.066667,496.400000,2.826611,2.834627,2.834512,48.266667,46.266667,47.203067,178.366667,270.633333
24,1.933333,497.033333,2.819183,2.826611,2.826569,49.000000,47.200000,47.733333,177.766667,271.833333
25,2.100000,496.800000,2.811039,2.819183,2.819081,49.666667,47.533333,48.447733,133.466667,316.066667
26,1.266667,497.366667,2.807202,2.811039,2.810977,49.866667,47.466667,48.484667,179.166667,271.300000
27,0.466667,497.966667,2.804439,2.807202,2.807192,49.600000,48.266667,48.718667,193.333333,254.200000
28,0.566667,497.866667,2.799862,2.804439,2.804425,50.066667,48.733333,49.182400,163.600000,284.133333
29,1.033333,497.666667,2.796467,2.799862,2.799826,50.533333,49.133333,49.645067,165.200000,284.666667
30,1.533333,497.066667,2.789621,2.796467,2.796401,50.666667,48.733333,49.657733,207.400000,242.666667
31,3.000000,496.600000,2.779185,2.789621,2.789242,50.600000,48.333333,49.627733,191.933333,257.933333
32,1.100000,497.366667,2.771597,2.779185,2.779164,52.133333,49.266667,49.907067,179.400000,270.333333
33,2.766667,496.600000,2.767037,2.771597,2.771544,52.733333,50.400000,51.328267,163.000000,285.400000
34,0.733333,497.866667,2.763506,2.767037,2.767023,53.066667,51.866667,52.136800,223.900000,223.766667
35,1.233333,497.633333,2.761946,2.763506,2.763493,53.400000,52.266667,52.537600,194.166667,257.566667
36,2.000000,497.266667,2.758190,2.761946,2.761918,53.533333,52.600000,53.126800,180.400000,269.133333
