gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,500.000000,49.333333,28.537980,32063352421195717020170184665595904.000000,64126705871680049402845669097472.000000,127.000000,3.000000,23.011867,0.000000,0.000000
1,189.433333,160.700000,27.117059,33644988744968212480.000000,67290030042366688.000000,129.200000,1.000000,15.276000,0.933333,346.000000
2,135.933333,234.233333,25.521036,9093654.784652,18673.234499,130.533333,1.000000,14.066933,6.433333,346.166667
3,89.366667,299.500000,24.479879,1354.920574,42.246126,129.600000,1.000000,11.777600,24.900000,324.833333
4,62.933333,354.300000,22.523679,76.805892,34.195107,117.066667,1.000000,8.427467,129.800000,222.466667
5,48.333333,391.933333,21.464749,38.985444,32.040032,84.133333,1.000000,6.938800,172.733333,176.666667
6,37.333333,415.400000,19.903601,37.054563,30.175688,57.266667,1.000000,6.834800,162.133333,187.466667
7,39.066667,426.233333,19.221147,34.540126,28.400640,49.600000,1.000000,7.191867,163.766667,178.100000
8,38.700000,431.400000,18.461230,32.847443,26.631558,41.000000,2.200000,7.852667,171.000000,179.933333
9,35.066667,435.100000,17.937472,30.909410,24.975341,36.000000,3.133333,8.702267,169.100000,180.300000
10,31.066667,436.333333,17.579965,28.762228,23.453003,35.666667,3.600000,9.668267,153.500000,194.833333
11,28.900000,437.633333,17.346453,27.351989,22.092520,39.200000,4.533333,10.387733,165.500000,184.633333
12,24.033333,441.000000,16.576712,25.407983,20.995342,41.666667,5.266667,11.022000,175.900000,173.966667
13,24.866667,439.700000,16.266140,23.600670,20.080699,36.066667,5.866667,11.614267,177.400000,171.466667
14,24.900000,439.200000,15.962515,22.128462,19.295096,36.333333,6.200000,12.357067,167.066667,180.800000
15,23.166667,439.433333,15.654203,21.070721,18.619968,40.066667,6.600000,13.445467,161.633333,191.100000
16,23.300000,439.766667,15.395626,20.537951,18.049452,41.066667,7.133333,14.412933,174.866667,168.266667
17,25.666667,437.466667,15.144482,19.366722,17.535326,43.333333,8.133333,15.468133,192.666667,161.000000
18,25.633333,436.833333,15.035355,18.680551,17.086261,43.466667,8.733333,16.508667,169.200000,179.933333
19,23.366667,438.333333,14.818978,18.129302,16.667657,40.466667,9.600000,17.344133,154.266667,195.400000
20,19.766667,442.900000,14.698625,17.660015,16.297873,38.200000,10.066667,17.932667,189.533333,164.000000
21,18.033333,447.533333,14.430148,17.271584,15.964409,32.866667,11.000000,18.203200,174.933333,178.066667
22,15.700000,452.500000,14.240852,16.773763,15.668012,33.133333,12.866667,18.525600,172.200000,174.333333
23,15.566667,453.733333,14.149423,16.383677,15.395533,34.000000,13.066667,19.017867,156.466667,190.400000
24,18.166667,453.566667,14.002073,16.194271,15.164263,33.933333,13.933333,19.623867,165.966667,180.566667
25,17.800000,453.433333,13.883839,15.729148,14.966504,34.066667,14.600000,20.253333,203.100000,147.100000
26,16.733333,455.300000,13.731470,15.416972,14.794263,33.733333,15.533333,20.854000,183.200000,161.600000
27,18.566667,454.366667,13.616566,15.243720,14.620833,33.600000,15.666667,21.343200,188.600000,161.133333
28,16.100000,454.800000,13.535439,15.027598,14.456302,33.666667,16.333333,21.732133,175.733333,175.733333
29,15.366667,455.566667,13.352001,14.882009,14.301334,33.800000,16.533333,22.120933,190.400000,158.866667
30,15.000000,457.833333,13.202900,14.711996,14.162649,33.400000,17.266667,22.635733,202.933333,146.666667
31,15.066667,458.233333,13.113932,14.537761,14.036272,34.933333,17.400000,23.114267,208.300000,142.700000
32,12.933333,459.200000,13.044090,14.294419,13.911161,34.933333,18.466667,23.506400,188.000000,158.666667
33,14.166667,458.533333,12.968982,14.202656,13.781261,35.666667,18.533333,23.897333,185.433333,162.900000
34,14.033333,460.400000,12.856619,14.128006,13.644394,36.066667,19.000000,24.316400,192.100000,156.900000
35,13.100000,461.766667,12.733265,14.005858,13.502025,36.333333,19.600000,24.660000,194.900000,155.500000
36,14.033333,460.933333,12.589417,13.838892,13.364302,36.200000,19.933333,24.986800,177.533333,175.066667
